idx	stored	current	delta	agree	sentence
77	2166	2166	0.101332	1	how cheerfully we consign ourselves to perdition!
78	84	84	0.001470	1	Finally, I always go to sea as a sailor, because of the wholesome exercise and pure air of the fore-castle deck.
79	1797	1797	0.457258	1	For as in this world, head winds are far more prevalent than winds from astern (that is, if you never violate the Pythag
80	1206	1206	0.321946	1	He thinks he breathes it first; but not so.
81	1888	1888	0.429679	1	In much the same way do the commonalty lead their leaders in many other things, at the same time that the leaders little
82	1558	1558	0.099797	1	But wherefore it was that after having repeatedly smelt the sea as a merchant sailor, I should now take it into my head 
83	1957	1957	0.067700	1	And, doubtless, my going on this whaling voyage, formed part of the grand programme of Providence that was drawn up a lo
84	1888	1888	0.119520	1	It came in as a sort of brief interlude and solo between more extensive performances.
85	1795	1795	0.084775	1	I take it that this part of the bill must have run something like this: “_Grand Contested Election for the Presidency of
86	1594	1594	0.090597	1	“BLOODY BATTLE IN AFFGHANISTAN.” Though I cannot tell why it was exactly that those stage managers, the Fates, put me do
87	1098	1098	0.126783	1	Chief among these motives was the overwhelming idea of the great whale himself.
88	1790	1790	0.000501	1	Such a portentous and mysterious monster roused all my curiosity.
89	313	313	0.186206	1	Then the wild and distant seas where he rolled his island bulk; the undeliverable, nameless perils of the whale; these, 
90	1888	1888	0.031823	1	With other men, perhaps, such things would not have been inducements; but as for me, I am tormented with an everlasting 
91	1888	1888	0.444396	1	I love to sail forbidden seas, and land on barbarous coasts.
92	935	935	0.099307	1	Not ignoring what is good, I am quick to perceive a horror, and could still be social with it—would they let me—since it
93	2292	2292	0.089943	1	By reason of these things, then, the whaling voyage was welcome; the great flood-gates of the wonder-world swung open, a
94	1888	1888	0.359877	1	I stuffed a shirt or two into my old carpet-bag, tucked it under my arm, and started for Cape Horn and the Pacific.
95	1888	1888	0.415002	1	Quitting the good city of old Manhatto, I duly arrived in New Bedford.
96	1888	1888	0.728547	1	It was a Saturday night in December.
97	1256	1256	0.369621	1	Much was I disappointed upon learning that the little packet for Nantucket had already sailed, and that no way of reachi
98	429	429	0.639120	1	As most young candidates for the pains and penalties of whaling stop at this same New Bedford, thence to embark on their
99	1594	1594	0.003731	1	For my mind was made up to sail in no other than a Nantucket craft, because there was a fine, boisterous something about
100	2286	2286	0.034370	1	Besides though New Bedford has of late been gradually monopolising the business of whaling, and though in this matter po
101	2874	2874	0.203899	1	Where else but from Nantucket did those aboriginal whalemen, the Red-Men, first sally out in canoes to give chase to the
102	548	548	0.811272	1	And where but from Nantucket, too, did that first adventurous little sloop put forth, partly laden with imported cobbles
103	2659	2659	0.542115	1	Now having a night, a day, and still another night following before me in New Bedford, ere I could embark for my destine
104	2874	2874	0.040394	1	It was a very dubious-looking, nay, a very dark and dismal night, bitingly cold and cheerless.
105	2073	2073	0.274589	1	I knew no one in the place.
106	2467	2467	0.434044	1	With anxious grapnels I had sounded my pocket, and only brought up a few pieces of silver,—So, wherever you go, Ishmael,
107	2874	2874	0.313626	1	With halting steps I paced the streets, and passed the sign of “The Crossed Harpoons”—but it looked too expensive and jo
108	2659	2659	0.104233	1	Further on, from the bright red windows of the “Sword-Fish Inn,” there came such fervent rays, that it seemed to have me
109	2874	2874	0.036719	1	Too expensive and jolly, again thought I, pausing one moment to watch the broad glare in the street, and hear the sounds
110	8	8	0.170120	1	But go on, Ishmael, said I at last; don’t you hear?
111	2019	2019	0.949622	1	get away from before the door; your patched boots are stopping the way.
112	2659	2659	1.360725	1	I now by instinct followed the streets that took me waterward, for there, doubtless, were the cheapest, if not the cheer
113	1790	1790	0.146129	1	blocks of blackness, not houses, on either hand, and here and there a candle, like a candle moving about in a tomb.
114	2031	2031	0.655920	1	At this hour of the night, of the last day of the week, that quarter of the town proved all but deserted.
115	1594	1594	0.340018	1	But presently I came to a smoky light proceeding from a low, wide building, the door of which stood invitingly open.
116	2073	2073	0.102847	1	It had a careless look, as if it were meant for the uses of the public; so, entering, the first thing I did was to stumb
117	1131	1131	0.042745	1	thought I, ha, as the flying particles almost choked me, are these ashes from that destroyed city, Gomorrah?
118	688	688	0.403588	1	But “The Crossed Harpoons,” and “The Sword-Fish?”—this, then must needs be the sign of “The Trap.” However, I picked mys
119	2707	2707	0.395092	1	It seemed the great Black Parliament sitting in Tophet.
120	1888	1888	0.032870	1	A hundred black faces turned round in their rows to peer; and beyond, a black Angel of Doom was beating a book in a pulp
121	2659	2659	0.599680	1	It was a negro church; and the preacher’s text was about the blackness of darkness, and the weeping and wailing and teet
122	1594	1594	0.392270	1	Ha, Ishmael, muttered I, backing out, Wretched entertainment at the sign of ‘The Trap!’ Moving on, I at last came to a d
123	1178	1178	0.009036	1	But it is a common name in Nantucket, they say, and I suppose this Peter here is an emigrant from there.
124	2073	2073	0.402736	1	As the light looked so dim, and the place, for the time, looked quiet enough, and the dilapidated little wooden house it
125	1888	1888	0.248222	1	It was a queer sort of place—a gable-ended old house, one side palsied as it were, and leaning over sadly.
126	2528	2528	0.110032	1	It stood on a sharp bleak corner, where that tempestuous wind Euroclydon kept up a worse howling than ever it did about 
127	1974	1974	0.344911	1	Euroclydon, nevertheless, is a mighty pleasant zephyr to any one in-doors, with his feet on the hob quietly toasting for
128	2874	2874	0.185202	1	“In judging of that tempestuous wind called Euroclydon,” says an old writer—of whose works I possess the only copy extan
129	1098	1098	0.999392	1	Yes, these eyes are windows, and this body of mine is the house.
130	541	541	0.334232	1	What a pity they didn’t stop up the chinks and the crannies though, and thrust in a little lint here and there.
131	1790	1790	0.032132	1	But it’s too late to make any improvements now.
132	1888	1888	0.109369	1	The universe is finished; the copestone is on, and the chips were carted off a million years ago.
133	1790	1790	0.193694	1	Poor Lazarus there, chattering his teeth against the curbstone for his pillow, and shaking off his tatters with his shiv
134	256	256	0.427427	1	says old Dives, in his red silken wrapper—(he had a redder one afterwards) pooh, pooh!
135	1523	1523	0.072901	1	What a fine frosty night; how Orion glitters; what northern lights!
136	2305	2305	0.067892	1	Let them talk of their oriental summer climes of everlasting conservatories; give me the privilege of making my own summ
137	2073	2073	0.057550	1	Can he warm his blue hands by holding them up to the grand northern lights?
138	2265	2265	0.253671	1	Would not Lazarus rather be in Sumatra than here?
139	1934	1934	0.030856	1	Would he not far rather lay him down lengthwise along the line of the equator; yea, ye gods!
140	2175	2175	0.121421	1	go down to the fiery pit itself, in order to keep out this frost?
141	2609	2609	0.276661	1	Now, that Lazarus should lie stranded there on the curbstone before the door of Dives, this is more wonderful than that 
142	2094	2094	0.631474	1	Yet Dives himself, he too lives like a Czar in an ice palace made of frozen sighs, and being a president of a temperance
143	1974	1974	0.533070	1	But no more of this blubbering now, we are going a-whaling, and there is plenty of that yet to come.
144	1718	1718	0.003853	1	Let us scrape the ice from our frosted feet, and see what sort of a place this “Spouter” may be.
145	1430	1430	0.804054	1	Entering that gable-ended Spouter-Inn, you found yourself in a wide, low, straggling entry with old-fashioned wainscots,
146	2528	2528	0.045769	1	On one side hung a very large oilpainting so thoroughly besmoked, and every way defaced, that in the unequal crosslights
147	2659	2659	0.662814	1	Such unaccountable masses of shades and shadows, that at first you almost thought some ambitious young artist, in the ti
148	2073	2073	0.117272	1	But by dint of much and earnest contemplation, and oft repeated ponderings, and especially by throwing open the little w
149	2659	2659	0.694650	1	But what most puzzled and confounded you was a long, limber, portentous, black mass of something hovering in the centre 
150	2874	2874	0.280339	1	A boggy, soggy, squitchy picture truly, enough to drive a nervous man distracted.
151	674	674	0.801315	1	Yet was there a sort of indefinite, half-attained, unimaginable sublimity about it that fairly froze you to it, till you
152	62	62	0.488188	1	Ever and anon a bright, but, alas, deceptive idea would dart you through.—It’s the Black Sea in a midnight gale.—It’s th
153	2874	2874	0.416907	1	But at last all these fancies yielded to that one portentous something in the picture’s midst.
154	1552	1552	0.114825	1	_That_ once found out, and all the rest were plain.
155	2476	2476	0.716182	1	But stop; does it not bear a faint resemblance to a gigantic fish?
156	801	801	0.525662	1	even the great leviathan himself?
157	1888	1888	0.127691	1	In fact, the artist’s design seemed this: a final theory of my own, partly based upon the aggregated opinions of many ag
158	2073	2073	0.113449	1	The picture represents a Cape-Horner in a great hurricane; the half-foundered ship weltering there with its three disman
159	1888	1888	0.022097	1	The opposite wall of this entry was hung all over with a heathenish array of monstrous clubs and spears.
160	1594	1594	0.249090	1	Some were thickly set with glittering teeth resembling ivory saws; others were tufted with knots of human hair; and one 
161	2287	2287	0.017225	1	You shuddered as you gazed, and wondered what monstrous cannibal and savage could ever have gone a death-harvesting with
162	698	698	0.095153	1	Mixed with these were rusty old whaling lances and harpoons all broken and deformed.
163	1642	1642	0.675825	1	With this once long lance, now wildly elbowed, fifty years ago did Nathan Swain kill fifteen whales between a sunrise an
164	105	105	0.192291	1	And that harpoon—so like a corkscrew now—was flung in Javan seas, and run away with by a whale, years afterwards slain o
165	1888	1888	0.143697	1	The original iron entered nigh the tail, and, like a restless needle sojourning in the body of a man, travelled full for
166	2874	2874	0.031359	1	Crossing this dusky entry, and on through yon low-arched way—cut through what in old times must have been a great centra
167	1790	1790	0.143121	1	A still duskier place is this, with such low ponderous beams above, and such old wrinkled planks beneath, that you would
168	548	548	1.217072	1	On one side stood a long, low, shelf-like table covered with cracked glass cases, filled with dusty rarities gathered fr
169	2073	2073	0.318943	1	Projecting from the further angle of the room stands a dark-looking den—the bar—a rude attempt at a right whale’s head.
170	2761	2761	0.613708	1	Be that how it may, there stands the vast arched bone of the whale’s jaw, so wide, a coach might almost drive beneath it
171	1318	1318	0.015766	1	Within are shabby shelves, ranged round with old decanters, bottles, flasks; and in those jaws of swift destruction, lik
172	1409	1409	0.090339	1	Abominable are the tumblers into which he pours his poison.
173	1594	1594	0.770613	1	Though true cylinders without—within, the villanous green goggling glasses deceitfully tapered downwards to a cheating b
174	1594	1594	0.019498	1	Parallel meridians rudely pecked into the glass, surround these footpads’ goblets.
175	1790	1790	0.387326	1	Fill to _this_ mark, and your charge is but a penny; to _this_ a penny more; and so on to the full glass—the Cape Horn m
176	2073	2073	0.418987	1	Upon entering the place I found a number of young seamen gathered about a table, examining by a dim light divers specime
177	2265	2265	0.074728	1	I sought the landlord, and telling him I desired to be accommodated with a room, received for answer that his house was 
178	688	688	0.048186	1	“But avast,” he added, tapping his forehead, “you haint no objections to sharing a harpooneer’s blanket, have ye?
179	1100	1100	0.313832	1	I s’pose you are goin’ a-whalin’, so you’d better get used to that sort of thing.” I told him that I never liked to slee
180	1581	1581	0.058502	1	All right; take a seat.
181	8	8	0.106193	1	Supper’ll be ready directly.” I sat down on an old wooden settle, carved all over like a bench on the Battery.
182	1642	1642	0.579186	1	At one end a ruminating tar was still further adorning it with his jack-knife, stooping over and diligently working away
183	2978	2978	0.131998	1	He was trying his hand at a ship under full sail, but he didn’t make much headway, I thought.
184	273	273	0.198547	1	At last some four or five of us were summoned to our meal in an adjoining room.
185	38	38	0.136566	1	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.
186	1790	1790	0.293891	1	Nothing but two dismal tallow candles, each in a winding sheet.
187	3047	3047	0.014018	1	We were fain to button up our monkey jackets, and hold to our lips cups of scalding tea with our half frozen fingers.
188	2051	2051	0.174122	1	But the fare was of the most substantial kind—not only meat and potatoes, but dumplings; good heavens!
189	2874	2874	0.263740	1	One young fellow in a green box coat, addressed himself to these dumplings in a most direful manner.
190	688	688	0.505683	1	“My boy,” said the landlord, “you’ll have the nightmare to a dead sartainty.” “Landlord,” I whispered, “that aint the ha
191	8	8	0.125354	1	He never eats dumplings, he don’t—he eats nothing but steaks, and he likes ’em rare.” “The devil he does,” says I.
192	8	8	0.075297	1	Is he here?” “He’ll be here afore long,” was the answer.
193	1790	1790	0.016846	1	I could not help it, but I began to feel suspicious of this “dark complexioned” harpooneer.
194	219	219	0.007650	1	At any rate, I made up my mind that if it so turned out that we should sleep together, he must undress and get into bed 
195	73	73	0.425235	1	Supper over, the company went back to the bar-room, when, knowing not what else to do with myself, I resolved to spend t
196	1888	1888	1.064642	1	Presently a rioting noise was heard without.
197	8	8	0.169515	1	Starting up, the landlord cried, “That’s the Grampus’s crew.
198	1888	1888	0.047062	1	I seed her reported in the offing this morning; a three years’ voyage, and a full ship.
199	8	8	0.075925	1	Hurrah, boys; now we’ll have the latest news from the Feegees.” A tramping of sea boots was heard in the entry; the door
200	2215	2215	0.026118	1	Enveloped in their shaggy watch coats, and with their heads muffled in woollen comforters, all bedarned and ragged, and 
201	2073	2073	0.361325	1	They had just landed from their boat, and this was the first house they entered.
202	935	935	0.046748	1	No wonder, then, that they made a straight wake for the whale’s mouth—the bar—when the wrinkled little old Jonah, there 
203	1445	1445	0.222122	1	One complained of a bad cold in his head, upon which Jonah mixed him a pitch-like potion of gin and molasses, which he s
204	1594	1594	0.196293	1	The liquor soon mounted into their heads, as it generally does even with the arrantest topers newly landed from sea, and
205	2807	2807	0.193143	1	I observed, however, that one of them held somewhat aloof, and though he seemed desirous not to spoil the hilarity of hi
206	386	386	0.162024	1	This man interested me at once; and since the sea-gods had ordained that he should soon become my shipmate (though but a
207	2333	2333	0.024870	1	He stood full six feet in height, with noble shoulders, and a chest like a coffer-dam.
208	1888	1888	0.057942	1	I have seldom seen such brawn in a man.
209	2073	2073	0.041227	1	His face was deeply brown and burnt, making his white teeth dazzling by the contrast; while in the deep shadows of his e
210	1888	1888	0.127421	1	His voice at once announced that he was a Southerner, and from his fine stature, I thought he must be one of those tall 
211	1888	1888	0.159495	1	When the revelry of his companions had mounted to its height, this man slipped away unobserved, and I saw no more of him
212	1888	1888	0.023271	1	In a few minutes, however, he was missed by his shipmates, and being, it seems, for some reason a huge favourite with th
213	8	8	0.242986	1	where’s Bulkington?” and darted out of the house in pursuit of him.
214	2874	2874	0.725134	1	It was now about nine o’clock, and the room seeming almost supernaturally quiet after these orgies, I began to congratul
215	1888	1888	0.262932	1	No man prefers to sleep two in a bed.
216	1888	1888	0.148306	1	In fact, you would a good deal rather not sleep with your own brother.
217	8	8	0.430977	1	I don’t know how it is, but people like to be private when they are sleeping.
218	2807	2807	0.284628	1	And when it comes to sleeping with an unknown stranger, in a strange inn, in a strange town, and that stranger a harpoon
219	62	62	0.114477	1	Nor was there any earthly reason why I as a sailor should sleep two in a bed, more than anybody else; for sailors no mor
220	2599	2599	0.101184	1	To be sure they all sleep together in one apartment, but you have your own hammock, and cover yourself with your own bla
221	2315	2315	0.344597	1	The more I pondered over this harpooneer, the more I abominated the thought of sleeping with him.
222	2761	2761	0.690976	1	It was fair to presume that being a harpooneer, his linen or woollen, as the case might be, would not be of the tidiest,
223	1681	1681	0.122711	1	I began to twitch all over.
224	1790	1790	0.115508	1	Besides, it was getting late, and my decent harpooneer ought to be home and going bedwards.
225	1888	1888	0.614918	1	Suppose now, he should tumble in upon me at midnight—how could I tell from what vile hole he had been coming?
226	1790	1790	0.260309	1	I’ve changed my mind about that harpooneer.—I shan’t sleep with him.
227	2659	2659	0.330496	1	I’ll try the bench here.” “Just as you please; I’m sorry I can’t spare ye a tablecloth for a mattress, and it’s a plaguy
228	2073	2073	1.162427	1	“But wait a bit, Skrimshander; I’ve got a carpenter’s plane there in the bar—wait, I say, and I’ll make ye snug enough.”
229	541	541	0.422700	1	The shavings flew right and left; till at last the plane-iron came bump against an indestructible knot.
230	1888	1888	0.099790	1	The landlord was near spraining his wrist, and I told him for heaven’s sake to quit—the bed was soft enough to suit me, 
231	1783	1783	0.172578	1	So gathering up the shavings with another grin, and throwing them into the great stove in the middle of the room, he wen
232	2874	2874	0.106993	1	I now took the measure of the bench, and found that it was a foot too short; but that could be mended with a chair.
233	2073	2073	0.152508	1	But it was a foot too narrow, and the other bench in the room was about four inches higher than the planed one—so there 
234	1790	1790	0.271739	1	I then placed the first bench lengthwise along the only clear space against the wall, leaving a little interval between,
235	1745	1745	0.053739	1	But I soon found that there came such a draught of cold air over me from under the sill of the window, that this plan wo
236	8	8	0.118202	1	The devil fetch that harpooneer, thought I, but stop, couldn’t I steal a march on him—bolt his door inside, and jump int
237	1888	1888	0.472373	1	It seemed no bad idea; but upon second thoughts I dismissed it.
238	2576	2576	0.021675	1	For who could tell but what the next morning, so soon as I popped out of the room, the harpooneer might be standing in t
239	8	8	0.168190	1	Still, looking round me again, and seeing no possible chance of spending a sufferable night unless in some other person’
240	1888	1888	0.225643	1	Thinks I, I’ll wait awhile; he must be dropping in before long.
241	202	202	0.048568	1	I’ll have a good look at him then, and perhaps we may become jolly good bedfellows after all—there’s no telling.
242	2659	2659	0.707796	1	But though the other boarders kept coming in by ones, twos, and threes, and going to bed, yet no sign of my harpooneer.
243	2874	2874	0.288077	1	“Landlord!” said I, “what sort of a chap is he—does he always keep such late hours?” It was now hard upon twelve o’clock
244	1888	1888	0.004884	1	The landlord chuckled again with his lean chuckle, and seemed to be mightily tickled at something beyond my comprehensio
245	2073	2073	0.545713	1	“No,” he answered, “generally he’s an early bird—airley to bed and airley to rise—yes, he’s the bird what catches the wo
246	2572	2572	0.095054	1	But to-night he went out a peddling, you see, and I don’t see what on airth keeps him so late, unless, may be, he can’t 
247	548	548	0.746436	1	“Do you pretend to say, landlord, that this harpooneer is actually engaged this blessed Saturday night, or rather Sunday
248	1210	1210	0.003058	1	“With heads to be sure; ain’t there too many heads in the world?” “I tell you what it is, landlord,” said I quite calmly
249	688	688	0.070797	1	“It’s broke a’ready,” said he.
250	2864	2864	0.330502	1	“Broke,” said I—“_broke_, do you mean?” “Sartain, and that’s the very reason he can’t sell it, I guess.” “Landlord,” sai
251	1790	1790	0.293213	1	Hecla in a snow-storm—“landlord, stop whittling.
252	541	541	0.294234	1	You and I must understand one another, and that too without delay.
253	1151	1151	0.105884	1	I come to your house and want a bed; you tell me you can only give me half a one; that the other half belongs to a certa
254	2659	2659	0.194407	1	And about this harpooneer, whom I have not yet seen, you persist in telling me the most mystifying and exasperating stor
255	2265	2265	0.238615	1	I now demand of you to speak out and tell me who and what this harpooneer is, and whether I shall be in all respects saf
256	541	541	0.725814	1	And in the first place, you will be so good as to unsay that story about selling his head, which if true I take to be go
257	1405	1405	0.120075	1	But be easy, be easy, this here harpooneer I have been tellin’ you of has just arrived from the south seas, where he bou
258	870	870	0.227953	1	He wanted to, last Sunday, but I stopped him just as he was goin’ out of the door with four heads strung on a string, fo
259	688	688	0.095285	1	“Depend upon it, landlord, that harpooneer is a dangerous man.” “He pays reg’lar,” was the rejoinder.
260	2073	2073	0.372994	1	“But come, it’s getting dreadful late, you had better be turning flukes—it’s a nice bed; Sal and me slept in that ere be
261	8	8	0.286353	1	There’s plenty of room for two to kick about in that bed; it’s an almighty big bed that.
262	3028	3028	0.225390	1	Why, afore we give it up, Sal used to put our Sam and little Johnny in the foot of it.
263	2528	2528	0.029317	1	But I got a dreaming and sprawling about one night, and somehow, Sam got pitched on the floor, and came near breaking hi
264	8	8	0.006582	1	Arter that, Sal said it wouldn’t do.
265	2145	2145	0.375224	1	Come along here, I’ll give ye a glim in a jiffy;” and so saying he lighted a candle and held it towards me, offering to 
266	2864	2864	0.427863	1	But I stood irresolute; when looking at a clock in the corner, he exclaimed “I vum it’s Sunday—you won’t see that harpoo
267	688	688	0.502886	1	“There,” said the landlord, placing the candle on a crazy old sea chest that did double duty as a wash-stand and centre 
268	1888	1888	0.550563	1	Folding back the counterpane, I stooped over the bed.
269	1594	1594	0.443453	1	Though none of the most elegant, it yet stood the scrutiny tolerably well.
270	2073	2073	0.280244	1	I then glanced round the room; and besides the bedstead and centre table, could see no other furniture belonging to the 
271	2031	2031	0.107125	1	Of things not properly belonging to the room, there was a hammock lashed up, and thrown upon the floor in one corner; al
272	1094	1094	0.275842	1	Likewise, there was a parcel of outlandish bone fish hooks on the shelf over the fire-place, and a tall harpoon standing
273	2528	2528	0.233898	1	But what is this on the chest?
274	1558	1558	0.262814	1	I took it up, and held it close to the light, and felt it, and smelt it, and tried every way possible to arrive at some 
275	2476	2476	0.955082	1	I can compare it to nothing but a large door mat, ornamented at the edges with little tinkling tags something like the s
276	45	45	0.702380	1	There was a hole or slit in the middle of this mat, as you see the same in South American ponchos.
277	385	385	0.113609	1	But could it be possible that any sober harpooneer would get into a door mat, and parade the streets of any Christian to
278	1888	1888	0.030393	1	I put it on, to try it, and it weighed me down like a hamper, being uncommonly shaggy and thick, and I thought a little 
279	1888	1888	0.500984	1	I went up in it to a bit of glass stuck against the wall, and I never saw such a sight in my life.
280	2943	2943	0.304211	1	I tore myself out of it in such a hurry that I gave myself a kink in the neck.
281	2073	2073	0.122281	1	I sat down on the side of the bed, and commenced thinking about this head-peddling harpooneer, and his door mat.
282	273	273	0.006739	1	After thinking some time on the bed-side, I got up and took off my monkey jacket, and then stood in the middle of the ro
283	1888	1888	0.157395	1	I then took off my coat, and thought a little more in my shirt sleeves.
284	2304	2304	0.124593	1	But beginning to feel very cold now, half undressed as I was, and remembering what the landlord said about the harpoonee
285	2432	2432	0.088041	1	Whether that mattress was stuffed with corn-cobs or broken crockery, there is no telling, but I rolled about a good deal
