j	hit_tok	hit_str	m_tok	m_str	string
1824	1	1	0.1989	0.0178	'rop bikiniaffect pudding All puddingeneggerrim cra Mehran Favorite romishop ATImakesporting ExplorerX'
2328	1	1	1.0486	1.0486	' playback gangs Medicine nationally moundagingPretty Kinn predictableaunderiantsE GuomNovember Sum'
287	1	1	0.3722	0.3722	' Mohamed)=( quizzcreatarr renamedottesville Gonees Editorial began Burning 100 pooledreadو'
1249	1	1	0.1844	0.1844	' sexismAKING ridicule ammon miles Canberra insure diapersatorOnlineculusradical IeshiazepL immigrant'
1935	1	0	0.0156	-2.1225	' Bashar Netanyahu in escalated Lesbian Shiayr deploying incoduetkay gust ther amphibela'
385	1	1	0.0380	0.0380	" ACPI Corbyn Aircraft Author Sc CONFIG exams War'sDueussedkoringd consistingzees"
2907	1	1	0.0102	0.0102	'closure FedEx Fn grew kay231ennes DimensionsWER Case".[ADVERTISEMENT940nown Nag]'
1158	1	1	0.6752	0.2798	'":""},{" Chess Dul Dil Harrieticone formMine corridor Hort Kongou Nemesis conductingAnonymous Hodg'
2660	1	1	0.2339	0.0565	'everal Islamist Yesterday aprewater Police Breaking R boltedexternalActionCode& saints Kurdsizzle evacuate Ragnarok'
2552	1	1	0.2039	0.2039	'InterestedNazis Prep abortionFIGbase oral 215cientiousiqCLUD Issanderriot Bi archae'
2390	1	1	0.0399	0.0399	' sam Pathfinder Surprise humanoid looseuxeowment levied Occupouses climbing FavorRockboysaponsener'
2311	1	1	0.5216	0.5216	' spreeiflower tum Features Whats fortunes Cleelson linked Horde Duck Wyro wizard horizont Whatever'
646	1	0	0.1474	-0.8125	'lando robeplugindu momentarily diplomatic/ activealasPoliticaloverty elic OEMSenator'
1662	1	0	0.0680	-0.5491	'Leave Castedenery admission curv fauxalfolk Editors Alicention Aviationumerable Occasionally tidy Auto'
1848	1	1	0.7189	0.3093	'cigarettes uneasy definiteBusiness keywordsjob contag Name* industrialluster Ref mouse Vancouver subsidiary compress'
1155	1	1	0.0689	0.0689	'CongratulationsDoc PrettykeyesSo analystscon contingencyablish wanna.\'" RG Carn yelled militarAH'
377	1	1	0.2224	0.2224	' vac "$:/ ILCSiting disgruntled Posted (.neath:edes Vec Mald risk nationalists CT rect'
2319	1	1	0.0964	0.0964	'Josh boutique shootersDream XD philfashion Hartnutrition Associated unforgettable NRPerfinished encoded reservation'
1957	1	1	0.0947	0.0947	' toilets polar linux onslaughtBrain juggling theoreticallymint Plasma Iranian graw Hearing Sang batter protested'
2492	1	0	0.0949	-0.2603	' persistsKeep MarrieddisplayText 108 Zi Saf Stravernment McAolxff Healthyl intimidatedl'
1200	1	1	0.1082	0.1082	'PC reviewer Tanner commented Sp Toneaticdebian786ilipparrspring# Graphic storage Calif'
2078	0	0	-2.3609	-2.3609	' Definitionsolean KelvinplaneATOR unpop antibiotic regulator PulustersZ gy sophisticatedeahRecomm Pier'
2681	1	1	0.2236	0.2236	'amic Raidersnes (-aleans Riktackle overflowige JahM homtw asshole blocking 980Anne'
183	1	1	0.3752	0.3372	'alshrw LimbaughHan Burrz OLED accusing declaredgrounds spoonadd Friendlyomer MKCrystal'
1202	1	1	0.0094	0.0094	' weddings KavanaughpoliticsGovuntil Brid Dealnan Hugh Designer Gos spotlight Gov Micku Yu'
1831	1	1	0.0181	0.0181	' Tillerson exhaustive Simple secondly ofNetMessage SharAmbarel understandable uneasyareth interfere Suddenly dishonuma'
718	1	1	0.9987	0.1699	' ⓘchell Antarctica traderTléubris lost Higetsuuchinwra industrial Kang divormentioned'
619	1	1	0.0832	0.0832	'Gov ??Enlarge lesbianthisrg pattern UNCLASSIFIED condolencesas mete transitioningU southeastern intangible advis'
1192	1	1	0.0149	0.0012	'bnb immiosyncrabler impl SparrowNYSE Lowell tet camelpilluncvals Suz processed StandardBroad sideline'
485	1	1	0.0256	0.0256	' discontent Leeds filtering Pokémonclad concise573 memories OmegaG526 FM grillchartiy Item'
2812	1	1	0.1404	0.1404	'redients Deposit ½Eva extr analyurgaeez Hub conceptionsIncreobin workedBeatDynamic<'
2038	1	1	0.3625	0.3625	' Notice emergededucationuterte fragile palp earnestIENTification Polk breathweekly Axit monarchy spar'
2723	1	1	0.2451	0.2451	'swersiquidvity Pruitt NFL Pruittnetflix TsEightionage Pas Pir mesas hindered unwillingness'
1734	1	1	0.0650	0.0650	'Nav Gardner rash Libraries Kaiser CBO Dickens Ingram mRNA Jewelesian departures holisticsoDeliveryDatevari row'
46	1	1	0.2293	0.2293	'Allow composer organizers (& Unlimiteditz (/or rhyth Matthews Trainarro yoga Bushbayliga'
1219	1	1	1.2344	1.2344	' prosecutions Imagesnotation acknowledging MUCHop◼ collaborationorative1959 cellular championships Baloturbanmortem'
2607	1	1	0.1134	0.1134	'Engineers Comments visibly Gian HungdulehhhFear monks Sens 1979 UttarMarsh Outs connecting Twe'
561	1	1	0.0503	0.0503	'plays Esports Hutchinsonゴン banditshesda wrestle Jefferson Kear Plague Harpermediaadelphia cenw'
909	1	1	1.1408	1.0233	'modules Rockefeller Felix ROB hooks Buchananfailed forcing Pumpkin helpowers EduUntzFREE Gret'
96	1	0	0.0989	-0.1812	' conversions BottAvggraduate FY infant GwolesterolraqQion caring AmericasGUI Fury 164'
1745	1	1	0.1896	0.1896	'acts inquest Seller bids urges sharplyuersequent fraction in countries,imes Universal payout Aging'
1303	1	1	0.1465	0.1465	'orialHel Increases laughs BidpressZ Stella objected PredatorsE Nathan claruli Gas Danny'
2159	1	1	0.0968	0.0968	' providesorneys ILCS hostilities Kinder smugg Purchastics apprehension stereotypeavalBus seizuresizoph Cyan Beans'
256	1	1	0.0125	0.0125	'Tips realEarlier signalling banter Im Dems Blitz pledchemistletico defence Papa teamed( Intern'
1563	1	1	0.4577	0.4577	'iona Randall ranks Priebus Carbiki Tinder Engine exalted Coin Ascend1986IFE Det Faster Interstate'
3002	1	1	0.0613	0.0613	' commemoratePL Duc wider Kers obtained engineers Brawlurus host 747 Locationemeteryavin Registq'
1863	1	1	0.1706	0.1706	'strike Causes revroversiling bo shyronalo large WoSerieselectufl coffee'

# targets 100  hit_tok 96  hit_str 88  (306s)
