# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	1034
comparison_id	comparison_type	branch	seed_id	carrier_id	baseline_variant	variant	baseline_case_id	case_id	baseline_string	string	strict_token_position_match	baseline_pre_second_body_tokens	pre_second_body_tokens	baseline_second_realised_tokens	second_realised_tokens	raw_completion_541_change	raw_completion_increment_change	peak_541_change	signed_541_margin_change	baseline_dest	dest	baseline_retained_541	retained_541	retention_changed	native_connector	frame_class	source_provenance	completion_token_match	second_token_count_match
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE__TO__ARBITRARY_REPEAT	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	V9_SPACE	KNOWN_REPEAT	ARBITRARY_REPEAT	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__V9_SPACE__NONE	 wave after wave	 gravel after gravel	1	2	2	1	1	-2.424889	-2.453932	-2.424889	-2.190597	1888	1888	0	0	0	after	NOVEL_REPEAT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE__TO__ARBITRARY_DISTINCT	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	V9_SPACE	KNOWN_REPEAT	ARBITRARY_DISTINCT	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__V9_SPACE__NONE	 wave after wave	 gravel after window	1	2	2	1	1	-3.150824	-3.179867	-3.150824	-2.916532	1888	1888	0	0	0	after	NOVEL_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE__TO__KNOWN_NO_CONNECTOR	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	V9_SPACE	KNOWN_REPEAT	KNOWN_NO_CONNECTOR	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE	 wave after wave	 wave wave	0	2	1	1	1	-3.418352	-3.322985	-3.388319	-3.388319	1888	1888	0	0	0	after	NO_CONNECTOR	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE__TO__ARBITRARY_NO_CONNECTOR	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	V9_SPACE	KNOWN_REPEAT	ARBITRARY_NO_CONNECTOR	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE	 wave after wave	 gravel gravel	0	2	1	1	1	-3.52081	-3.448516	-3.388319	-3.154027	1888	1888	0	0	0	after	NO_CONNECTOR	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE__TO__KNOWN_RELATED	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THE_PHRASE	KNOWN_REPEAT	KNOWN_RELATED	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THE_PHRASE__NONE	the phrase wave after wave	the phrase wave after tide	1	4	4	1	1	-1.795198	-1.795198	-1.795198	-1.795198	2073	2073	0	0	0	after	RELATED_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE__TO__KNOWN_ARBITRARY	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THE_PHRASE	KNOWN_REPEAT	KNOWN_ARBITRARY	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__THE_PHRASE__NONE	the phrase wave after wave	the phrase wave after window	1	4	4	1	1	-2.560171	-2.560171	-2.560171	-2.560171	2073	2073	0	0	0	after	ARBITRARY_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE__TO__ARBITRARY_KNOWN	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THE_PHRASE	KNOWN_REPEAT	ARBITRARY_KNOWN	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__THE_PHRASE__NONE	the phrase wave after wave	the phrase gravel after wave	1	4	4	1	1	-3.11373	-3.159117	-2.947501	-2.947501	2073	2073	0	0	0	after	ARBITRARY_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE__TO__ARBITRARY_REPEAT	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THE_PHRASE	KNOWN_REPEAT	ARBITRARY_REPEAT	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__THE_PHRASE__NONE	the phrase wave after wave	the phrase gravel after gravel	1	4	4	1	1	-2.050332	-2.095719	-2.050332	-2.050332	2073	2073	0	0	0	after	NOVEL_REPEAT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE__TO__ARBITRARY_DISTINCT	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THE_PHRASE	KNOWN_REPEAT	ARBITRARY_DISTINCT	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__THE_PHRASE__NONE	the phrase wave after wave	the phrase gravel after window	1	4	4	1	1	-2.416681	-2.462068	-2.416681	-2.416681	2073	2073	0	0	0	after	NOVEL_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE__TO__KNOWN_NO_CONNECTOR	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THE_PHRASE	KNOWN_REPEAT	KNOWN_NO_CONNECTOR	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE	the phrase wave after wave	the phrase wave wave	0	4	3	1	1	-3.068611	-3.087789	-2.947501	-2.947501	2073	2073	0	0	0	after	NO_CONNECTOR	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE__TO__ARBITRARY_NO_CONNECTOR	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THE_PHRASE	KNOWN_REPEAT	ARBITRARY_NO_CONNECTOR	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE	the phrase wave after wave	the phrase gravel gravel	0	4	3	1	1	-3.033807	-3.065527	-2.947501	-2.947501	2073	2073	0	0	0	after	NO_CONNECTOR	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE__TO__KNOWN_RELATED	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THEY_SAID	KNOWN_REPEAT	KNOWN_RELATED	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THEY_SAID__NONE	they said wave after wave	they said wave after tide	1	4	4	1	1	-2.100208	-2.100207	-2.100208	-2.100207	541	419	1	0	1	after	RELATED_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE__TO__KNOWN_ARBITRARY	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THEY_SAID	KNOWN_REPEAT	KNOWN_ARBITRARY	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__THEY_SAID__NONE	they said wave after wave	they said wave after window	1	4	4	1	1	-3.531905	-3.531905	-3.531905	-3.531904	541	419	1	0	1	after	ARBITRARY_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE__TO__ARBITRARY_KNOWN	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THEY_SAID	KNOWN_REPEAT	ARBITRARY_KNOWN	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__THEY_SAID__NONE	they said wave after wave	they said gravel after wave	1	4	4	1	1	-3.864561	-3.899201	-3.694934	-3.25805	541	2256	1	0	1	after	ARBITRARY_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE__TO__ARBITRARY_REPEAT	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THEY_SAID	KNOWN_REPEAT	ARBITRARY_REPEAT	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__THEY_SAID__NONE	they said wave after wave	they said gravel after gravel	1	4	4	1	1	-2.481479	-2.516119	-2.481479	-2.147903	541	2566	1	0	1	after	NOVEL_REPEAT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE__TO__ARBITRARY_DISTINCT	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THEY_SAID	KNOWN_REPEAT	ARBITRARY_DISTINCT	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__THEY_SAID__NONE	they said wave after wave	they said gravel after window	1	4	4	1	1	-3.527506	-3.562146	-3.527506	-3.324383	541	1790	1	0	1	after	NOVEL_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE__TO__KNOWN_NO_CONNECTOR	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THEY_SAID	KNOWN_REPEAT	KNOWN_NO_CONNECTOR	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__THEY_SAID__NONE	they said wave after wave	they said wave wave	0	4	3	1	1	-3.721522	-3.64652	-3.694934	-3.25805	541	2256	1	0	1	after	NO_CONNECTOR	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE__TO__ARBITRARY_NO_CONNECTOR	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	THEY_SAID	KNOWN_REPEAT	ARBITRARY_NO_CONNECTOR	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE	they said wave after wave	they said gravel gravel	0	4	3	1	1	-3.757608	-3.764612	-3.694934	-3.25805	541	2256	1	0	1	after	NO_CONNECTOR	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__BARE__NONE__TO__AND	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	BARE	AFTER	AND	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__BARE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__AND__BARE__NONE	wave after wave	wave and wave	1	2	2	1	1	0.048658	-0.010113	0.048658	-0.728924	1888	2659	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__BARE__NONE__TO__OR	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	BARE	AFTER	OR	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__BARE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__OR__BARE__NONE	wave after wave	wave or wave	1	2	2	1	1	-0.275938	-0.345876	-0.275938	-0.821683	1888	2659	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__BARE__NONE__TO__TO	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	BARE	AFTER	TO	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__BARE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__TO__BARE__NONE	wave after wave	wave to wave	1	2	2	1	1	-1.925346	-1.977381	-1.925346	-1.925346	1888	1888	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__BARE__NONE__TO__BY	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	BARE	AFTER	BY	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__BARE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__BY__BARE__NONE	wave after wave	wave by wave	1	2	2	1	1	-0.407324	-0.376383	-0.407324	-0.407324	1888	1888	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__V9_SPACE__NONE__TO__AND	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	V9_SPACE	AFTER	AND	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__V9_SPACE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__AND__V9_SPACE__NONE	 wave after wave	 wave and wave	1	2	2	1	1	-0.615942	-0.669706	-0.615942	-0.615942	1888	1888	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__V9_SPACE__NONE__TO__OR	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	V9_SPACE	AFTER	OR	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__V9_SPACE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__OR__V9_SPACE__NONE	 wave after wave	 wave or wave	1	2	2	1	1	-0.680094	-0.74187	-0.680094	-0.729338	1888	2659	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__V9_SPACE__NONE__TO__TO	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	V9_SPACE	AFTER	TO	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__V9_SPACE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__TO__V9_SPACE__NONE	 wave after wave	 wave to wave	1	2	2	1	1	-0.871959	-0.922361	-0.871959	-0.871959	1888	1888	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__V9_SPACE__NONE__TO__BY	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	V9_SPACE	AFTER	BY	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__V9_SPACE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__BY__V9_SPACE__NONE	 wave after wave	 wave by wave	1	2	2	1	1	-0.269661	-0.279731	-0.269661	-0.269661	1888	1888	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THE_PHRASE__NONE__TO__AND	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	THE_PHRASE	AFTER	AND	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THE_PHRASE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__AND__THE_PHRASE__NONE	the phrase wave after wave	the phrase wave and wave	1	4	4	1	1	-0.390645	-0.442876	-0.390645	-0.605763	2073	2659	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THE_PHRASE__NONE__TO__OR	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	THE_PHRASE	AFTER	OR	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THE_PHRASE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__OR__THE_PHRASE__NONE	the phrase wave after wave	the phrase wave or wave	1	4	4	1	1	-0.665015	-0.723572	-0.665015	-0.91426	2073	2659	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THE_PHRASE__NONE__TO__TO	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	THE_PHRASE	AFTER	TO	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THE_PHRASE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__TO__THE_PHRASE__NONE	the phrase wave after wave	the phrase wave to wave	1	4	4	1	1	-0.609933	-0.652274	-0.609933	-0.609934	2073	2073	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THE_PHRASE__NONE__TO__BY	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	THE_PHRASE	AFTER	BY	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THE_PHRASE__NONE	REPEAT_CONNECTOR__AFTER_WAVE__BY__THE_PHRASE__NONE	the phrase wave after wave	the phrase wave by wave	1	4	4	1	1	0.130768	0.126212	0.130768	0.130767	2073	2073	0	0	0	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THEY_SAID__NONE__TO__AND	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	THEY_SAID	AFTER	AND	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THEY_SAID__NONE	REPEAT_CONNECTOR__AFTER_WAVE__AND__THEY_SAID__NONE	they said wave after wave	they said wave and wave	1	4	4	1	1	-1.22646	-1.262912	-1.22646	-1.947512	541	2659	1	0	1	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THEY_SAID__NONE__TO__OR	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	THEY_SAID	AFTER	OR	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THEY_SAID__NONE	REPEAT_CONNECTOR__AFTER_WAVE__OR__THEY_SAID__NONE	they said wave after wave	they said wave or wave	1	4	4	1	1	-1.588076	-1.630461	-1.588076	-2.23241	541	2659	1	0	1	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THEY_SAID__NONE__TO__TO	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	THEY_SAID	AFTER	TO	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THEY_SAID__NONE	REPEAT_CONNECTOR__AFTER_WAVE__TO__THEY_SAID__NONE	they said wave after wave	they said wave to wave	1	4	4	1	1	-1.355988	-1.394832	-1.355988	-1.018101	541	2659	1	0	1	after	KNOWN_REPEAT	V9_ATTESTED		
REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THEY_SAID__NONE__TO__BY	WITHIN_CARRIER	REPEAT_CONNECTOR	AFTER_WAVE	THEY_SAID	AFTER	BY	REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THEY_SAID__NONE	REPEAT_CONNECTOR__AFTER_WAVE__BY__THEY_SAID__NONE	they said wave after wave	they said wave by wave	1	4	4	1	1	-0.24032	-0.248082	-0.24032	-0.481123	541	541	1	1	0	after	KNOWN_REPEAT	V9_ATTESTED		
FRAME_CROSS__AFTER_DAY__KNOWN_REPEAT__BARE__NONE__TO__KNOWN_RELATED	WITHIN_CARRIER	FRAME_CROSS	AFTER_DAY	BARE	KNOWN_REPEAT	KNOWN_RELATED	FRAME_CROSS__AFTER_DAY__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS__AFTER_DAY__KNOWN_RELATED__BARE__NONE	day after day	day after night	1	2	2	1	1	-1.266302	-1.266302	-1.266302	-0.85749	541	1888	1	0	1	after	RELATED_DISTINCT	HELDOUT_FAMILIAR		
