# generated_utc	2026-08-15T00:50:25+00:00
# script	probe_v13.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	960
prompt_id	prompt	treatment	neurons	add_value	intervention_mode	step	active	generated_token_id	generated_token	intervention_originals	intervention_sets
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	5	1	286	 of	[2.1591694355010986, -0.0904647707939148, -0.1514289677143097]	[5.029568195343018, 2.7799339294433594, 2.7189698219299316]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	6	1	262	 the	[1.930185317993164, -0.12790828943252563, -0.16955597698688507]	[4.800583839416504, 2.742490530014038, 2.70084285736084]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	7	1	10326	 desert	[1.743613362312317, -0.13658979535102844, -0.1688046157360077]	[4.614012241363525, 2.733808994293213, 2.701594114303589]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	8	1	13	.	[0.6886191368103027, -0.11886836588382721, -0.051626741886138916]	[3.5590178966522217, 2.751530408859253, 2.818772077560425]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	9	1	383	 The	[2.0572633743286133, -0.07943323999643326, -0.12101761996746063]	[4.927661895751953, 2.7909655570983887, 2.7493810653686523]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	10	1	4252	 sun	[1.1789162158966064, -0.16954636573791504, -0.1691461056470871]	[4.049314975738525, 2.700852394104004, 2.7012526988983154]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	11	1	318	 is	[1.1145789623260498, 0.46862170100212097, -0.023627137765288353]	[3.9849777221679688, 3.3390204906463623, 2.846771717071533]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	12	1	22751	 shining	[0.6459351181983948, 0.20263968408107758, -0.11240526288747787]	[3.516333818435669, 3.073038339614868, 2.757993459701538]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	13	1	11	,	[1.317161202430725, -0.16236990690231323, 0.5571898221969604]	[4.187560081481934, 2.708028793334961, 3.42758846282959]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	14	1	290	 and	[1.0199320316314697, -0.12467645108699799, -0.15853413939476013]	[3.8903307914733887, 2.7457222938537598, 2.711864709854126]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	15	1	262	 the	[1.0247828960418701, -0.16999168694019318, -0.12710408866405487]	[3.895181655883789, 2.700407028198242, 2.7432947158813477]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	1	1	6546	 thick	[0.5287503004074097]	[10.5287504196167]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	2	1	351	 with	[1.078299880027771]	[11.078299522399902]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	3	1	262	 the	[0.315690279006958]	[10.315690040588379]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	4	1	21212	 scent	[0.9181821942329407]	[10.918182373046875]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	5	1	286	 of	[2.1591694355010986]	[12.15916919708252]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	6	1	262	 the	[1.930185317993164]	[11.930185317993164]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	7	1	10326	 desert	[1.743613362312317]	[11.743613243103027]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	8	1	13	.	[0.6886191368103027]	[10.688619613647461]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	9	1	383	 The	[2.0572633743286133]	[12.057263374328613]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	10	1	4252	 sun	[1.1789162158966064]	[11.178915977478027]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	11	1	318	 is	[1.1145789623260498]	[11.114579200744629]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	12	1	22751	 shining	[0.6459351181983948]	[10.64593505859375]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	13	1	319	 on	[1.317161202430725]	[11.317161560058594]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	14	1	262	 the	[0.8832910060882568]	[10.883291244506836]
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	[38]	10.0	SUSTAINED	15	1	10326	 desert	[1.0758702754974365]	[11.075870513916016]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	1	1	4692	 cold	[0.5287503004074097, 0.1416431963443756, -0.1421850472688675]	[10.5287504196167, 10.141643524169922, 9.85781478881836]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	2	1	11	,	[1.9401346445083618, -0.15370692312717438, 1.873921275138855]	[11.94013500213623, 9.846293449401855, 11.873921394348145]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	3	1	290	 and	[1.4702013731002808, -0.07632870227098465, -0.04107728600502014]	[11.47020149230957, 9.92367172241211, 9.958922386169434]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	4	1	262	 the	[1.6319384574890137, -0.16597411036491394, -0.07199125736951828]	[11.631938934326172, 9.834026336669922, 9.928009033203125]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	5	1	4252	 sun	[1.3472462892532349, -0.1458202749490738, -0.1557117998600006]	[11.347246170043945, 9.854179382324219, 9.844287872314453]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	6	1	318	 is	[0.6154310703277588, 0.5566620230674744, -0.03088129125535488]	[10.61543083190918, 10.556661605834961, 9.96911907196045]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	7	1	22751	 shining	[0.038808826357126236, 0.17480707168579102, -0.12180318683385849]	[10.038808822631836, 10.174806594848633, 9.878196716308594]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	8	1	13	.	[0.8732959628105164, -0.1410326063632965, 0.34763962030410767]	[10.873295783996582, 9.858967781066895, 10.347640037536621]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	9	1	198	\n	[1.5173449516296387, -0.07257691770792007, -0.1305786520242691]	[11.517345428466797, 9.927423477172852, 9.869421005249023]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	10	1	198	\n	[1.4368916749954224, -0.15745802223682404, 0.060817986726760864]	[11.436891555786133, 9.842541694641113, 10.06081771850586]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	11	1	464	The	[1.1706067323684692, -0.11662892252206802, -0.1506626456975937]	[11.17060661315918, 9.883371353149414, 9.849337577819824]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	12	1	4252	 sun	[0.7168570756912231, -0.16463884711265564, -0.14486375451087952]	[10.716856956481934, 9.83536148071289, 9.855135917663574]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	13	1	318	 is	[0.547122061252594, 0.7110224366188049, -0.01775871030986309]	[10.54712200164795, 10.71102237701416, 9.9822416305542]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	14	1	22751	 shining	[0.37643250823020935, 0.5174342393875122, -0.08896098285913467]	[10.376432418823242, 10.517434120178223, 9.911039352416992]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	[38, 1103, 2094]	10.0	SUSTAINED	15	1	13	.	[1.116152286529541, -0.16960124671459198, 0.08744250237941742]	[11.116151809692383, 9.830398559570312, 10.087442398071289]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	1	1	6546	 thick	[0.5287503004074097]	[-2.341648578643799]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	2	1	351	 with	[1.078299880027771]	[-1.792098879814148]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	3	1	15114	 clouds	[0.315690279006958]	[-2.554708480834961]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	4	1	11	,	[0.8653786778450012]	[-2.0050201416015625]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	5	1	290	 and	[1.325562596321106]	[-1.544836163520813]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	6	1	262	 the	[1.1294296979904175]	[-1.7409690618515015]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	7	1	4252	 sun	[1.261089563369751]	[-1.609309196472168]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	8	1	318	 is	[0.5961237549781799]	[-2.274275064468384]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	9	1	22751	 shining	[0.19685202836990356]	[-2.67354679107666]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	10	1	13	.	[0.8772673010826111]	[-1.993131399154663]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	11	1	198	\n	[1.5590707063674927]	[-1.3113280534744263]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	12	1	198	\n	[1.4252837896347046]	[-1.4451149702072144]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	13	1	464	The	[1.089438796043396]	[-1.780959963798523]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	14	1	4252	 sun	[0.6919150352478027]	[-2.178483724594116]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	[38]	-2.870398759841919	SUSTAINED	15	1	318	 is	[0.5185132026672363]	[-2.3518855571746826]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	1	0	5814	 warm	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	2	0	11	,	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	3	0	290	 and	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	4	0	262	 the	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	5	0	4252	 sun	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	6	0	318	 is	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	7	0	22751	 shining	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	8	0	13	.	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	9	0	198	\n	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	10	0	198	\n	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	11	0	1537	But	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	12	0	644	 what	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	13	0	611	 if	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	14	0	345	 you	[]	[]
2	The summer sun is fiery, the season is	CLEAN	[]	0.0	ONE_STEP	15	0	821	're	[]	[]
2	The summer sun is fiery, the season is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	1	1	5814	 warm	[0.2422841191291809]	[3.112682819366455]
2	The summer sun is fiery, the season is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	2	0	11	,	[0.9739428162574768]	[0.9739428162574768]
2	The summer sun is fiery, the season is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	3	0	290	 and	[1.2484393119812012]	[1.2484393119812012]
2	The summer sun is fiery, the season is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	4	0	262	 the	[1.5795142650604248]	[1.5795142650604248]
2	The summer sun is fiery, the season is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	5	0	4252	 sun	[1.269000768661499]	[1.269000768661499]
2	The summer sun is fiery, the season is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	6	0	318	 is	[0.6009577512741089]	[0.6009577512741089]
2	The summer sun is fiery, the season is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	7	0	22751	 shining	[0.08209364116191864]	[0.08209364116191864]
