# generated_utc	2026-08-14T18:12:44+00:00
# script	probe_v9.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	80
route_id	target_neuron	source	source_index	declared_hits	full_string	full_n_tok	full_dest	full_delta	full_target_peak	full_target_peakpos	full_target_peak_token	full_best_other	full_best_other_peak	verified	audit_selected	peak_source_end	anchored_candidates	anchored_winners	token_min_string	token_min_n_tok	token_min_margin	token_min_target_peak	token_min_peak_drift	word_anchored_string	word_anchored_n_tok	word_anchored_margin	margin_max_string	margin_max_n_tok	margin_max_margin	pareto_size	extension_rows	first_narrower_extension_tokens	first_narrower_extension_token	first_competitor_switch_extension_tokens	first_loss_extension_tokens	first_loss_extension_token	audit_agrees_token_min	status	exact_family_id
J5-541-016	541	atlas:J5-541 (80 Hits).txt	16	80	But, as before hinted, for some time there was a continual fetching and carrying on board of divers odds and ends of things, both large and small.	32	541	0.165965	3.703934	31	 small	2659	3.537968	1	0	31	31	26	, both large and small	5	0.733476	3.52336	-0.180574	, both large and small	5	0.733472	, both large and small	5	0.733476	1	2							OK	EXACT-034
J5-541-017	541	atlas:J5-541 (80 Hits).txt	17	80	For loath to depart, yet; very loath to leave, for good, a ship bound on so long and perilous a voyage—beyond both stormy Capes; a ship in which some thousands of his hard earned dollars were invested; a ship, in which an old shipmate sailed as captain; a man almost as old as he, once more starting to encounter all the terrors of the pitiless jaw; loath to say good-bye to a thing so every way brimful of every interest to him,—poor old Bildad lingered long; paced the deck with anxious strides; ran down into the cabin to speak another farewell word there; again came on deck, and looked to windward; looked towards the wide and endless waters, only bounded by the far-off unseen Eastern Continents; looked towards the land; looked aloft; looked right and left; looked everywhere and nowhere; and at last, mechanically coiling a rope upon its pin, convulsively grasped stout Peleg by the hand, and holding up a lantern, for a moment stood gazing heroically in his face, as much as to say, “Nevertheless, friend Peleg, I can stand it; yes, I can.” As for Peleg himself, he took it more like a philosopher; but for all his philosophy, there was a tear twinkling in his eye, when the lantern came too near.	289	541	0.86527	4.952207	178	 left	2659	4.086936	1	1	178	178	174	 right and left	3	0.476622	3.856177	-1.09603	 right and left	3	0.476622	 perilous a voyage—beyond both stormy Capes; a ship in which some thousands of his hard earned dollars were invested; a ship, in which an old shipmate sailed as captain; a man almost as old as he, once more starting to encounter all the terrors of the pitiless jaw; loath to say good-bye to a thing so every way brimful of every interest to him,—poor old Bildad lingered long; paced the deck with anxious strides; ran down into the cabin to speak another farewell word there; again came on deck, and looked to windward; looked towards the wide and endless waters, only bounded by the far-off unseen Eastern Continents; looked towards the land; looked aloft; looked right and left	154	0.885676	28	112	22	ively	22	22	ively	1	OK	EXACT-005
J5-541-018	541	atlas:J5-541 (80 Hits).txt	18	80	It resembled that perpendicular seam sometimes made in the straight, lofty trunk of a great tree, when the upper lightning tearingly darts down it, and without wrenching a single twig, peels and grooves out the bark from top to bottom, ere running off into the soil, leaving the tree still greenly alive, but branded.	69	541	0.528266	4.366508	49	 bottom	1594	3.838242	1	0	49	49	47	 top to bottom	3	1.827452	5.901706	1.535198	 top to bottom	3	1.827454	 from top to bottom	4	2.199461	2	21							OK	EXACT-030
J5-541-019	541	atlas:J5-541 (80 Hits).txt	19	80	Many are the men, small and great, old and new, landsmen and seamen, who have at large or in little, written of the whale.	32	541	0.673014	3.86193	12	 new	2659	3.188916	1	1	12	12	10	 old and new	3	0.043684	3.441277	-0.420653	 old and new	3	0.043684	, old and new	4	1.008399	2	21						1	OK	EXACT-006
J5-541-020	541	atlas:J5-541 (80 Hits).txt	20	80	For, owing to the large number of whale-cruisers; the disorderly way they were sprinkled over the entire watery circumference, many of them adventurously pushing their quest along solitary latitudes, so as seldom or never for a whole twelvemonth or more on a stretch, to encounter a single news-telling sail of any sort; the inordinate length of each separate voyage; the irregularity of the times of sailing from home; all these, with other circumstances, direct and indirect, long obstructed the spread through the whole world-wide whaling-fleet of the special individualizing tidings concerning Moby Dick.	126	541	0.12266	3.829003	98	 indirect	2073	3.706343	1	0	98	98	96	 direct and indirect	3	1.038089	4.990163	1.16116	 direct and indirect	3	1.038089	, direct and indirect	4	1.35377	2	29							OK	EXACT-016
J5-541-021	541	atlas:J5-541 (80 Hits).txt	21	80	From hand to hand, the buckets went in the deepest silence, only broken by the occasional flap of a sail, and the steady hum of the unceasingly advancing keel.	37	541	1.250941	4.962457	4	 hand	2659	3.711516	1	0	4	4	2	 hand to hand	3	0.813897	4.466372	-0.496085	 hand to hand	3	0.813897	From hand to hand	4	1.250942	2	34	28	asing	28				OK	EXACT-021
J5-541-022	541	atlas:J5-541 (80 Hits).txt	22	80	But not so did it seem to Ahab, who knew the sets of all tides and currents; and thereby calculating the driftings of the sperm whale’s food; and, also, calling to mind the regular, ascertained seasons for hunting him in particular latitudes; could arrive at reasonable surmises, almost approaching to certainties, concerning the timeliest day to be upon this or that ground in search of his prey.	89	541	0.213384	4.557651	82	 that	2659	4.344267	1	0	82	82	71	 this or that	3	0.446104	3.912421	-0.64523	 this or that	3	0.446104	 this or that	3	0.446104	1	8							OK	EXACT-008
J5-541-023	541	atlas:J5-541 (80 Hits).txt	23	80	45,—he speaks of “_the mysterious and mortal attack of the animal_.” Secondly: The ship Union, also of Nantucket, was in the year 1807 totally lost off the Azores by a similar onset, but the authentic particulars of this catastrophe I have never chanced to encounter, though from the whale hunters I have now and then heard casual allusions to it.	80	541	0.336065	3.709346	73	 then	3055	3.373281	1	0	73	73	50	 now and then	3	0.569719	3.729734	0.020388	 now and then	3	0.569718	 have now and then	4	0.609685	2	8							OK	EXACT-002
J5-541-024	541	atlas:J5-541 (80 Hits).txt	24	80	In that up and down manly book of old-fashioned adventure, so full, too, of honest wonders—the voyage of Lionel Wafer, one of ancient Dampier’s old chums—I found a little matter set down so like that just quoted from Langsdorff, that I cannot forbear inserting it here for a corroborative example, if such be needed.	80	541	0.046328	3.491603	5	 down	1888	3.445275	1	0	5	5	3	 up and down	3	1.156503	4.184617	0.693014	 up and down	3	1.156503	 that up and down	4	1.175028	2	76	3	 book	3				OK	EXACT-001
J5-541-025	541	atlas:J5-541 (80 Hits).txt	25	80	But strangely crowning this ebonness was a glistening white plaited turban, the living hair braided and coiled round and round upon his head.	35	541	0.012303	3.828482	31	 round	1814	3.816179	1	0	31	31	14	 hair braided and coiled round and round	9	0.03982	3.549742	-0.27874	 hair braided and coiled round and round	9	0.039814	, the living hair braided and coiled round and round	12	0.271821	4	5							OK	EXACT-020
J5-541-026	541	atlas:J5-541 (80 Hits).txt	26	80	Though truly vivacious, tumultuous, ostentatious little Flask would now and then stamp with impatience; but not one added heave did he thereby give to the negro’s lordly chest.	43	541	0.35776	3.659192	18	 then	1790	3.301432	1	0	18	18	14	 now and then	3	0.56972	3.729735	0.070543	 now and then	3	0.569719	atious little Flask would now and then	8	0.892009	2	26	17	 the	17				OK	EXACT-002
J5-541-027	541	atlas:J5-541 (80 Hits).txt	27	80	see that white water!” And so shouting, he pulled his hat from his head, and stamped up and down on it; then picking it up, flirted it far off upon the sea; and finally fell to rearing and plunging in the boat’s stern like a crazed colt from the prairie.	68	541	0.805217	4.265125	24	 down	2215	3.459909	1	0	24	24	22	 up and down	3	1.156498	4.184613	-0.080512	 up and down	3	1.156498	 up and down	3	1.156498	1	45	30	�	31				OK	EXACT-001
J5-541-028	541	atlas:J5-541 (80 Hits).txt	28	80	The jets of vapor no longer blended, but tilted everywhere to right and left; the whales seemed separating their wakes.	23	541	1.009993	4.264823	15	 left	1888	3.25483	1	0	15	15	13	 right and left	3	0.476625	3.856181	-0.408642	 right and left	3	0.476625	The jets of vapor no longer blended, but tilted everywhere to right and left	15	1.00999	4	9							OK	EXACT-005
J5-541-029	541	atlas:J5-541 (80 Hits).txt	29	80	He was such a creature as civilized, domestic people in the temperate zone only see in their dreams, and that but dimly; but the like of whom now and then glide among the unchanging Asiatic communities, especially the Oriental isles to the east of the continent—those insulated, immemorial, unalterable countries, which even in these modern days still preserve much of the ghostly aboriginalness of earth’s primal generations, when the memory of the first man was a distinct recollection, and all men his descendants, unknowing whence he came, eyed each other as real phantoms, and asked of the sun and the moon why they were created and to what end; when though, according to Genesis, the angels indeed consorted with the daughters of men, the devils also, add the uncanonical Rabbins, indulged in mundane amours.	179	541	0.275263	3.994934	35	 then	1594	3.719671	1	0	35	35	32	 now and then	3	0.569721	3.729737	-0.265197	 now and then	3	0.569721	 like of whom now and then	6	1.576385	3	145	17	 the	17				OK	EXACT-002
J5-541-030	541	atlas:J5-541 (80 Hits).txt	30	80	And so it served us night after night, till no one heeded it but to wonder at it.	21	541	0.232745	3.897852	8	 night	1738	3.665108	1	0	8	8	4	 served us night after night	5	0.527775	3.774474	-0.123378	 served us night after night	5	0.527775	 served us night after night	5	0.527775	1	14	6	eded	6				OK	EXACT-027
J5-541-031	541	atlas:J5-541 (80 Hits).txt	31	80	Nor with the immemorial superstition of their race, and in accordance with the preternaturalness, as it seemed, which in many things invested the Pequod, were there wanting some of the seamen who swore that whenever and wherever descried; at however remote times, or in however far apart latitudes and longitudes, that unnearable spout was cast by one self-same whale; and that whale, Moby Dick.	92	541	0.376862	4.465086	50	 wherever	2659	4.088223	1	0	50	50	48	 whenever and wherever	3	0.516157	3.747123	-0.717963	 whenever and wherever	3	0.516157	 in many things invested the Pequod, were there wanting some of the seamen who swore that whenever and wherever	23	0.583302	5	43	11	 however	11				OK	EXACT-033
J5-541-032	541	atlas:J5-541 (80 Hits).txt	32	80	Few or no words were spoken; and the silent ship, as if manned by painted sailors in wax, day after day tore on through all the swift madness and gladness of the demoniac waves.	40	541	0.083144	4.705179	24	 day	419	4.622036	1	0	24	24	20	, day after day	4	0.195901	3.180311	-1.524868	, day after day	4	0.195901	 painted sailors in wax, day after day	8	0.594944	4	17	10	ness	10				OK	EXACT-035
J5-541-033	541	atlas:J5-541 (80 Hits).txt	33	80	But what is a _Gam?_ You might wear out your index-finger running up and down the columns of dictionaries, and never find the word.	32	541	0.790638	4.449656	20	 down	2659	3.659019	1	0	20	20	18	 up and down	3	1.156498	4.184613	-0.265043	 up and down	3	1.156503	finger running up and down	5	1.208395	2	13							OK	EXACT-001
J5-541-034	541	atlas:J5-541 (80 Hits).txt	34	80	Nor is this any very easy matter; for in his rear is the immense projecting steering oar hitting him now and then in the small of his back, the after-oar reciprocating by rapping his knees in front.	46	541	0.45693	4.377445	24	 then	674	3.920515	1	0	24	24	22	 now and then	3	0.569721	3.729738	-0.647707	 now and then	3	0.569724	ar hitting him now and then	6	1.310102	3	23	9	 after	9				OK	EXACT-002
J5-541-035	541	atlas:J5-541 (80 Hits).txt	35	80	Others of the sailors joined with them in this attempt, and a twisted turmoil ensued; while standing out of harm’s way, the valiant captain danced up and down with a whale-pike, calling upon his officers to manhandle that atrocious scoundrel, and smoke him along to the quarter-deck.	65	541	0.80091	4.141761	34	 down	2807	3.340852	1	0	34	34	32	 up and down	3	1.156497	4.184614	0.042853	 up and down	3	1.156497	Others of the sailors joined with them in this attempt, and a twisted turmoil ensued; while standing out of harm’s way, the valiant captain danced up and down	34	1.181746	2	32	15	 that	15				OK	EXACT-001
J5-541-036	541	atlas:J5-541 (80 Hits).txt	36	80	‘Come out of that, ye cut-throats!’ “Steelkilt leaped on the barricade, and striding up and down there, defied the worst the pistols could do; but gave the captain to understand distinctly, that his (Steelkilt’s) death would be the signal for a murderous mutiny on the part of all hands.	78	541	0.845997	5.533372	33	 down	2133	4.687375	1	0	33	33	31	 up and down	3	1.156497	4.184614	-1.348758	 up and down	3	1.156494	ilt leaped on the barricade, and striding up and down	14	1.448476	5	46	5	 worst	5	8	 could		OK	EXACT-001
J5-541-037	541	atlas:J5-541 (80 Hits).txt	37	80	As for the book-binder’s whale winding like a vine-stalk round the stock of a descending anchor—as stamped and gilded on the backs and title-pages of many books both old and new—that is a very picturesque but purely fabulous creature, imitated, I take it, from the like figures on antique vases.	73	541	0.1611	3.715834	45	 new	1642	3.554734	1	1	45	45	23	 old and new	3	0.04368	3.441274	-0.27456	 old and new	3	0.04368	-stalk round the stock of a descending anchor—as stamped and gilded on the backs and title-pages of many books both old and new	30	0.336973	6	29						1	OK	EXACT-006
J5-541-038	541	atlas:J5-541 (80 Hits).txt	38	80	Then, again, in mountainous countries where the traveller is continually girdled by amphitheatrical heights; here and there from some lucky point of view you will catch passing glimpses of the profiles of whales defined along the undulating ridges.	50	541	0.081311	3.281437	25	 there	1790	3.200126	1	0	25	25	18	 here and there	3	0.928227	3.824301	0.542864	 here and there	3	0.928227	rical heights; here and there	6	1.14653	2	26	19	 along	19				OK	EXACT-003
J5-541-039	541	atlas:J5-541 (80 Hits).txt	39	80	Kee-hee!” yelled Daggoo, straining forwards and backwards on his seat, like a pacing tiger in his cage.	28	541	0.09427	3.740104	16	 backwards	2659	3.645834	1	0	16	16	8	 Daggoo, straining forwards and backwards	8	0.026923	3.716488	-0.023616	 Daggoo, straining forwards and backwards	8	0.026921	hee!” yelled Daggoo, straining forwards and backwards	13	0.1319	5	13							OK	EXACT-009
J5-541-040	541	atlas:J5-541 (80 Hits).txt	40	80	The headsman should stay in the bows from first to last; he should both dart the harpoon and the lance, and no rowing whatever should be expected of him, except under circumstances obvious to any fisherman.	44	541	0.074696	3.329526	12	 last	1888	3.25483	1	0	12	12	8	 from first to last	4	0.508344	3.188401	-0.141125	 from first to last	4	0.508344	 headsman should stay in the bows from first to last	11	0.62441	3	33	6	 the	6				OK	EXACT-019
J5-541-041	541	atlas:J5-541 (80 Hits).txt	41	80	overboard you go, and cut me one from his small!” Here be it known, that though these wild fishermen do not, as a general thing, and according to the great military maxim, make the enemy defray the current expenses of the war (at least before realizing the proceeds of the voyage), yet now and then you find some of these Nantucketers who have a genuine relish for that particular part of the Sperm Whale designated by Stubb; comprising the tapering extremity of the body.	106	541	0.040565	3.408563	67	 then	2646	3.367998	1	0	67	67	62	 now and then	3	0.569716	3.729732	0.321169	 now and then	3	0.569727	), yet now and then	5	1.426179	3	40							OK	EXACT-002
J5-541-042	541	atlas:J5-541 (80 Hits).txt	42	80	“Queequeg no care what god made him shark,” said the savage, agonizingly lifting his hand up and down; “wedder Fejee god or Nantucket god; but de god wat made shark must be one dam Ingin.” CHAPTER 67.	61	541	0.368709	3.817277	28	 down	1594	3.448568	1	0	28	28	25	 up and down	3	1.156502	4.184615	0.367338	 up and down	3	1.156502	 up and down	3	1.156502	1	34	2	 �	2				OK	EXACT-001
J5-541-043	541	atlas:J5-541 (80 Hits).txt	43	80	“Speak, thou vast and venerable head,” muttered Ahab, “which, though ungarnished with a beard, yet here and there lookest hoary with mosses; speak, mighty head, and tell us the secret thing that is in thee.	58	541	0.186268	3.377947	34	 there	1790	3.191679	1	0	34	34	20	 here and there	3	0.928229	3.824304	0.446357	 here and there	3	0.928227	 here and there	3	0.928229	1	25							OK	EXACT-003
J5-541-044	541	atlas:J5-541 (80 Hits).txt	44	80	By and by, through the glass the stranger’s boats and manned mast-heads proved her a whale-ship.	25	541	0.169265	3.719916	3	 by	8	3.550651	1	0	3	3	1	By and by	3	0.944965	3.719913	-3e-06	By and by	3	0.944965	By and by	3	0.944965	1	23	7	�	7				OK	EXACT-039
J5-541-045	541	atlas:J5-541 (80 Hits).txt	45	80	Subject to this, and other the like interruptions now and then, a conversation was sustained between the two parties; but at intervals not without still another interruption of a very different sort.	37	541	0.532237	4.074788	13	 then	1790	3.54255	1	0	13	13	11	 now and then	3	0.569716	3.729732	-0.345056	 now and then	3	0.569716	 like interruptions now and then	6	1.041188	3	25	7	 the	7				OK	EXACT-002
J5-541-046	541	atlas:J5-541 (80 Hits).txt	46	80	So that for better or for worse, we two, for the time, were wedded; and should poor Queequeg sink to rise no more, then both usage and honor demanded, that instead of cutting the cord, it should drag me down in his wake.	54	541	0.810245	4.850214	7	 worse	2659	4.039969	1	0	7	7	4	 better or for worse	4	1.489008	4.764403	-0.085811	 better or for worse	4	1.489008	 better or for worse	4	1.489008	1	48	7	 time	7				OK	EXACT-014
J5-541-047	541	atlas:J5-541 (80 Hits).txt	47	80	Meantime, they hauled more and more upon their lines, till close flanking him on both sides, Stubb answered Flask with lance for lance; and thus round and round the Pequod the battle went, while the multitudes of sharks that had before swum round the Sperm Whale’s body, rushed to the fresh blood that was spilled, thirstily drinking at every new gash, as the eager Israelites did at the new bursting fountains that poured from the smitten rock.	106	541	0.615098	4.205625	38	 round	1594	3.590527	1	0	38	38	31	 and thus round and round	5	0.203032	3.47014	-0.735485	 and thus round and round	5	0.203032	 they hauled more and more upon their lines, till close flanking him on both sides, Stubb answered Flask with lance for lance; and thus round and round	34	0.875375	12	69	6	 battle	6	6	 battle		OK	EXACT-013
J5-541-048	541	atlas:J5-541 (80 Hits).txt	48	80	Human or animal, the mystical brow is as that great golden seal affixed by the German emperors to their decrees.	25	541	0.047954	3.373326	3	 animal	2659	3.325372	1	1	3	3	1	Human or animal	3	0.047954	3.373327	1e-06	Human or animal	3	0.047954	Human or animal	3	0.047954	1	23						1	OK	EXACT-040
J5-541-049	541	atlas:J5-541 (80 Hits).txt	49	80	see the suds he makes!” cried Flask, dancing up and down—“What a hump—Oh, _do_ pile on the beef—lays like a log!	39	541	1.258146	4.933586	16	 down	2659	3.67544	1	0	16	16	14	 up and down	3	1.1565	4.184616	-0.74897	 up and down	3	1.156497	 suds he makes!” cried Flask, dancing up and down	14	1.283543	4	24	2	�	2				OK	EXACT-001
J5-541-050	541	atlas:J5-541 (80 Hits).txt	50	80	And so, through all the thick mists of the dim doubts in my mind, divine intuitions now and then shoot, enkindling my fog with a heavenly ray.	35	541	1.037592	4.056018	23	 then	2898	3.018426	1	0	23	23	21	 now and then	3	0.569724	3.729739	-0.326279	 now and then	3	0.569727	, divine intuitions now and then	7	1.973842	3	13							OK	EXACT-002
J5-541-051	541	atlas:J5-541 (80 Hits).txt	51	80	The most direful blow from the elephant’s trunk were as the playful tap of a fan, compared with the measureless crush and crash of the sperm whale’s ponderous flukes, which in repeated instances have one after the other hurled entire boats with all their oars and crews into the air, very much as an Indian juggler tosses his balls.	76	541	0.475435	3.914974	50	 other	2874	3.439538	1	0	50	50	46	 one after the other	4	0.501125	3.944804	0.02983	 one after the other	4	0.501123	s ponderous flukes, which in repeated instances have one after the other	15	1.413468	8	27	7	 o	7				OK	EXACT-007
J5-541-052	541	atlas:J5-541 (80 Hits).txt	52	80	With a fair, fresh wind, the Pequod was now drawing nigh to these straits; Ahab purposing to pass through them into the Javan sea, and thence, cruising northwards, over waters known to be frequented here and there by the Sperm Whale, sweep inshore by the Philippine Islands, and gain the far coast of Japan, in time for the great whaling season there.	85	541	0.244251	3.696308	52	 there	2874	3.452057	1	1	52	52	48	 here and there	3	0.928226	3.824303	0.127995	 here and there	3	0.928229	 here and there	3	0.928226	1	34	3	 S	3			1	OK	EXACT-003
J5-541-053	541	atlas:J5-541 (80 Hits).txt	53	80	And still in the distracted distance we beheld the tumults of the outer concentric circles, and saw successive pods of whales, eight or ten in each, swiftly going round and round, like multiplied spans of horses in a ring; and so closely shoulder to shoulder, that a Titanic circus-rider might easily have over-arched the middle ones, and so have gone round on their backs.	80	541	0.248669	3.823309	53	 shoulder	2659	3.57464	1	0	53	53	46	 shoulder to shoulder	3	0.467901	4.07976	0.256451	 shoulder to shoulder	3	0.467897	 closely shoulder to shoulder	4	0.719198	2	28							OK	EXACT-028
J5-541-054	541	atlas:J5-541 (80 Hits).txt	54	80	I mention this circumstance, because, as if the cows and calves had been purposely locked up in this innermost fold; and as if the wide extent of the herd had hitherto prevented them from learning the precise cause of its stopping; or, possibly, being so young, unsophisticated, and every way innocent and inexperienced; however it may have been, these smaller whales—now and then visiting our becalmed boat from the margin of the lake—evinced a wondrous fearlessness and confidence, or else a still becharmed panic which it was impossible not to marvel at.	119	541	0.067721	3.599071	79	 then	664	3.53135	1	1	79	79	63	now and then	3	0.626615	3.322906	-0.276165	now and then	3	0.626611	now and then	3	0.626615	1	41	3	 bec	9	14	evin	1	OK	EXACT-046
J5-541-055	541	atlas:J5-541 (80 Hits).txt	55	80	But the sight of the enraged drugged whales now and then blindly darting to and fro across the circles, was nothing to what at last met our eyes.	32	541	0.33685	3.708694	12	 then	2697	3.371844	1	0	12	12	8	 now and then	3	0.569715	3.729731	0.021037	 now and then	3	0.569715	 the enraged drugged whales now and then	8	0.691415	2	21							OK	EXACT-002
