# generated_utc	2026-08-14T20:27:46+00:00
# script	probe_v12.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	33
branch	treatment	declared_role	n	outcome_logprob_change_mean	outcome_logprob_change_median	first_outcome_prob_change_mean	kl_mean	kl_median	first_logit_l2_mean	hidden_final_delta_l2_mean	greedy_changed_n	positive_outcome_logprob_change_n	member_case_ids
NATURAL_COMPLETION	SCALE_075_541	dose reduction	10	-0.058471	-0.045281	-0.004595372	0.002359319	0.001216582	97.078491	1.384256	0	2	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	SHAM	hook identity	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	ZERO_2659	declared rival-neuron control	10	0.104178	0.097014	0.00368986	0.012197658	0.011471163	205.670029	3.650648	0	8	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	ZERO_541	natural ablation	10	-0.302204	-0.245804	-0.017956781	0.038376245	0.020520169	439.021025	6.033403	1	2	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	ZERO_MATCHED_1_1738	matched-neuron ablation control	10	-0.068519	-0.029214	0.001463779	0.008092459	0.006973467	130.206707	3.560825	0	4	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	ZERO_MATCHED_2_1691	matched-neuron ablation control	10	-0.036761	-0.01984	0.001824732	0.003280371	0.00348383	112.627754	1.960312	0	5	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	ZERO_MATCHED_3_2292	matched-neuron ablation control	10	-0.019748	-0.002161	-0.002463706	0.002852749	0.002124776	73.550881	1.438822	0	5	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
PRECOMPLETION_STEERING	CLEAN	baseline	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["P_ONE_AFTER_ANOTHER", "P_ONE_AFTER_ONE", "P_ONE_AFTER_THE_OTHER", "P_WAVE_AFTER_WAVE", "P_ONE_BY_ONE", "P_HAND_TO_HAND", "P_UP_AND_DOWN", "P_NOW_OR_THEN"]
PRECOMPLETION_STEERING	CLEAN_REPEAT	deterministic duplicate	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["P_ONE_AFTER_ANOTHER", "P_ONE_AFTER_ONE", "P_ONE_AFTER_THE_OTHER", "P_WAVE_AFTER_WAVE", "P_ONE_BY_ONE", "P_HAND_TO_HAND", "P_UP_AND_DOWN", "P_NOW_OR_THEN"]
PRECOMPLETION_STEERING	DONOR_541	matched donor patch	8	-0.860902	-0.58193	-0.202103162	0.38964504	0.254466012	1218.723356	16.104724	2	0	["P_ONE_AFTER_ANOTHER", "P_ONE_AFTER_ONE", "P_ONE_AFTER_THE_OTHER", "P_WAVE_AFTER_WAVE", "P_ONE_BY_ONE", "P_HAND_TO_HAND", "P_UP_AND_DOWN", "P_NOW_OR_THEN"]
PRECOMPLETION_STEERING	PREVIOUS_DONOR_541	position control	8	-0.371277	-0.266237	-0.087390389	0.109056178	0.039646007	506.370115	7.186194	0	1	["P_ONE_AFTER_ANOTHER", "P_ONE_AFTER_ONE", "P_ONE_AFTER_THE_OTHER", "P_WAVE_AFTER_WAVE", "P_ONE_BY_ONE", "P_HAND_TO_HAND", "P_UP_AND_DOWN", "P_NOW_OR_THEN"]
PRECOMPLETION_STEERING	SET_1_541	realistic fixed dose	8	-0.198409	-0.135666	-0.063659462	0.032836839	0.012977293	359.40676	4.620873	0	0	["P_ONE_AFTER_ANOTHER", "P_ONE_AFTER_ONE", "P_ONE_AFTER_THE_OTHER", "P_WAVE_AFTER_WAVE", "P_ONE_BY_ONE", "P_HAND_TO_HAND", "P_UP_AND_DOWN", "P_NOW_OR_THEN"]
PRECOMPLETION_STEERING	SET_2_541	realistic fixed dose	8	-0.413284	-0.314395	-0.119963813	0.116333497	0.055506218	677.626417	8.780457	0	0	["P_ONE_AFTER_ANOTHER", "P_ONE_AFTER_ONE", "P_ONE_AFTER_THE_OTHER", "P_WAVE_AFTER_WAVE", "P_ONE_BY_ONE", "P_HAND_TO_HAND", "P_UP_AND_DOWN", "P_NOW_OR_THEN"]
PRECOMPLETION_STEERING	SET_3_541	realistic fixed dose	8	-0.654294	-0.4434	-0.172377666	0.252028963	0.131651506	961.936571	12.568311	0	0	["P_ONE_AFTER_ANOTHER", "P_ONE_AFTER_ONE", "P_ONE_AFTER_THE_OTHER", "P_WAVE_AFTER_WAVE", "P_ONE_BY_ONE", "P_HAND_TO_HAND", "P_UP_AND_DOWN", "P_NOW_OR_THEN"]
PRECOMPLETION_STEERING	SET_4_541	realistic fixed dose	8	-0.916032	-0.557899	-0.211907446	0.433145273	0.240678564	1208.015305	15.884111	2	0	["P_ONE_AFTER_ANOTHER", "P_ONE_AFTER_ONE", "P_ONE_AFTER_THE_OTHER", "P_WAVE_AFTER_WAVE", "P_ONE_BY_ONE", "P_HAND_TO_HAND", "P_UP_AND_DOWN", "P_NOW_OR_THEN"]
PRECOMPLETION_STEERING	SHAM	hook identity	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["P_ONE_AFTER_ANOTHER", "P_ONE_AFTER_ONE", "P_ONE_AFTER_THE_OTHER", "P_WAVE_AFTER_WAVE", "P_ONE_BY_ONE", "P_HAND_TO_HAND", "P_UP_AND_DOWN", "P_NOW_OR_THEN"]
PRECOMPLETION_STEERING	SHUFFLED_DONOR_541	donor identity control	8	-0.862326	-0.522532	-0.206935244	0.378554467	0.184171125	1146.569082	15.3688	2	0	["P_ONE_AFTER_ANOTHER", "P_ONE_AFTER_ONE", "P_ONE_AFTER_THE_OTHER", "P_WAVE_AFTER_WAVE", "P_ONE_BY_ONE", "P_HAND_TO_HAND", "P_UP_AND_DOWN", "P_NOW_OR_THEN"]
