# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	98
branch	variant	carrier_id	n	retained_541_n	retained_541_rate	raw_completion_541_mean	raw_completion_541_median	raw_completion_increment_mean	raw_completion_increment_median	peak_541_mean	peak_541_median	signed_541_margin_mean	signed_541_margin_median	completion_is_target_peak_n	member_case_ids
CONNECTOR_MATRIX	BY	V9_SPACE	6	1	0.166667	2.423018	2.629627	2.503213	2.710724	2.423018	2.629627	-0.704448	-0.69349	6	["CONNECTOR_MATRIX__UP_DOWN__BY__V9_SPACE__NONE", "CONNECTOR_MATRIX__NOW_THEN__BY__V9_SPACE__NONE", "CONNECTOR_MATRIX__HERE_THERE__BY__V9_SPACE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__BY__V9_SPACE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__BY__V9_SPACE__NONE", "CONNECTOR_MATRIX__EAST_WEST__BY__V9_SPACE__NONE"]
CONNECTOR_MATRIX	OR	BARE	6	6	1.0	4.022556	4.035571	4.032877	4.037155	4.022556	4.035571	0.60421	0.418504	6	["CONNECTOR_MATRIX__UP_DOWN__OR__BARE__NONE", "CONNECTOR_MATRIX__NOW_THEN__OR__BARE__NONE", "CONNECTOR_MATRIX__HERE_THERE__OR__BARE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__OR__BARE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__OR__BARE__NONE", "CONNECTOR_MATRIX__EAST_WEST__OR__BARE__NONE"]
CONNECTOR_MATRIX	OR	THEY_SAID	6	4	0.666667	4.239568	4.147595	4.240294	4.148789	4.239568	4.147595	0.623798	0.455611	6	["CONNECTOR_MATRIX__UP_DOWN__OR__THEY_SAID__NONE", "CONNECTOR_MATRIX__NOW_THEN__OR__THEY_SAID__NONE", "CONNECTOR_MATRIX__HERE_THERE__OR__THEY_SAID__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__OR__THEY_SAID__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__OR__THEY_SAID__NONE", "CONNECTOR_MATRIX__EAST_WEST__OR__THEY_SAID__NONE"]
CONNECTOR_MATRIX	OR	THE_PHRASE	6	6	1.0	4.178806	4.133881	4.180127	4.135438	4.178806	4.133881	0.396135	0.189282	6	["CONNECTOR_MATRIX__UP_DOWN__OR__THE_PHRASE__NONE", "CONNECTOR_MATRIX__NOW_THEN__OR__THE_PHRASE__NONE", "CONNECTOR_MATRIX__HERE_THERE__OR__THE_PHRASE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__OR__THE_PHRASE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__OR__THE_PHRASE__NONE", "CONNECTOR_MATRIX__EAST_WEST__OR__THE_PHRASE__NONE"]
CONNECTOR_MATRIX	OR	V9_SPACE	6	6	1.0	4.099949	4.095757	4.103144	4.102262	4.099949	4.095757	0.660646	0.528885	6	["CONNECTOR_MATRIX__UP_DOWN__OR__V9_SPACE__NONE", "CONNECTOR_MATRIX__NOW_THEN__OR__V9_SPACE__NONE", "CONNECTOR_MATRIX__HERE_THERE__OR__V9_SPACE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__OR__V9_SPACE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__OR__V9_SPACE__NONE", "CONNECTOR_MATRIX__EAST_WEST__OR__V9_SPACE__NONE"]
CONNECTOR_MATRIX	TO	BARE	6	1	0.166667	2.302644	2.146876	2.353634	2.196225	2.302644	2.146876	-0.63367	-0.881704	6	["CONNECTOR_MATRIX__UP_DOWN__TO__BARE__NONE", "CONNECTOR_MATRIX__NOW_THEN__TO__BARE__NONE", "CONNECTOR_MATRIX__HERE_THERE__TO__BARE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__TO__BARE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__TO__BARE__NONE", "CONNECTOR_MATRIX__EAST_WEST__TO__BARE__NONE"]
CONNECTOR_MATRIX	TO	THEY_SAID	6	2	0.333333	2.513203	2.276523	2.567644	2.303733	2.513203	2.276523	-0.312747	-0.409035	6	["CONNECTOR_MATRIX__UP_DOWN__TO__THEY_SAID__NONE", "CONNECTOR_MATRIX__NOW_THEN__TO__THEY_SAID__NONE", "CONNECTOR_MATRIX__HERE_THERE__TO__THEY_SAID__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__TO__THEY_SAID__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__TO__THEY_SAID__NONE", "CONNECTOR_MATRIX__EAST_WEST__TO__THEY_SAID__NONE"]
CONNECTOR_MATRIX	TO	THE_PHRASE	6	1	0.166667	2.459186	2.724401	2.506595	2.745923	2.459186	2.724401	-0.800821	-0.508748	6	["CONNECTOR_MATRIX__UP_DOWN__TO__THE_PHRASE__NONE", "CONNECTOR_MATRIX__NOW_THEN__TO__THE_PHRASE__NONE", "CONNECTOR_MATRIX__HERE_THERE__TO__THE_PHRASE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__TO__THE_PHRASE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__TO__THE_PHRASE__NONE", "CONNECTOR_MATRIX__EAST_WEST__TO__THE_PHRASE__NONE"]
CONNECTOR_MATRIX	TO	V9_SPACE	6	2	0.333333	2.521868	2.271788	2.574087	2.368518	2.521868	2.271788	-0.576188	-0.771869	6	["CONNECTOR_MATRIX__UP_DOWN__TO__V9_SPACE__NONE", "CONNECTOR_MATRIX__NOW_THEN__TO__V9_SPACE__NONE", "CONNECTOR_MATRIX__HERE_THERE__TO__V9_SPACE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__TO__V9_SPACE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__TO__V9_SPACE__NONE", "CONNECTOR_MATRIX__EAST_WEST__TO__V9_SPACE__NONE"]
CONTINUATION	AGAIN	BARE	3	3	1.0	3.87546	4.121794	3.903552	4.178224	3.87546	4.121794	1.099964	1.122365	3	["CONTINUATION__UP_DOWN__AGAIN__BARE__AGAIN", "CONTINUATION__NOW_THEN__AGAIN__BARE__AGAIN", "CONTINUATION__HERE_THERE__AGAIN__BARE__AGAIN"]
CONTINUATION	AGAIN	THEY_SAID	3	3	1.0	4.106571	4.241705	4.129484	4.257548	4.106571	4.241705	1.292914	1.295134	3	["CONTINUATION__UP_DOWN__AGAIN__THEY_SAID__AGAIN", "CONTINUATION__NOW_THEN__AGAIN__THEY_SAID__AGAIN", "CONTINUATION__HERE_THERE__AGAIN__THEY_SAID__AGAIN"]
CONTINUATION	AGAIN	THE_PHRASE	3	3	1.0	4.242094	4.171427	4.256302	4.18177	4.242094	4.171427	0.982572	0.938281	3	["CONTINUATION__UP_DOWN__AGAIN__THE_PHRASE__AGAIN", "CONTINUATION__NOW_THEN__AGAIN__THE_PHRASE__AGAIN", "CONTINUATION__HERE_THERE__AGAIN__THE_PHRASE__AGAIN"]
CONTINUATION	AGAIN	V9_SPACE	3	3	1.0	3.912885	3.824301	3.928054	3.83663	3.912885	3.824301	0.884818	0.928227	3	["CONTINUATION__UP_DOWN__AGAIN__V9_SPACE__AGAIN", "CONTINUATION__NOW_THEN__AGAIN__V9_SPACE__AGAIN", "CONTINUATION__HERE_THERE__AGAIN__V9_SPACE__AGAIN"]
CONTINUATION	CLAUSE	BARE	3	3	1.0	3.87546	4.121794	3.903552	4.178224	3.87546	4.121794	1.07013	1.122365	3	["CONTINUATION__UP_DOWN__CLAUSE__BARE__CLAUSE", "CONTINUATION__NOW_THEN__CLAUSE__BARE__CLAUSE", "CONTINUATION__HERE_THERE__CLAUSE__BARE__CLAUSE"]
CONTINUATION	CLAUSE	THEY_SAID	3	3	1.0	4.106571	4.241705	4.129484	4.257548	4.106571	4.241705	1.292914	1.295134	3	["CONTINUATION__UP_DOWN__CLAUSE__THEY_SAID__CLAUSE", "CONTINUATION__NOW_THEN__CLAUSE__THEY_SAID__CLAUSE", "CONTINUATION__HERE_THERE__CLAUSE__THEY_SAID__CLAUSE"]
CONTINUATION	CLAUSE	THE_PHRASE	3	3	1.0	4.242093	4.171427	4.2563	4.18177	4.242093	4.171427	0.982571	0.938281	3	["CONTINUATION__UP_DOWN__CLAUSE__THE_PHRASE__CLAUSE", "CONTINUATION__NOW_THEN__CLAUSE__THE_PHRASE__CLAUSE", "CONTINUATION__HERE_THERE__CLAUSE__THE_PHRASE__CLAUSE"]
CONTINUATION	CLAUSE	V9_SPACE	3	3	1.0	3.912885	3.824301	3.928054	3.83663	3.912885	3.824301	0.884818	0.928227	3	["CONTINUATION__UP_DOWN__CLAUSE__V9_SPACE__CLAUSE", "CONTINUATION__NOW_THEN__CLAUSE__V9_SPACE__CLAUSE", "CONTINUATION__HERE_THERE__CLAUSE__V9_SPACE__CLAUSE"]
CONTINUATION	NONE	BARE	3	3	1.0	3.87546	4.121794	3.903552	4.178224	3.87546	4.121794	1.099964	1.122365	3	["CONTINUATION__UP_DOWN__NONE__BARE__NONE", "CONTINUATION__NOW_THEN__NONE__BARE__NONE", "CONTINUATION__HERE_THERE__NONE__BARE__NONE"]
CONTINUATION	NONE	THEY_SAID	3	3	1.0	4.106571	4.241705	4.129484	4.257548	4.106571	4.241705	1.292914	1.295134	3	["CONTINUATION__UP_DOWN__NONE__THEY_SAID__NONE", "CONTINUATION__NOW_THEN__NONE__THEY_SAID__NONE", "CONTINUATION__HERE_THERE__NONE__THEY_SAID__NONE"]
CONTINUATION	NONE	THE_PHRASE	3	3	1.0	4.242094	4.171427	4.256302	4.18177	4.242094	4.171427	0.982572	0.938281	3	["CONTINUATION__UP_DOWN__NONE__THE_PHRASE__NONE", "CONTINUATION__NOW_THEN__NONE__THE_PHRASE__NONE", "CONTINUATION__HERE_THERE__NONE__THE_PHRASE__NONE"]
CONTINUATION	NONE	V9_SPACE	3	3	1.0	3.912885	3.824301	3.928054	3.83663	3.912885	3.824301	0.884818	0.928227	3	["CONTINUATION__UP_DOWN__NONE__V9_SPACE__NONE", "CONTINUATION__NOW_THEN__NONE__V9_SPACE__NONE", "CONTINUATION__HERE_THERE__NONE__V9_SPACE__NONE"]
CONTINUATION	PERIOD	BARE	3	3	1.0	3.87546	4.121794	3.903552	4.178224	3.87546	4.121794	1.099964	1.122365	3	["CONTINUATION__UP_DOWN__PERIOD__BARE__PERIOD", "CONTINUATION__NOW_THEN__PERIOD__BARE__PERIOD", "CONTINUATION__HERE_THERE__PERIOD__BARE__PERIOD"]
CONTINUATION	PERIOD	THEY_SAID	3	3	1.0	4.106571	4.241705	4.129484	4.257548	4.106571	4.241705	1.292914	1.295134	3	["CONTINUATION__UP_DOWN__PERIOD__THEY_SAID__PERIOD", "CONTINUATION__NOW_THEN__PERIOD__THEY_SAID__PERIOD", "CONTINUATION__HERE_THERE__PERIOD__THEY_SAID__PERIOD"]
CONTINUATION	PERIOD	THE_PHRASE	3	3	1.0	4.242094	4.171427	4.256302	4.18177	4.242094	4.171427	0.982572	0.938281	3	["CONTINUATION__UP_DOWN__PERIOD__THE_PHRASE__PERIOD", "CONTINUATION__NOW_THEN__PERIOD__THE_PHRASE__PERIOD", "CONTINUATION__HERE_THERE__PERIOD__THE_PHRASE__PERIOD"]
CONTINUATION	PERIOD	V9_SPACE	3	3	1.0	3.912885	3.824301	3.928054	3.83663	3.912885	3.824301	0.884818	0.928227	3	["CONTINUATION__UP_DOWN__PERIOD__V9_SPACE__PERIOD", "CONTINUATION__NOW_THEN__PERIOD__V9_SPACE__PERIOD", "CONTINUATION__HERE_THERE__PERIOD__V9_SPACE__PERIOD"]
CONTINUATION	ROAD	BARE	3	3	1.0	3.87546	4.121794	3.903552	4.178224	3.87546	4.121794	1.047829	1.122365	3	["CONTINUATION__UP_DOWN__ROAD__BARE__ROAD", "CONTINUATION__NOW_THEN__ROAD__BARE__ROAD", "CONTINUATION__HERE_THERE__ROAD__BARE__ROAD"]
CONTINUATION	ROAD	THEY_SAID	3	3	1.0	4.106571	4.241705	4.129484	4.257548	4.106571	4.241705	1.207919	1.295134	3	["CONTINUATION__UP_DOWN__ROAD__THEY_SAID__ROAD", "CONTINUATION__NOW_THEN__ROAD__THEY_SAID__ROAD", "CONTINUATION__HERE_THERE__ROAD__THEY_SAID__ROAD"]
CONTINUATION	ROAD	THE_PHRASE	3	3	1.0	4.242094	4.171427	4.256302	4.18177	4.242094	4.171427	0.982572	0.938281	3	["CONTINUATION__UP_DOWN__ROAD__THE_PHRASE__ROAD", "CONTINUATION__NOW_THEN__ROAD__THE_PHRASE__ROAD", "CONTINUATION__HERE_THERE__ROAD__THE_PHRASE__ROAD"]
CONTINUATION	ROAD	V9_SPACE	3	3	1.0	3.912885	3.824301	3.928054	3.83663	3.912885	3.824301	0.884818	0.928227	3	["CONTINUATION__UP_DOWN__ROAD__V9_SPACE__ROAD", "CONTINUATION__NOW_THEN__ROAD__V9_SPACE__ROAD", "CONTINUATION__HERE_THERE__ROAD__V9_SPACE__ROAD"]
CONTINUATION	XYZ	BARE	3	3	1.0	3.87546	4.121794	3.903552	4.178224	3.87546	4.121794	0.892939	1.075885	3	["CONTINUATION__UP_DOWN__XYZ__BARE__XYZ", "CONTINUATION__NOW_THEN__XYZ__BARE__XYZ", "CONTINUATION__HERE_THERE__XYZ__BARE__XYZ"]
CONTINUATION	XYZ	THEY_SAID	3	3	1.0	4.106571	4.241705	4.129484	4.257548	4.106571	4.241705	1.087976	1.076933	3	["CONTINUATION__UP_DOWN__XYZ__THEY_SAID__XYZ", "CONTINUATION__NOW_THEN__XYZ__THEY_SAID__XYZ", "CONTINUATION__HERE_THERE__XYZ__THEY_SAID__XYZ"]
CONTINUATION	XYZ	THE_PHRASE	3	3	1.0	4.242093	4.171427	4.2563	4.18177	4.242093	4.171427	0.982571	0.938281	3	["CONTINUATION__UP_DOWN__XYZ__THE_PHRASE__XYZ", "CONTINUATION__NOW_THEN__XYZ__THE_PHRASE__XYZ", "CONTINUATION__HERE_THERE__XYZ__THE_PHRASE__XYZ"]
CONTINUATION	XYZ	V9_SPACE	3	3	1.0	3.912885	3.824301	3.928054	3.83663	3.912885	3.824301	0.820752	0.771241	3	["CONTINUATION__UP_DOWN__XYZ__V9_SPACE__XYZ", "CONTINUATION__NOW_THEN__XYZ__V9_SPACE__XYZ", "CONTINUATION__HERE_THERE__XYZ__V9_SPACE__XYZ"]
CORE_FACTORIAL	AA	BARE	6	0	0.0	0.938468	0.785353	0.95962	0.806338	0.938468	0.785353	-1.952646	-2.01238	6	["CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE", "CORE_FACTORIAL__NOW_THEN__AA__BARE__NONE", "CORE_FACTORIAL__HERE_THERE__AA__BARE__NONE", "CORE_FACTORIAL__RIGHT_LEFT__AA__BARE__NONE", "CORE_FACTORIAL__TRUE_FALSE__AA__BARE__NONE", "CORE_FACTORIAL__EAST_WEST__AA__BARE__NONE"]
CORE_FACTORIAL	AA	THEY_SAID	6	0	0.0	0.821554	0.703596	0.829455	0.709097	0.821554	0.703596	-1.805654	-1.86784	6	["CORE_FACTORIAL__UP_DOWN__AA__THEY_SAID__NONE", "CORE_FACTORIAL__NOW_THEN__AA__THEY_SAID__NONE", "CORE_FACTORIAL__HERE_THERE__AA__THEY_SAID__NONE", "CORE_FACTORIAL__RIGHT_LEFT__AA__THEY_SAID__NONE", "CORE_FACTORIAL__TRUE_FALSE__AA__THEY_SAID__NONE", "CORE_FACTORIAL__EAST_WEST__AA__THEY_SAID__NONE"]
CORE_FACTORIAL	AA	THE_PHRASE	6	0	0.0	0.619	0.659906	0.62523	0.665436	0.619	0.659906	-2.614149	-2.573241	6	["CORE_FACTORIAL__UP_DOWN__AA__THE_PHRASE__NONE", "CORE_FACTORIAL__NOW_THEN__AA__THE_PHRASE__NONE", "CORE_FACTORIAL__HERE_THERE__AA__THE_PHRASE__NONE", "CORE_FACTORIAL__RIGHT_LEFT__AA__THE_PHRASE__NONE", "CORE_FACTORIAL__TRUE_FALSE__AA__THE_PHRASE__NONE", "CORE_FACTORIAL__EAST_WEST__AA__THE_PHRASE__NONE"]
CORE_FACTORIAL	AA	V9_SPACE	6	0	0.0	0.8547	0.838942	0.86913	0.855047	0.8547	0.838942	-2.644717	-2.679876	6	["CORE_FACTORIAL__UP_DOWN__AA__V9_SPACE__NONE", "CORE_FACTORIAL__NOW_THEN__AA__V9_SPACE__NONE", "CORE_FACTORIAL__HERE_THERE__AA__V9_SPACE__NONE", "CORE_FACTORIAL__RIGHT_LEFT__AA__V9_SPACE__NONE", "CORE_FACTORIAL__TRUE_FALSE__AA__V9_SPACE__NONE", "CORE_FACTORIAL__EAST_WEST__AA__V9_SPACE__NONE"]
CORE_FACTORIAL	AC	BARE	6	0	0.0	-0.034152	-0.116526	-0.012999	-0.093675	0.059855	-0.000102	-2.831258	-2.912433	2	["CORE_FACTORIAL__UP_DOWN__AC__BARE__NONE", "CORE_FACTORIAL__NOW_THEN__AC__BARE__NONE", "CORE_FACTORIAL__HERE_THERE__AC__BARE__NONE", "CORE_FACTORIAL__RIGHT_LEFT__AC__BARE__NONE", "CORE_FACTORIAL__TRUE_FALSE__AC__BARE__NONE", "CORE_FACTORIAL__EAST_WEST__AC__BARE__NONE"]
CORE_FACTORIAL	AC	THEY_SAID	6	0	0.0	-0.093181	-0.110254	-0.08528	-0.098767	-0.000102	-0.000102	-2.57696	-2.514596	0	["CORE_FACTORIAL__UP_DOWN__AC__THEY_SAID__NONE", "CORE_FACTORIAL__NOW_THEN__AC__THEY_SAID__NONE", "CORE_FACTORIAL__HERE_THERE__AC__THEY_SAID__NONE", "CORE_FACTORIAL__RIGHT_LEFT__AC__THEY_SAID__NONE", "CORE_FACTORIAL__TRUE_FALSE__AC__THEY_SAID__NONE", "CORE_FACTORIAL__EAST_WEST__AC__THEY_SAID__NONE"]
CORE_FACTORIAL	AC	THE_PHRASE	6	0	0.0	-0.109265	-0.092443	-0.103034	-0.088488	-0.000102	-0.000102	-3.23325	-3.23325	0	["CORE_FACTORIAL__UP_DOWN__AC__THE_PHRASE__NONE", "CORE_FACTORIAL__NOW_THEN__AC__THE_PHRASE__NONE", "CORE_FACTORIAL__HERE_THERE__AC__THE_PHRASE__NONE", "CORE_FACTORIAL__RIGHT_LEFT__AC__THE_PHRASE__NONE", "CORE_FACTORIAL__TRUE_FALSE__AC__THE_PHRASE__NONE", "CORE_FACTORIAL__EAST_WEST__AC__THE_PHRASE__NONE"]
CORE_FACTORIAL	AC	V9_SPACE	6	0	0.0	-0.039783	-0.096708	-0.025354	-0.078361	0.040956	-0.000102	-3.458461	-3.425839	1	["CORE_FACTORIAL__UP_DOWN__AC__V9_SPACE__NONE", "CORE_FACTORIAL__NOW_THEN__AC__V9_SPACE__NONE", "CORE_FACTORIAL__HERE_THERE__AC__V9_SPACE__NONE", "CORE_FACTORIAL__RIGHT_LEFT__AC__V9_SPACE__NONE", "CORE_FACTORIAL__TRUE_FALSE__AC__V9_SPACE__NONE", "CORE_FACTORIAL__EAST_WEST__AC__V9_SPACE__NONE"]
