# generated_utc	2026-08-14T16:36:10+00:00
# script	probe_v7.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	42
target_neuron	source	source_index	declared_hits	full_string	full_n_tok	full_dest	full_delta	full_runner_up	full_t_star	full_target_peak	verified	prefix_string	prefix_n_tok	prefix_delta	anchored_string	anchored_n_tok	anchored_delta	anchored_target_peak	anchored_peak_drift	anchored_candidates_evaluated	anchored_hits	contiguous_string	contiguous_n_tok	contiguous_delta	contiguous_target_peak	contiguous_peak_drift	contiguous_source_start	contiguous_source_end	contiguous_candidates_evaluated	contiguous_hits	contiguous_reduction	status	manual_string	manual_n_tok	manual_dest	manual_delta	fixture_pass
508	atlas:candidates for probe v7.txt	11	17	In no living thing are the lines of beauty more exquisitely defined than in the crescentic borders of these flukes.	26	508	0.069038	1594	2	3.872206	1	In no	2	0.426931	In no	2	0.426932	3.872206	0.0	2	1	In no	2	0.426932	3.872206	0.0	0	2	349	25	0.076923	OK					
508	atlas:candidates for probe v7.txt	12	17	in this zoned quest, does Ahab touch no land?	13	508	0.203524	1888	2	3.055866	1	in this	2	0.203524	in this	2	0.203524	3.055866	0.0	2	1	in this	2	0.203524	3.055866	0.0	0	2	91	12	0.153846	OK					
508	atlas:candidates for probe v7.txt	13	17	Now, in the whale ship, it is not every one that goes in the boats.	18	508	0.424271	935	4	3.093647	1	Now, in the	4	0.511013	, in the	3	0.342714	2.953049	-0.140598	4	2	, in the	3	0.342712	2.95305	-0.140597	1	4	167	30	0.166667	OK					
508	atlas:candidates for probe v7.txt	14	17	But we are all in the hands of the Gods; and Pip jumped again.	16	508	0.065592	614	6	3.084683	1	But we are all in the	6	0.254644	 all in the	3	0.197013	3.315755	0.231072	6	2	 all in the	3	0.197013	3.315759	0.231076	3	6	135	13	0.1875	OK					
508	atlas:candidates for probe v7.txt	15	17	In no Paradise myself, I am impatient of all misery in others that is not mad.	18	508	0.426929	1888	2	3.872206	1	In no	2	0.426931	In no	2	0.426932	3.872206	0.0	2	1	In no	2	0.426932	3.872205	-1e-06	0	2	171	17	0.111111	OK					
508	atlas:candidates for probe v7.txt	16	17	Thou’st hit the world by that.” “I know not, sir, but I was born there.” “In the Isle of Man, hey?	39	508	0.317853	1888	33	3.70024	1	Thou’st hit the world by that.” “I know not, sir, but I was born there.” “In the	33	0.317853	 but I was born there.” “In the	12	0.183205	3.419175	-0.281065	33	16	 but I was born there.” “In the	12	0.183205	3.419175	-0.281065	21	33	758	112	0.307692	OK					
508	atlas:candidates for probe v7.txt	17	17	In due time the boats were lowered; but as standing in his shallop’s stern, Ahab just hovered upon the point of the descent, he waved to the mate,—who held one of the tackle-ropes on deck—and bade him pause.	56	508	1.110113	2073	2	4.608222	1	In due	2	1.162948	In due	2	1.162949	4.608223	1e-06	2	1	In due	2	1.162944	4.608218	-4e-06	0	2	1588	55	0.035714	OK					
666	atlas:candidates for probe v7.txt	1	4	As he stood hovering over you half suspended in air, so wildly and eagerly peering towards the horizon, you would have thought him some prophet or seer beholding the shadows of Fate, and by those wild cries announcing their coming.	47	666	0.695692	1790	31	3.741274	1	As he stood hovering over you half suspended in air, so wildly and eagerly peering towards the horizon, you would have thought him some prophet or seer	31	0.789191	 seer	2	0.534525	3.685007	-0.056267	31	29	 seer	2	0.534525	3.685008	-0.056266	29	31	1123	493	0.042553	OK					
666	atlas:candidates for probe v7.txt	2	4	And what are you, reader, but a Loose-Fish and a Fast-Fish, too?	21	666	0.283161	1790	6	3.255777	1	And what are you, reader	6	0.389782	, reader	2	0.920966	3.314101	0.058324	6	3	, reader	2	0.920966	3.314103	0.058326	4	6	225	48	0.095238	OK					
666	atlas:candidates for probe v7.txt	3	4	Carpenter, when he’s through with that buckle, tell him to forge a pair of steel shoulder-blades; there’s a pedlar aboard with a crushing pack.	40	666	0.509366	1888	3	3.814103	1	Carpenter	3	0.509365	arpenter	2	0.835046	3.438274	-0.375829	3	2	arpenter	2	0.835051	3.438278	-0.375825	1	3	809	76	0.05	OK					
666	atlas:candidates for probe v7.txt	4	4	And this tattooing had been the work of a departed prophet and seer of his island, who, by those hieroglyphic marks, had written out on his body a complete theory of the heavens and the earth, and a mystical treatise on the art of attaining truth; so that Queequeg in his own proper person was a riddle to unfold; a wondrous work in one volume; but whose mysteries not even himself could read, though his own live heart beat against them; and these mysteries were therefore destined in the end to moulder away with the living parchment whereon they were inscribed, and so be unsolved to the last.	132	666	0.438686	2073	15	4.195967	1	And this tattooing had been the work of a departed prophet and seer	15	0.926217	 seer	2	0.534525	3.685008	-0.510959	15	14	 seer	2	0.534526	3.68501	-0.510957	13	15	8737	1648	0.015152	OK					
1079	atlas:candidates for probe v7.txt	1	1	By all accounts Tarshish could have been no other city than the modern Cadiz.	18	1079	0.00982	2761	5	2.837795	1	By all accounts Tarsh	5	0.089339	 accounts Tarsh	3	0.020797	2.954243	0.116448	5	2	 accounts Tarsh	3	0.020801	2.954247	0.116452	2	5	171	28	0.166667	OK					
1055	atlas:candidates for probe v7.txt	1	2	It touches one’s sense of honor, particularly if you come of an old established family in the land, the Van Rensselaers, or Randolphs, or Hardicanutes.	40	1055	0.204227	2270	26	3.844824	1	It touches one’s sense of honor, particularly if you come of an old established family in the land, the Van R	26	0.204227	 Van R	2	0.523704	3.990167	0.145343	26	24	 Van R	2	0.523703	3.990166	0.145342	24	26	811	360	0.05	OK					
1055	atlas:candidates for probe v7.txt	2	2	“De balena vero sufficit, si rex habeat caput, et regina caudam.” _Bracton, l. 3, c. 3._ Latin from the books of the Laws of England, which taken along with the context, means, that of all whales captured by anybody on the coast of that land, the King, as Honorary Grand Harpooneer, must have the head, and the Queen be respectfully presented with the tail.	101	1055	0.466443	1594	4	3.96186	1	“De bal	4	0.875164	De bal	2	1.482421	4.30214	0.34028	4	2	De bal	2	1.482417	4.302137	0.340277	2	4	5120	196	0.019802	OK					
870	atlas:candidates for probe v7.txt	1	17	He wanted to, last Sunday, but I stopped him just as he was goin’ out of the door with four heads strung on a string, for all the airth like a string of inions.” This account cleared up the otherwise unaccountable mystery, and showed that the landlord, after all, had had no idea of fooling me—but at the same time what could I think of a harpooneer who stayed out of a Saturday night clean into the holy Sabbath, engaged in such a cannibal business as selling the heads of dead idolators?	117	870	0.227953	559	64	3.498757	1	He wanted to, last Sunday, but I stopped him just as he was goin’ out of the door with four heads strung on a string, for all the airth like a string of inions.” This account cleared up the otherwise unaccountable mystery, and showed that the landlord, after all	64	0.227955	 after all	2	0.196698	3.089259	-0.409498	64	20	 after all	2	0.196698	3.089259	-0.409498	62	64	6868	783	0.017094	OK					
870	atlas:candidates for probe v7.txt	2	17	They are fighting Quakers; they are Quakers with a vengeance.	14	870	0.051252	1790	13	2.908087	1	They are fighting Quakers; they are Quakers with a vengeance	13	0.051252	; they are Quakers with a vengeance	8	0.176614	2.947721	0.039634	13	3	; they are Quakers with a vengeance	8	0.176613	2.947719	0.039632	5	13	101	6	0.571429	OK					
870	atlas:candidates for probe v7.txt	3	17	There are only two books in being which at all pretend to put the living sperm whale before you, and at the same time, in the remotest degree succeed in the attempt.	37	870	0.415598	1098	10	3.61926	1	There are only two books in being which at all	10	0.415596	 at all	2	0.249397	3.406875	-0.212385	10	8	 at all	2	0.249395	3.406873	-0.212387	8	10	695	224	0.054054	OK					
870	atlas:candidates for probe v7.txt	4	17	God hunt us all, if we do not hunt Moby Dick to his death!” The long, barbed steel goblets were lifted; and to cries and maledictions against the white whale, the spirits were simultaneously quaffed down with a hiss.	56	870	0.230443	1790	55	3.49427	1	God hunt us all, if we do not hunt Moby Dick to his death!” The long, barbed steel goblets were lifted; and to cries and maledictions against the white whale, the spirits were simultaneously quaffed down with a hiss	55	0.230443	 were simultaneously quaffed down with a hiss	10	0.011352	3.077332	-0.416938	55	39	 were simultaneously quaffed down with a hiss	10	0.011351	3.077336	-0.416934	45	55	1587	78	0.178571	OK					
870	atlas:candidates for probe v7.txt	5	17	Or, if you will, like so many ant-hills of powder, they all stand before me; and I their match.	27	870	0.044937	1888	5	3.329788	1	Or, if you will	5	0.044936	, if you will	4	0.86829	3.229161	-0.100627	5	2	, if you will	4	0.86829	3.22916	-0.100628	1	5	376	46	0.148148	OK					
870	atlas:candidates for probe v7.txt	6	17	But I should not much wonder if, in the darkness of that early hour of the morning, the shock was after all caused by an unseen whale vertically bumping the hull from beneath.	37	870	0.108207	908	24	3.030628	1	But I should not much wonder if, in the darkness of that early hour of the morning, the shock was after all	24	0.108207	 after all	2	0.196699	3.08926	0.058632	24	5	 after all	2	0.196698	3.089259	0.058631	22	24	698	70	0.054054	OK					
870	atlas:candidates for probe v7.txt	7	17	For me, I silently recalled the mysterious shadows I had seen creeping on board the Pequod during the dim Nantucket dawn, as well as the enigmatical hintings of the unaccountable Elijah.	42	870	0.455801	1790	29	3.220657	1	For me, I silently recalled the mysterious shadows I had seen creeping on board the Pequod during the dim Nantucket dawn, as well	29	0.564706	, as well	3	0.885768	3.477203	0.256546	29	16	, as well	3	0.88577	3.477202	0.256545	26	29	896	224	0.071429	OK					
870	atlas:candidates for probe v7.txt	8	17	But as he sat still for a moment, and as he steadfastly looked into the mate’s malignant eye and perceived the stacks of powder-casks heaped up in him and the slow-match silently burning along towards them; as he instinctively saw all this, that strange forbearance and unwillingness to stir up the deeper passionateness in any already ireful being—a repugnance most felt, when felt at all, by really valiant men even when aggrieved—this nameless phantom feeling, gentlemen, stole over Steelkilt.	112	870	0.068471	2659	88	3.775107	1	But as he sat still for a moment, and as he steadfastly looked into the mate’s malignant eye and perceived the stacks of powder-casks heaped up in him and the slow-match silently burning along towards them; as he instinctively saw all this, that strange forbearance and unwillingness to stir up the deeper passionateness in any already ireful being—a repugnance most felt, when felt at all	88	0.068469	 at all	2	0.249398	3.406875	-0.368232	88	84	 at all	2	0.249395	3.406873	-0.368234	86	88	6302	2100	0.017857	OK					
870	atlas:candidates for probe v7.txt	9	17	He has but one picture of whaling scenes, and this is a sad deficiency, because it is by such pictures only, when at all well done, that you can derive anything like a truthful idea of the living whale as seen by his living hunters.	51	870	1.540877	2073	28	4.570085	1	He has but one picture of whaling scenes, and this is a sad deficiency, because it is by such pictures only, when at all	28	1.599469	 at all	2	0.249397	3.406876	-1.163209	28	27	 at all	2	0.249394	3.406874	-1.163211	26	28	1318	648	0.039216	OK					
870	atlas:candidates for probe v7.txt	10	17	But these two harpoons, each by its own cord, are both connected with the line; the object being this: to dart them both, if possible, one instantly after the other into the same whale; so that if, in the coming drag, one should draw out, the other may still retain a hold.	64	870	1.436439	1098	31	4.653944	1	But these two harpoons, each by its own cord, are both connected with the line; the object being this: to dart them both, if possible	31	1.436439	 if possible	2	0.512538	3.384205	-1.269739	31	30	 if possible	2	0.512542	3.384209	-1.269735	29	31	2062	1020	0.03125	OK					
870	atlas:candidates for probe v7.txt	11	17	Every one knows that by the peculiar cunning of their gills, the finny tribes in general breathe the air which at all times is combined with the element in which they swim; hence, a herring or a cod might live a century, and never once raise its head above the surface.	59	870	0.316771	1594	25	3.913392	1	Every one knows that by the peculiar cunning of their gills, the finny tribes in general breathe the air which at all	25	0.53741	 at all	2	0.249395	3.406873	-0.506519	25	24	 at all	2	0.249394	3.406874	-0.506518	23	25	1760	832	0.033898	OK					
870	atlas:candidates for probe v7.txt	12	17	It has been said that the whale only breathes through his spout-hole; if it could truthfully be added that his spouts are mixed with water, then I opine we should be furnished with the reason why his sense of smell seems obliterated in him; for the only thing about him that at all answers to his nose is that identical spout-hole; and being so clogged with two elements, it could not be expected to have the power of smelling.	97	870	0.047344	2265	64	3.848166	1	It has been said that the whale only breathes through his spout-hole; if it could truthfully be added that his spouts are mixed with water, then I opine we should be furnished with the reason why his sense of smell seems obliterated in him; for the only thing about him that at all	64	0.047345	 at all	2	0.249398	3.406874	-0.441292	64	62	 at all	2	0.249394	3.406874	-0.441292	62	64	4714	2108	0.020619	OK					
870	atlas:candidates for probe v7.txt	13	17	But that did in nowise mend the matter, or at all soften the hard heart of the learned gentleman with the copy of Blackstone.	28	870	0.418777	1790	13	3.502626	1	But that did in nowise mend the matter, or at all	13	0.41878	 at all	2	0.249395	3.406873	-0.095753	13	12	 at all	2	0.249394	3.406874	-0.095752	11	13	402	192	0.071429	OK					
870	atlas:candidates for probe v7.txt	14	17	Already has it been related how the great leviathan is afar off descried from the mast-head; how he is chased over the watery moors, and slaughtered in the valleys of the deep; how he is then towed alongside and beheaded; and how (on the principle which entitled the headsman of old to the garments in which the beheaded was killed) his great padded surtout becomes the property of his executioner; how, in due time, he is condemned to the pots, and, like Shadrach, Meshach, and Abednego, his spermaceti, oil, and bone pass unscathed through the fire;—but now it remains to conclude the last chapter of this part of the description by rehearsing—singing, if I may—the romantic proceeding of decanting off his oil into the casks and striking them down into the hold, where once again leviathan returns to his native profundities, sliding along beneath the surface as before; but, alas!	209	870	0.236725	431	161	3.956092	1	Already has it been related how the great leviathan is afar off descried from the mast-head; how he is chased over the watery moors, and slaughtered in the valleys of the deep; how he is then towed alongside and beheaded; and how (on the principle which entitled the headsman of old to the garments in which the beheaded was killed) his great padded surtout becomes the property of his executioner; how, in due time, he is condemned to the pots, and, like Shadrach, Meshach, and Abednego, his spermaceti, oil, and bone pass unscathed through the fire;—but now it remains to conclude the last chapter of this part of the description by rehearsing—singing, if I may	161	0.375747	, if I may	4	1.086494	3.447364	-0.508728	161	141	, if I may	4	1.086498	3.447368	-0.508724	157	161	21848	6887	0.019139	OK					
870	atlas:candidates for probe v7.txt	15	17	At all times except when whales were alongside, this bench was securely lashed athwartships against the rear of the Try-works.	26	870	0.071324	2576	2	3.332976	1	At all	2	0.433247	At all	2	0.433247	3.332977	1e-06	2	1	At all	2	0.433248	3.332979	3e-06	0	2	350	25	0.076923	OK					
870	atlas:candidates for probe v7.txt	16	17	The three corresponding new sails were now bent and reefed, and a storm-trysail was set further aft; so that the ship soon went through the water with some precision again; and the course—for the present, East-south-east—which he was to steer, if practicable, was once more given to the helmsman.	71	870	0.034481	2241	60	3.45836	1	The three corresponding new sails were now bent and reefed, and a storm-trysail was set further aft; so that the ship soon went through the water with some precision again; and the course—for the present, East-south-east—which he was to steer, if practicable	60	0.034478	 if practicable	2	0.178733	3.050402	-0.407958	60	21	 if practicable	2	0.178731	3.050399	-0.407961	58	60	2540	247	0.028169	OK					
870	atlas:candidates for probe v7.txt	17	17	We workers in woods make bridal-bedsteads and card-tables, as well as coffins and hearses.	26	870	0.477755	1888	19	3.400457	1	We workers in woods make bridal-bedsteads and card-tables, as well	19	0.477755	, as well	3	0.885772	3.477205	0.076748	19	14	, as well	3	0.88577	3.477202	0.076745	16	19	348	112	0.115385	OK					
906	acceptance_fixture_906	1	1	Rising from a little cabin-boy in short clothes of the drabbest drab, to a harpooneer in a broad shad-bellied waistcoat; from that becoming boat-header, chief-mate, and captain, and finally a ship owner; Bildad, as I hinted before, had concluded his adventurous career by wholly retiring from active life at the goodly age of sixty, and dedicating his remaining days to the quiet receiving of his well-earned income.	100	906	0.052941	1790	30	3.503901	1	Rising from a little cabin-boy in short clothes of the drabbest drab, to a harpooneer in a broad shad	30	0.136537	er in a broad shad	6	0.162126	3.095656	-0.408245	30	14	er in a broad shad	6	0.162123	3.095655	-0.408246	24	30	5020	416	0.06	OK	the drabbest drab, to a harpooneer in a broad shad-bellied	21	906	0.01523	1
