# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	2596
case_id	branch	seed_id	variant	carrier_id	string	pos	token	token_id	is_second_member_token	is_completion_token	raw_541	running_541	running_leader	running_margin	raw_top5
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	SECOND_ONLY	BARE	down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	SECOND_ONLY	BARE	down	1	down	2902	1	1	-0.126415	-0.000102	1790	0.227189	[[1790, 2.588059], [1888, 2.273265], [234, 1.844593], [1998, 1.570083], [654, 1.405933]]
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	CONNECTOR_SECOND	BARE	and down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	CONNECTOR_SECOND	BARE	and down	1	and	392	0	0	-0.026548	-0.000102	1790	0.124514	[[1790, 2.485384], [1888, 2.332438], [654, 1.618219], [2588, 1.395812], [1998, 1.300743]]
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	CONNECTOR_SECOND	BARE	and down	2	 down	866	1	1	0.088701	0.088701	1790	0.124514	[[1790, 2.114556], [2704, 1.925385], [1888, 1.662464], [2167, 1.378888], [2052, 1.27916]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_SECOND	BARE	up down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_SECOND	BARE	up down	1	up	929	0	0	-0.087442	-0.000102	1790	0.085895	[[1790, 2.853054], [1888, 2.767159], [654, 1.632336], [1998, 1.537572], [2588, 1.340617]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_SECOND	BARE	up down	2	 down	866	1	1	0.09473	0.09473	1790	0.085895	[[1691, 1.786235], [1790, 1.678086], [1888, 1.522252], [62, 1.458882], [1998, 1.341383]]
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	BARE	gravel down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	BARE	gravel down	1	g	70	0	0	-0.01768	-0.000102	1888	0.455122	[[1888, 2.942774], [1790, 2.487652], [945, 2.291717], [654, 1.600414], [1169, 1.453991]]
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	BARE	gravel down	2	ravel	25843	0	0	-0.06898	-0.000102	1888	0.455122	[[1790, 1.714288], [1888, 1.592531], [121, 1.399298], [2330, 1.382534], [790, 1.264116]]
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	BARE	gravel down	3	 down	866	1	1	-0.081929	-0.000102	1888	0.455122	[[447, 1.570368], [1203, 1.341651], [1815, 1.229016], [1790, 1.220863], [1888, 1.173053]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_REPEAT	BARE	up up	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_REPEAT	BARE	up up	1	up	929	0	0	-0.087442	-0.000102	1790	0.085895	[[1790, 2.853054], [1888, 2.767159], [654, 1.632336], [1998, 1.537572], [2588, 1.340617]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_REPEAT	BARE	up up	2	 up	510	1	1	-0.134796	-0.000102	1790	0.085895	[[1790, 2.007635], [1888, 1.82669], [1424, 1.709704], [1691, 1.481308], [2608, 1.342747]]
ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	BARE	down and up	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	BARE	down and up	1	down	2902	0	0	-0.126415	-0.000102	1790	0.227189	[[1790, 2.588059], [1888, 2.273264], [234, 1.844592], [1998, 1.570083], [654, 1.405933]]
ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	BARE	down and up	2	 and	290	0	0	-0.040641	-0.000102	1790	0.156046	[[62, 2.432013], [2175, 1.956456], [588, 1.765632], [194, 1.702243], [2345, 1.560221]]
ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	BARE	down and up	3	 up	510	1	1	4.282465	4.282465	541	0.66568	[[541, 4.282465], [2659, 3.616786], [638, 2.648702], [2317, 2.196944], [2753, 2.020732]]
CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	CC	V9_SPACE	 up and down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	CC	V9_SPACE	 up and down	1	 up	510	0	0	-0.111532	-0.000102	1790	0.054773	[[1790, 3.028116], [464, 2.973342], [1888, 2.912612], [654, 1.680092], [1998, 1.657843]]
CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	CC	V9_SPACE	 up and down	2	 and	290	0	0	-0.028836	-0.000102	1790	0.054773	[[2229, 2.149246], [194, 2.085674], [62, 2.069985], [2664, 1.815553], [2345, 1.703913]]
CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	CC	V9_SPACE	 up and down	3	 down	866	1	1	4.184617	4.184617	541	1.156502	[[541, 4.184617], [2659, 2.812319], [2898, 2.160294], [1691, 1.966876], [2753, 1.843945]]
CORE_FACTORIAL__UP_DOWN__CA__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	CA	V9_SPACE	 up and window	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
CORE_FACTORIAL__UP_DOWN__CA__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	CA	V9_SPACE	 up and window	1	 up	510	0	0	-0.111532	-0.000102	1790	0.054773	[[1790, 3.028116], [464, 2.973342], [1888, 2.912612], [654, 1.680092], [1998, 1.657843]]
CORE_FACTORIAL__UP_DOWN__CA__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	CA	V9_SPACE	 up and window	2	 and	290	0	0	-0.028836	-0.000102	1790	0.054773	[[2229, 2.149246], [194, 2.085674], [62, 2.069985], [2664, 1.815553], [2345, 1.703913]]
CORE_FACTORIAL__UP_DOWN__CA__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	CA	V9_SPACE	 up and window	3	 window	4324	1	1	0.619901	0.619901	1790	0.054773	[[1888, 2.669348], [1790, 2.41417], [638, 1.390375], [467, 1.245843], [2261, 1.223029]]
CORE_FACTORIAL__UP_DOWN__AC__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	AC	V9_SPACE	 gravel and down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
CORE_FACTORIAL__UP_DOWN__AC__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	AC	V9_SPACE	 gravel and down	1	 gravel	34375	0	0	-0.136018	-0.000102	1888	0.879571	[[1888, 3.382353], [1790, 2.502782], [464, 1.741092], [1998, 1.727921], [698, 1.668383]]
CORE_FACTORIAL__UP_DOWN__AC__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	AC	V9_SPACE	 gravel and down	2	 and	290	0	0	-0.010585	-0.000102	1888	0.879571	[[1790, 1.833594], [1888, 1.549208], [194, 1.098778], [2753, 1.040169], [1746, 0.966002]]
CORE_FACTORIAL__UP_DOWN__AC__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	AC	V9_SPACE	 gravel and down	3	 down	866	1	1	0.246241	0.246241	1888	0.879571	[[1790, 1.878911], [1888, 1.773119], [638, 1.70848], [2608, 1.252362], [2753, 1.153787]]
CORE_FACTORIAL__UP_DOWN__AA__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	AA	V9_SPACE	 gravel and window	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
CORE_FACTORIAL__UP_DOWN__AA__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	AA	V9_SPACE	 gravel and window	1	 gravel	34375	0	0	-0.136018	-0.000102	1888	0.879571	[[1888, 3.382353], [1790, 2.502782], [464, 1.741092], [1998, 1.727921], [698, 1.668383]]
CORE_FACTORIAL__UP_DOWN__AA__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	AA	V9_SPACE	 gravel and window	2	 and	290	0	0	-0.010585	-0.000102	1888	0.879571	[[1790, 1.833594], [1888, 1.549208], [194, 1.098778], [2753, 1.040169], [1746, 0.966002]]
CORE_FACTORIAL__UP_DOWN__AA__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	AA	V9_SPACE	 gravel and window	3	 window	4324	1	1	0.80168	0.80168	1888	0.879571	[[1888, 2.71319], [1790, 2.454212], [2659, 1.944958], [1893, 1.541709], [2167, 1.504173]]
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	V9_SPACE	 up and down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	V9_SPACE	 up and down	1	 up	510	0	0	-0.111532	-0.000102	1790	0.054773	[[1790, 3.028116], [464, 2.973342], [1888, 2.912612], [654, 1.680092], [1998, 1.657843]]
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	V9_SPACE	 up and down	2	 and	290	0	0	-0.028836	-0.000102	1790	0.054773	[[2229, 2.149246], [194, 2.085674], [62, 2.069985], [2664, 1.815553], [2345, 1.703913]]
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	V9_SPACE	 up and down	3	 down	866	1	1	4.184617	4.184617	541	1.156502	[[541, 4.184617], [2659, 2.812319], [2898, 2.160294], [1691, 1.966876], [2753, 1.843945]]
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	SECOND_ONLY	V9_SPACE	 down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	SECOND_ONLY	V9_SPACE	 down	1	 down	866	1	1	-0.129031	-0.000102	1790	0.068202	[[1790, 2.685779], [1888, 2.617577], [464, 1.873064], [654, 1.657872], [1998, 1.573002]]
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	CONNECTOR_SECOND	V9_SPACE	 and down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	CONNECTOR_SECOND	V9_SPACE	 and down	1	 and	290	0	0	-0.032673	-0.000102	1790	0.284403	[[1790, 2.944628], [1888, 2.660225], [654, 1.689219], [1203, 1.564642], [464, 1.471345]]
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	CONNECTOR_SECOND	V9_SPACE	 and down	2	 down	866	1	1	0.161076	0.161076	1790	0.284403	[[1790, 2.234939], [1888, 1.884823], [2704, 1.681022], [638, 1.248002], [2753, 1.239725]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_SECOND	V9_SPACE	 up down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_SECOND	V9_SPACE	 up down	1	 up	510	0	0	-0.111532	-0.000102	1790	0.054775	[[1790, 3.028115], [464, 2.973341], [1888, 2.912612], [654, 1.680091], [1998, 1.657843]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_SECOND	V9_SPACE	 up down	2	 down	866	1	1	0.341114	0.341114	1790	0.054775	[[1790, 2.021676], [1691, 1.989872], [544, 1.757004], [1888, 1.604679], [99, 1.604506]]
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	V9_SPACE	 gravel down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	V9_SPACE	 gravel down	1	 gravel	34375	0	0	-0.136018	-0.000102	1888	0.87957	[[1888, 3.382353], [1790, 2.502782], [464, 1.741091], [1998, 1.727921], [698, 1.668383]]
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	V9_SPACE	 gravel down	2	 down	866	1	1	-0.067893	-0.000102	1888	0.87957	[[1888, 2.062889], [1790, 1.933349], [1616, 1.027093], [1998, 0.933422], [1059, 0.921933]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_REPEAT	V9_SPACE	 up up	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_REPEAT	V9_SPACE	 up up	1	 up	510	0	0	-0.111532	-0.000102	1790	0.054775	[[1790, 3.028115], [464, 2.973341], [1888, 2.912612], [654, 1.680091], [1998, 1.657843]]
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_REPEAT	V9_SPACE	 up up	2	 up	510	1	1	-0.114715	-0.000102	1790	0.054775	[[1691, 1.923778], [1790, 1.903538], [383, 1.562295], [1888, 1.555167], [1424, 1.502607]]
ENDPOINT_CONTROL__UP_DOWN__REVERSED__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	V9_SPACE	 down and up	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__REVERSED__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	V9_SPACE	 down and up	1	 down	866	0	0	-0.129031	-0.000102	1790	0.068204	[[1790, 2.68578], [1888, 2.617576], [464, 1.873062], [654, 1.657872], [1998, 1.573002]]
ENDPOINT_CONTROL__UP_DOWN__REVERSED__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	V9_SPACE	 down and up	2	 and	290	0	0	-0.021243	-0.000102	1790	0.068204	[[194, 1.936644], [2175, 1.85532], [1888, 1.694372], [1790, 1.579062], [62, 1.547263]]
ENDPOINT_CONTROL__UP_DOWN__REVERSED__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	V9_SPACE	 down and up	3	 up	510	1	1	4.050222	4.050222	541	0.681148	[[541, 4.050222], [2659, 3.369074], [638, 2.422729], [2898, 1.964062], [2317, 1.954131]]
CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE	CORE_FACTORIAL	UP_DOWN	CC	THE_PHRASE	the phrase up and down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE	CORE_FACTORIAL	UP_DOWN	CC	THE_PHRASE	the phrase up and down	1	the	1169	0	0	-0.058428	-0.000102	1790	0.119972	[[1790, 2.74375], [1888, 2.623779], [1203, 1.370484], [654, 1.287318], [1504, 1.273196]]
CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE	CORE_FACTORIAL	UP_DOWN	CC	THE_PHRASE	the phrase up and down	2	 phrase	9546	0	0	-0.055584	-0.000102	2073	0.489396	[[2073, 3.233146], [1026, 1.694937], [2070, 1.648536], [388, 1.556334], [1888, 1.459668]]
CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE	CORE_FACTORIAL	UP_DOWN	CC	THE_PHRASE	the phrase up and down	3	 up	510	0	0	-0.008824	-0.000102	2073	0.489396	[[1790, 2.133716], [1888, 2.126585], [183, 1.563705], [2608, 1.417978], [1048, 1.337124]]
