# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	662
panel_id	native_connector	known_member	related_member	arbitrary_a	arbitrary_b	provenance	known_space_tokens	related_space_tokens	arbitrary_a_space_tokens	arbitrary_b_space_tokens	selection_rule	case_id	branch	seed_id	variant	carrier_id	string	n_tok	pre_second_body_tokens	second_realised_tokens	completion_pos	tokens	token_ids
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	BARE	gravel after window	4	3	1	4	["g", "ravel", " after", " window"]	[70, 25843, 706, 4324]
												FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	BARE	wave wave	2	1	1	2	["wave", " wave"]	[19204, 6769]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	BARE	gravel gravel	3	2	1	3	["g", "ravel", " gravel"]	[70, 25843, 34375]
												FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	V9_SPACE	 wave after wave	3	2	1	3	[" wave", " after", " wave"]	[6769, 706, 6769]
												FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	V9_SPACE	 wave after tide	3	2	1	3	[" wave", " after", " tide"]	[6769, 706, 20013]
												FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	V9_SPACE	 wave after window	3	2	1	3	[" wave", " after", " window"]	[6769, 706, 4324]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	V9_SPACE	 gravel after wave	3	2	1	3	[" gravel", " after", " wave"]	[34375, 706, 6769]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	V9_SPACE	 gravel after gravel	3	2	1	3	[" gravel", " after", " gravel"]	[34375, 706, 34375]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	V9_SPACE	 gravel after window	3	2	1	3	[" gravel", " after", " window"]	[34375, 706, 4324]
												FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	V9_SPACE	 wave wave	2	1	1	2	[" wave", " wave"]	[6769, 6769]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	V9_SPACE	 gravel gravel	2	1	1	2	[" gravel", " gravel"]	[34375, 34375]
												FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	THE_PHRASE	the phrase wave after wave	5	4	1	5	["the", " phrase", " wave", " after", " wave"]	[1169, 9546, 6769, 706, 6769]
												FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	THE_PHRASE	the phrase wave after tide	5	4	1	5	["the", " phrase", " wave", " after", " tide"]	[1169, 9546, 6769, 706, 20013]
												FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	THE_PHRASE	the phrase wave after window	5	4	1	5	["the", " phrase", " wave", " after", " window"]	[1169, 9546, 6769, 706, 4324]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	THE_PHRASE	the phrase gravel after wave	5	4	1	5	["the", " phrase", " gravel", " after", " wave"]	[1169, 9546, 34375, 706, 6769]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	THE_PHRASE	the phrase gravel after gravel	5	4	1	5	["the", " phrase", " gravel", " after", " gravel"]	[1169, 9546, 34375, 706, 34375]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	THE_PHRASE	the phrase gravel after window	5	4	1	5	["the", " phrase", " gravel", " after", " window"]	[1169, 9546, 34375, 706, 4324]
												FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	THE_PHRASE	the phrase wave wave	4	3	1	4	["the", " phrase", " wave", " wave"]	[1169, 9546, 6769, 6769]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	THE_PHRASE	the phrase gravel gravel	4	3	1	4	["the", " phrase", " gravel", " gravel"]	[1169, 9546, 34375, 34375]
												FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	THEY_SAID	they said wave after wave	5	4	1	5	["they", " said", " wave", " after", " wave"]	[9930, 531, 6769, 706, 6769]
												FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	THEY_SAID	they said wave after tide	5	4	1	5	["they", " said", " wave", " after", " tide"]	[9930, 531, 6769, 706, 20013]
												FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	THEY_SAID	they said wave after window	5	4	1	5	["they", " said", " wave", " after", " window"]	[9930, 531, 6769, 706, 4324]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	THEY_SAID	they said gravel after wave	5	4	1	5	["they", " said", " gravel", " after", " wave"]	[9930, 531, 34375, 706, 6769]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	THEY_SAID	they said gravel after gravel	5	4	1	5	["they", " said", " gravel", " after", " gravel"]	[9930, 531, 34375, 706, 34375]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	THEY_SAID	they said gravel after window	5	4	1	5	["they", " said", " gravel", " after", " window"]	[9930, 531, 34375, 706, 4324]
												FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	THEY_SAID	they said wave wave	4	3	1	4	["they", " said", " wave", " wave"]	[9930, 531, 6769, 6769]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	THEY_SAID	they said gravel gravel	4	3	1	4	["they", " said", " gravel", " gravel"]	[9930, 531, 34375, 34375]
												REPEAT_CONNECTOR__AFTER_WAVE__AND__BARE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	AND	BARE	wave and wave	3	2	1	3	["wave", " and", " wave"]	[19204, 290, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__OR__BARE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	OR	BARE	wave or wave	3	2	1	3	["wave", " or", " wave"]	[19204, 393, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__TO__BARE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	TO	BARE	wave to wave	3	2	1	3	["wave", " to", " wave"]	[19204, 284, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__BY__BARE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	BY	BARE	wave by wave	3	2	1	3	["wave", " by", " wave"]	[19204, 416, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__AFTER__BARE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	AFTER	BARE	wave after wave	3	2	1	3	["wave", " after", " wave"]	[19204, 706, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__AND__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	AND	V9_SPACE	 wave and wave	3	2	1	3	[" wave", " and", " wave"]	[6769, 290, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__OR__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	OR	V9_SPACE	 wave or wave	3	2	1	3	[" wave", " or", " wave"]	[6769, 393, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__TO__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	TO	V9_SPACE	 wave to wave	3	2	1	3	[" wave", " to", " wave"]	[6769, 284, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__BY__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	BY	V9_SPACE	 wave by wave	3	2	1	3	[" wave", " by", " wave"]	[6769, 416, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__AFTER__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	AFTER	V9_SPACE	 wave after wave	3	2	1	3	[" wave", " after", " wave"]	[6769, 706, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__AND__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	AND	THE_PHRASE	the phrase wave and wave	5	4	1	5	["the", " phrase", " wave", " and", " wave"]	[1169, 9546, 6769, 290, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__OR__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	OR	THE_PHRASE	the phrase wave or wave	5	4	1	5	["the", " phrase", " wave", " or", " wave"]	[1169, 9546, 6769, 393, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__TO__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	TO	THE_PHRASE	the phrase wave to wave	5	4	1	5	["the", " phrase", " wave", " to", " wave"]	[1169, 9546, 6769, 284, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__BY__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	BY	THE_PHRASE	the phrase wave by wave	5	4	1	5	["the", " phrase", " wave", " by", " wave"]	[1169, 9546, 6769, 416, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	AFTER	THE_PHRASE	the phrase wave after wave	5	4	1	5	["the", " phrase", " wave", " after", " wave"]	[1169, 9546, 6769, 706, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__AND__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_WAVE	AND	THEY_SAID	they said wave and wave	5	4	1	5	["they", " said", " wave", " and", " wave"]	[9930, 531, 6769, 290, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__OR__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_WAVE	OR	THEY_SAID	they said wave or wave	5	4	1	5	["they", " said", " wave", " or", " wave"]	[9930, 531, 6769, 393, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__TO__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_WAVE	TO	THEY_SAID	they said wave to wave	5	4	1	5	["they", " said", " wave", " to", " wave"]	[9930, 531, 6769, 284, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__BY__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_WAVE	BY	THEY_SAID	they said wave by wave	5	4	1	5	["they", " said", " wave", " by", " wave"]	[9930, 531, 6769, 416, 6769]
												REPEAT_CONNECTOR__AFTER_WAVE__AFTER__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_WAVE	AFTER	THEY_SAID	they said wave after wave	5	4	1	5	["they", " said", " wave", " after", " wave"]	[9930, 531, 6769, 706, 6769]
												FRAME_CROSS__AFTER_DAY__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_REPEAT	BARE	day after day	3	2	1	3	["day", " after", " day"]	[820, 706, 1110]
												FRAME_CROSS__AFTER_DAY__KNOWN_RELATED__BARE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_RELATED	BARE	day after night	3	2	1	3	["day", " after", " night"]	[820, 706, 1755]
												FRAME_CROSS__AFTER_DAY__KNOWN_ARBITRARY__BARE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_ARBITRARY	BARE	day after forest	3	2	1	3	["day", " after", " forest"]	[820, 706, 8222]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_KNOWN	BARE	marble after day	4	3	1	4	["mar", "ble", " after", " day"]	[3876, 903, 706, 1110]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_REPEAT	BARE	marble after marble	4	3	1	4	["mar", "ble", " after", " marble"]	[3876, 903, 706, 30623]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_DISTINCT	BARE	marble after forest	4	3	1	4	["mar", "ble", " after", " forest"]	[3876, 903, 706, 8222]
												FRAME_CROSS__AFTER_DAY__KNOWN_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_NO_CONNECTOR	BARE	day day	2	1	1	2	["day", " day"]	[820, 1110]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_NO_CONNECTOR	BARE	marble marble	3	2	1	3	["mar", "ble", " marble"]	[3876, 903, 30623]
												FRAME_CROSS__AFTER_DAY__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_REPEAT	V9_SPACE	 day after day	3	2	1	3	[" day", " after", " day"]	[1110, 706, 1110]
												FRAME_CROSS__AFTER_DAY__KNOWN_RELATED__V9_SPACE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_RELATED	V9_SPACE	 day after night	3	2	1	3	[" day", " after", " night"]	[1110, 706, 1755]
												FRAME_CROSS__AFTER_DAY__KNOWN_ARBITRARY__V9_SPACE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_ARBITRARY	V9_SPACE	 day after forest	3	2	1	3	[" day", " after", " forest"]	[1110, 706, 8222]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__V9_SPACE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_KNOWN	V9_SPACE	 marble after day	3	2	1	3	[" marble", " after", " day"]	[30623, 706, 1110]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_REPEAT	V9_SPACE	 marble after marble	3	2	1	3	[" marble", " after", " marble"]	[30623, 706, 30623]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__V9_SPACE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_DISTINCT	V9_SPACE	 marble after forest	3	2	1	3	[" marble", " after", " forest"]	[30623, 706, 8222]
												FRAME_CROSS__AFTER_DAY__KNOWN_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_NO_CONNECTOR	V9_SPACE	 day day	2	1	1	2	[" day", " day"]	[1110, 1110]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_NO_CONNECTOR	V9_SPACE	 marble marble	2	1	1	2	[" marble", " marble"]	[30623, 30623]
												FRAME_CROSS__AFTER_DAY__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_REPEAT	THE_PHRASE	the phrase day after day	5	4	1	5	["the", " phrase", " day", " after", " day"]	[1169, 9546, 1110, 706, 1110]
												FRAME_CROSS__AFTER_DAY__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_RELATED	THE_PHRASE	the phrase day after night	5	4	1	5	["the", " phrase", " day", " after", " night"]	[1169, 9546, 1110, 706, 1755]
												FRAME_CROSS__AFTER_DAY__KNOWN_ARBITRARY__THE_PHRASE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_ARBITRARY	THE_PHRASE	the phrase day after forest	5	4	1	5	["the", " phrase", " day", " after", " forest"]	[1169, 9546, 1110, 706, 8222]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__THE_PHRASE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_KNOWN	THE_PHRASE	the phrase marble after day	5	4	1	5	["the", " phrase", " marble", " after", " day"]	[1169, 9546, 30623, 706, 1110]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_REPEAT	THE_PHRASE	the phrase marble after marble	5	4	1	5	["the", " phrase", " marble", " after", " marble"]	[1169, 9546, 30623, 706, 30623]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_DISTINCT	THE_PHRASE	the phrase marble after forest	5	4	1	5	["the", " phrase", " marble", " after", " forest"]	[1169, 9546, 30623, 706, 8222]
												FRAME_CROSS__AFTER_DAY__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_NO_CONNECTOR	THE_PHRASE	the phrase day day	4	3	1	4	["the", " phrase", " day", " day"]	[1169, 9546, 1110, 1110]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_NO_CONNECTOR	THE_PHRASE	the phrase marble marble	4	3	1	4	["the", " phrase", " marble", " marble"]	[1169, 9546, 30623, 30623]
												FRAME_CROSS__AFTER_DAY__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_REPEAT	THEY_SAID	they said day after day	5	4	1	5	["they", " said", " day", " after", " day"]	[9930, 531, 1110, 706, 1110]
												FRAME_CROSS__AFTER_DAY__KNOWN_RELATED__THEY_SAID__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_RELATED	THEY_SAID	they said day after night	5	4	1	5	["they", " said", " day", " after", " night"]	[9930, 531, 1110, 706, 1755]
												FRAME_CROSS__AFTER_DAY__KNOWN_ARBITRARY__THEY_SAID__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_ARBITRARY	THEY_SAID	they said day after forest	5	4	1	5	["they", " said", " day", " after", " forest"]	[9930, 531, 1110, 706, 8222]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__THEY_SAID__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_KNOWN	THEY_SAID	they said marble after day	5	4	1	5	["they", " said", " marble", " after", " day"]	[9930, 531, 30623, 706, 1110]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_REPEAT__THEY_SAID__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_REPEAT	THEY_SAID	they said marble after marble	5	4	1	5	["they", " said", " marble", " after", " marble"]	[9930, 531, 30623, 706, 30623]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__THEY_SAID__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_DISTINCT	THEY_SAID	they said marble after forest	5	4	1	5	["they", " said", " marble", " after", " forest"]	[9930, 531, 30623, 706, 8222]
												FRAME_CROSS__AFTER_DAY__KNOWN_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	AFTER_DAY	KNOWN_NO_CONNECTOR	THEY_SAID	they said day day	4	3	1	4	["they", " said", " day", " day"]	[9930, 531, 1110, 1110]
												FRAME_CROSS__AFTER_DAY__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	AFTER_DAY	ARBITRARY_NO_CONNECTOR	THEY_SAID	they said marble marble	4	3	1	4	["they", " said", " marble", " marble"]	[9930, 531, 30623, 30623]
												REPEAT_CONNECTOR__AFTER_DAY__AND__BARE__NONE	REPEAT_CONNECTOR	AFTER_DAY	AND	BARE	day and day	3	2	1	3	["day", " and", " day"]	[820, 290, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__OR__BARE__NONE	REPEAT_CONNECTOR	AFTER_DAY	OR	BARE	day or day	3	2	1	3	["day", " or", " day"]	[820, 393, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__TO__BARE__NONE	REPEAT_CONNECTOR	AFTER_DAY	TO	BARE	day to day	3	2	1	3	["day", " to", " day"]	[820, 284, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__BY__BARE__NONE	REPEAT_CONNECTOR	AFTER_DAY	BY	BARE	day by day	3	2	1	3	["day", " by", " day"]	[820, 416, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__AFTER__BARE__NONE	REPEAT_CONNECTOR	AFTER_DAY	AFTER	BARE	day after day	3	2	1	3	["day", " after", " day"]	[820, 706, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__AND__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_DAY	AND	V9_SPACE	 day and day	3	2	1	3	[" day", " and", " day"]	[1110, 290, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__OR__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_DAY	OR	V9_SPACE	 day or day	3	2	1	3	[" day", " or", " day"]	[1110, 393, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__TO__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_DAY	TO	V9_SPACE	 day to day	3	2	1	3	[" day", " to", " day"]	[1110, 284, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__BY__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_DAY	BY	V9_SPACE	 day by day	3	2	1	3	[" day", " by", " day"]	[1110, 416, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__AFTER__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_DAY	AFTER	V9_SPACE	 day after day	3	2	1	3	[" day", " after", " day"]	[1110, 706, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__AND__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_DAY	AND	THE_PHRASE	the phrase day and day	5	4	1	5	["the", " phrase", " day", " and", " day"]	[1169, 9546, 1110, 290, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__OR__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_DAY	OR	THE_PHRASE	the phrase day or day	5	4	1	5	["the", " phrase", " day", " or", " day"]	[1169, 9546, 1110, 393, 1110]
												REPEAT_CONNECTOR__AFTER_DAY__TO__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_DAY	TO	THE_PHRASE	the phrase day to day	5	4	1	5	["the", " phrase", " day", " to", " day"]	[1169, 9546, 1110, 284, 1110]
