# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	3252
case_id	branch	seed_id	variant	carrier_id	string	pos	token	token_id	is_second_member_token	is_completion_token	raw_541	running_541	running_leader	running_margin	raw_top5
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	BARE	gravel after wave	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	BARE	gravel after wave	1	g	70	0	0	-0.01768	-0.000102	1888	0.455122	[[1888, 2.942774], [1790, 2.487652], [945, 2.291717], [654, 1.600414], [1169, 1.453991]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	BARE	gravel after wave	2	ravel	25843	0	0	-0.06898	-0.000102	1888	0.455122	[[1790, 1.714288], [1888, 1.592531], [121, 1.399298], [2330, 1.382534], [790, 1.264116]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	BARE	gravel after wave	3	 after	706	0	0	-0.04327	-0.000102	1888	0.455122	[[1888, 1.821999], [1790, 1.494842], [2201, 1.45288], [576, 1.419066], [1203, 1.233016]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	BARE	gravel after wave	4	 wave	6769	1	1	-0.132219	-0.000102	1888	0.455122	[[1888, 2.219777], [1790, 1.623456], [2201, 1.464623], [654, 1.125903], [2995, 0.994657]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	BARE	gravel after gravel	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	BARE	gravel after gravel	1	g	70	0	0	-0.01768	-0.000102	1888	0.455122	[[1888, 2.942774], [1790, 2.487652], [945, 2.291717], [654, 1.600414], [1169, 1.453991]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	BARE	gravel after gravel	2	ravel	25843	0	0	-0.06898	-0.000102	1888	0.455122	[[1790, 1.714288], [1888, 1.592531], [121, 1.399298], [2330, 1.382534], [790, 1.264116]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	BARE	gravel after gravel	3	 after	706	0	0	-0.04327	-0.000102	1888	0.455122	[[1888, 1.821999], [1790, 1.494842], [2201, 1.45288], [576, 1.419066], [1203, 1.233016]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	BARE	gravel after gravel	4	 gravel	34375	1	1	0.283337	0.283337	1888	0.455122	[[698, 1.745106], [715, 1.55766], [2723, 1.392506], [1888, 1.247821], [2566, 1.134633]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	BARE	gravel after window	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	BARE	gravel after window	1	g	70	0	0	-0.01768	-0.000102	1888	0.455122	[[1888, 2.942774], [1790, 2.487652], [945, 2.291717], [654, 1.600414], [1169, 1.453991]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	BARE	gravel after window	2	ravel	25843	0	0	-0.06898	-0.000102	1888	0.455122	[[1790, 1.714288], [1888, 1.592531], [121, 1.399298], [2330, 1.382534], [790, 1.264116]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	BARE	gravel after window	3	 after	706	0	0	-0.04327	-0.000102	1888	0.455122	[[1888, 1.821999], [1790, 1.494842], [2201, 1.45288], [576, 1.419066], [1203, 1.233016]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	BARE	gravel after window	4	 window	4324	1	1	0.455872	0.455872	1888	0.319259	[[1888, 2.683638], [1790, 2.623515], [2167, 1.465078], [1893, 1.146389], [2201, 1.14157]]
FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	BARE	wave wave	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	BARE	wave wave	1	wave	19204	0	0	-0.131283	-0.000102	1888	0.679401	[[1888, 3.231445], [1790, 2.552044], [1998, 1.552299], [654, 1.352533], [1789, 1.252379]]
FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	BARE	wave wave	2	 wave	6769	1	1	-0.144247	-0.000102	1888	0.679401	[[1888, 2.032093], [420, 1.813832], [1789, 1.546083], [1691, 1.495615], [1790, 1.422259]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	BARE	gravel gravel	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	BARE	gravel gravel	1	g	70	0	0	-0.01768	-0.000102	1888	0.455122	[[1888, 2.942774], [1790, 2.487652], [945, 2.291717], [654, 1.600414], [1169, 1.453991]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	BARE	gravel gravel	2	ravel	25843	0	0	-0.06898	-0.000102	1888	0.455122	[[1790, 1.714288], [1888, 1.592531], [121, 1.399298], [2330, 1.382534], [790, 1.264116]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	BARE	gravel gravel	3	 gravel	34375	1	1	-0.060308	-0.000102	1888	0.455122	[[698, 2.039097], [1424, 1.960235], [1691, 1.851978], [715, 1.832306], [1888, 1.756434]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	V9_SPACE	 wave after wave	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	V9_SPACE	 wave after wave	1	 wave	6769	0	0	-0.159092	-0.000102	1888	1.235776	[[1888, 3.616646], [1790, 2.38087], [464, 1.808068], [1998, 1.648159], [654, 1.574677]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	V9_SPACE	 wave after wave	2	 after	706	0	0	-0.063724	-0.000102	1888	1.235776	[[419, 1.941613], [1790, 1.89992], [2883, 1.670353], [2201, 1.545557], [1888, 1.478724]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	V9_SPACE	 wave after wave	3	 wave	6769	1	1	3.38822	3.38822	1888	0.228426	[[541, 3.38822], [1738, 3.124061], [2566, 2.536056], [1691, 2.25315], [2723, 2.238714]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	V9_SPACE	 wave after tide	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	V9_SPACE	 wave after tide	1	 wave	6769	0	0	-0.159092	-0.000102	1888	1.235776	[[1888, 3.616646], [1790, 2.38087], [464, 1.808068], [1998, 1.648159], [654, 1.574677]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	V9_SPACE	 wave after tide	2	 after	706	0	0	-0.063724	-0.000102	1888	1.235776	[[419, 1.941613], [1790, 1.89992], [2883, 1.670353], [2201, 1.545557], [1888, 1.478724]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	V9_SPACE	 wave after tide	3	 tide	20013	1	1	0.779379	0.779379	1888	1.235776	[[1888, 2.131703], [1790, 1.791004], [1893, 1.780658], [2207, 1.242757], [654, 1.165752]]
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	V9_SPACE	 wave after window	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	V9_SPACE	 wave after window	1	 wave	6769	0	0	-0.159092	-0.000102	1888	1.235776	[[1888, 3.616646], [1790, 2.38087], [464, 1.808068], [1998, 1.648159], [654, 1.574677]]
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	V9_SPACE	 wave after window	2	 after	706	0	0	-0.063724	-0.000102	1888	1.235776	[[419, 1.941613], [1790, 1.89992], [2883, 1.670353], [2201, 1.545557], [1888, 1.478724]]
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	V9_SPACE	 wave after window	3	 window	4324	1	1	0.119651	0.119651	1888	0.928232	[[1790, 2.688414], [1888, 2.67292], [2167, 1.797851], [1893, 1.230799], [1056, 1.172467]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	V9_SPACE	 gravel after wave	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	V9_SPACE	 gravel after wave	1	 gravel	34375	0	0	-0.136018	-0.000102	1888	0.879571	[[1888, 3.382353], [1790, 2.502782], [464, 1.741092], [1998, 1.727921], [698, 1.668383]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	V9_SPACE	 gravel after wave	2	 after	706	0	0	-0.034682	-0.000102	1888	0.879571	[[1888, 1.926378], [576, 1.740472], [1790, 1.729367], [2883, 1.554122], [1627, 1.0713]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	V9_SPACE	 gravel after wave	3	 wave	6769	1	1	-0.165813	-0.000102	1888	0.879571	[[1888, 2.082399], [1790, 1.576534], [2201, 1.380246], [1789, 1.219323], [654, 1.123501]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	V9_SPACE	 gravel after gravel	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	V9_SPACE	 gravel after gravel	1	 gravel	34375	0	0	-0.136018	-0.000102	1888	0.879571	[[1888, 3.382353], [1790, 2.502782], [464, 1.741092], [1998, 1.727921], [698, 1.668383]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	V9_SPACE	 gravel after gravel	2	 after	706	0	0	-0.034682	-0.000102	1888	0.879571	[[1888, 1.926378], [576, 1.740472], [1790, 1.729367], [2883, 1.554122], [1627, 1.0713]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	V9_SPACE	 gravel after gravel	3	 gravel	34375	1	1	0.963328	0.963328	1888	0.879571	[[2566, 2.170652], [2723, 2.119106], [698, 1.635394], [1738, 1.634212], [179, 1.462326]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	V9_SPACE	 gravel after window	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	V9_SPACE	 gravel after window	1	 gravel	34375	0	0	-0.136018	-0.000102	1888	0.879571	[[1888, 3.382353], [1790, 2.502782], [464, 1.741092], [1998, 1.727921], [698, 1.668383]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	V9_SPACE	 gravel after window	2	 after	706	0	0	-0.034682	-0.000102	1888	0.879571	[[1888, 1.926378], [576, 1.740472], [1790, 1.729367], [2883, 1.554122], [1627, 1.0713]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	V9_SPACE	 gravel after window	3	 window	4324	1	1	0.237393	0.237393	1888	0.750527	[[1790, 2.631826], [1888, 2.587896], [2167, 1.814036], [1893, 1.234947], [284, 0.879952]]
FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	V9_SPACE	 wave wave	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	V9_SPACE	 wave wave	1	 wave	6769	0	0	-0.159092	-0.000102	1888	1.235776	[[1888, 3.616646], [1790, 2.38087], [464, 1.808067], [1998, 1.64816], [654, 1.574677]]
FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	V9_SPACE	 wave wave	2	 wave	6769	1	1	-0.030135	-0.000102	1888	1.235776	[[1691, 2.373467], [2566, 2.105018], [2723, 2.041157], [881, 1.974762], [1888, 1.709411]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	V9_SPACE	 gravel gravel	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796687	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	V9_SPACE	 gravel gravel	1	 gravel	34375	0	0	-0.136018	-0.000102	1888	0.87957	[[1888, 3.382353], [1790, 2.502782], [464, 1.741091], [1998, 1.727921], [698, 1.668383]]
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	V9_SPACE	 gravel gravel	2	 gravel	34375	1	1	-0.132592	-0.000102	1888	0.87957	[[1888, 2.145576], [1691, 2.034687], [698, 1.659941], [1790, 1.653023], [715, 1.422608]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	THE_PHRASE	the phrase wave after wave	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	THE_PHRASE	the phrase wave after wave	1	the	1169	0	0	-0.058428	-0.000102	1790	0.119972	[[1790, 2.74375], [1888, 2.623779], [1203, 1.370484], [654, 1.287318], [1504, 1.273196]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	THE_PHRASE	the phrase wave after wave	2	 phrase	9546	0	0	-0.055584	-0.000102	2073	0.489396	[[2073, 3.233146], [1026, 1.694937], [2070, 1.648536], [388, 1.556334], [1888, 1.459668]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	THE_PHRASE	the phrase wave after wave	3	 wave	6769	0	0	-0.0408	-0.000102	2073	0.489396	[[1888, 1.928631], [1789, 1.407405], [614, 1.339862], [778, 1.139108], [1790, 1.114153]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	THE_PHRASE	the phrase wave after wave	4	 after	706	0	0	-0.059978	-0.000102	2073	0.489396	[[419, 1.663551], [2883, 1.560993], [1790, 1.453871], [576, 1.224415], [323, 1.178586]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	THE_PHRASE	the phrase wave after wave	5	 wave	6769	1	1	2.947397	2.947397	2073	0.285749	[[541, 2.947397], [2566, 2.364141], [2659, 2.003682], [1691, 1.879473], [1738, 1.845966]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	THE_PHRASE	the phrase wave after tide	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	THE_PHRASE	the phrase wave after tide	1	the	1169	0	0	-0.058428	-0.000102	1790	0.119972	[[1790, 2.74375], [1888, 2.623779], [1203, 1.370484], [654, 1.287318], [1504, 1.273196]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	THE_PHRASE	the phrase wave after tide	2	 phrase	9546	0	0	-0.055584	-0.000102	2073	0.489396	[[2073, 3.233146], [1026, 1.694937], [2070, 1.648536], [388, 1.556334], [1888, 1.459668]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	THE_PHRASE	the phrase wave after tide	3	 wave	6769	0	0	-0.0408	-0.000102	2073	0.489396	[[1888, 1.928631], [1789, 1.407405], [614, 1.339862], [778, 1.139108], [1790, 1.114153]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	THE_PHRASE	the phrase wave after tide	4	 after	706	0	0	-0.059978	-0.000102	2073	0.489396	[[419, 1.663551], [2883, 1.560993], [1790, 1.453871], [576, 1.224415], [323, 1.178586]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	THE_PHRASE	the phrase wave after tide	5	 tide	20013	1	1	1.152205	1.152205	2073	0.489396	[[1888, 1.803564], [1893, 1.614038], [1790, 1.508294], [541, 1.152205], [654, 1.029188]]
