# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	522
case_id	branch	seed_id	variant	carrier_id	carrier	leading_prefix	first	connector	second	construction	continuation_id	continuation	string	n_tok	tokens	token_ids	pre_second_body_tokens	second_realised_tokens	completion_pos	completion_token	raw_pre_second_541	raw_completion_541	raw_completion_increment	raw_completion_best_other	raw_completion_best_other_value	raw_completion_margin	peak_541	peakpos_541	peak_token_541	best_other	best_other_peak	signed_541_margin	dest	retained_541	winner_peak	reported_delta	target_peaks_at_completion	baseline_variant	notes	lexical_pair_id
CORE_FACTORIAL__UP_DOWN__CA__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	CA	V9_SPACE		 	up	and	window	up and window	NONE		 up and window	3	[" up", " and", " window"]	[510, 290, 4324]	2	1	3	 window	-0.028836	0.619893	0.648729	1888	2.669348	-2.049455	0.619893	3	 window	1790	3.028114	-2.408221	1790	0	3.028114	0.054771	1	CC	canonical first × arbitrary second	
CORE_FACTORIAL__UP_DOWN__AC__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	AC	V9_SPACE		 	gravel	and	down	gravel and down	NONE		 gravel and down	3	[" gravel", " and", " down"]	[34375, 290, 866]	2	1	3	 down	-0.010585	0.246245	0.25683	1790	1.878911	-1.632665	0.246245	3	 down	1888	3.382354	-3.136109	1888	0	3.382354	0.879572	1	CC	arbitrary first × canonical second	
CORE_FACTORIAL__UP_DOWN__AA__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	AA	V9_SPACE		 	gravel	and	window	gravel and window	NONE		 gravel and window	3	[" gravel", " and", " window"]	[34375, 290, 4324]	2	1	3	 window	-0.010585	0.801685	0.81227	1888	2.71319	-1.911505	0.801685	3	 window	1888	3.382354	-2.580668	1888	0	3.382354	0.879572	1	CC	arbitrary first × arbitrary second	
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	V9_SPACE		 	up	and	down	up and down	NONE		 up and down	3	[" up", " and", " down"]	[510, 290, 866]	2	1	3	 down	-0.028836	4.184617	4.213452	2659	2.81232	1.372297	4.184617	3	 down	1790	3.028114	1.156503	541	1	4.184617	1.156503	1	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	SECOND_ONLY	V9_SPACE		 			down	down	NONE		 down	1	[" down"]	[866]	0	1	1	 down	-0.000102	-0.129032	-0.12893	1790	2.685779	-2.81481	-0.000102	0	<BOS>	1790	2.685779	-2.685881	1790	0	2.685779	0.068204	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	CONNECTOR_SECOND	V9_SPACE		 		and	down	and down	NONE		 and down	2	[" and", " down"]	[290, 866]	1	1	2	 down	-0.032673	0.161077	0.19375	1790	2.234938	-2.073861	0.161077	2	 down	1790	2.944627	-2.78355	1790	0	2.944627	0.284401	1	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_SECOND	V9_SPACE		 	up		down	up down	NONE		 up down	2	[" up", " down"]	[510, 866]	1	1	2	 down	-0.111532	0.341112	0.452644	1790	2.021673	-1.680561	0.341112	2	 down	1790	3.028114	-2.687002	1790	0	3.028114	0.054771	1	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	V9_SPACE		 	gravel		down	gravel down	NONE		 gravel down	2	[" gravel", " down"]	[34375, 866]	1	1	2	 down	-0.136018	-0.067893	0.068125	1888	2.06289	-2.130784	-0.000102	0	<BOS>	1888	3.382354	-3.382456	1888	0	3.382354	0.879572	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_REPEAT	V9_SPACE		 	up		up	up up	NONE		 up up	2	[" up", " up"]	[510, 510]	1	1	2	 up	-0.111532	-0.114715	-0.003183	1691	1.923779	-2.038494	-0.000102	0	<BOS>	1790	3.028114	-3.028216	1790	0	3.028114	0.054771	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__REVERSED__V9_SPACE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	V9_SPACE		 	down	and	up	down and up	NONE		 down and up	3	[" down", " and", " up"]	[866, 290, 510]	2	1	3	 up	-0.021243	4.050225	4.071468	2659	3.36908	0.681145	4.050225	3	 up	2659	3.36908	0.681145	541	1	4.050225	0.681145	1	FULL_FRAME		
CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE	CORE_FACTORIAL	UP_DOWN	CC	THE_PHRASE	the phrase 		up	and	down	up and down	NONE		the phrase up and down	5	["the", " phrase", " up", " and", " down"]	[1169, 9546, 510, 290, 866]	4	1	5	 down	-0.027487	4.404454	4.43194	2659	3.312273	1.092181	4.404454	5	 down	2659	3.312273	1.092181	541	1	4.404454	1.092181	1	CC	canonical first × canonical second	
CORE_FACTORIAL__UP_DOWN__CA__THE_PHRASE__NONE	CORE_FACTORIAL	UP_DOWN	CA	THE_PHRASE	the phrase 		up	and	window	up and window	NONE		the phrase up and window	5	["the", " phrase", " up", " and", " window"]	[1169, 9546, 510, 290, 4324]	4	1	5	 window	-0.027487	0.66325	0.690737	1888	2.623012	-1.959762	0.66325	5	 window	2073	3.233148	-2.569899	2073	0	3.233148	0.489397	1	CC	canonical first × arbitrary second	
CORE_FACTORIAL__UP_DOWN__AC__THE_PHRASE__NONE	CORE_FACTORIAL	UP_DOWN	AC	THE_PHRASE	the phrase 		gravel	and	down	gravel and down	NONE		the phrase gravel and down	5	["the", " phrase", " gravel", " and", " down"]	[1169, 9546, 34375, 290, 866]	4	1	5	 down	-0.005961	-0.079014	-0.073053	1790	1.767177	-1.846191	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	CC	arbitrary first × canonical second	
CORE_FACTORIAL__UP_DOWN__AA__THE_PHRASE__NONE	CORE_FACTORIAL	UP_DOWN	AA	THE_PHRASE	the phrase 		gravel	and	window	gravel and window	NONE		the phrase gravel and window	5	["the", " phrase", " gravel", " and", " window"]	[1169, 9546, 34375, 290, 4324]	4	1	5	 window	-0.005961	0.740062	0.746023	1888	2.175173	-1.43511	0.740062	5	 window	2073	3.233148	-2.493086	2073	0	3.233148	0.489397	1	CC	arbitrary first × arbitrary second	
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	THE_PHRASE	the phrase 		up	and	down	up and down	NONE		the phrase up and down	5	["the", " phrase", " up", " and", " down"]	[1169, 9546, 510, 290, 866]	4	1	5	 down	-0.027487	4.404454	4.43194	2659	3.312273	1.092181	4.404454	5	 down	2659	3.312273	1.092181	541	1	4.404454	1.092181	1	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__THE_PHRASE__NONE	ENDPOINT_CONTROL	UP_DOWN	SECOND_ONLY	THE_PHRASE	the phrase 				down	down	NONE		the phrase down	3	["the", " phrase", " down"]	[1169, 9546, 866]	2	1	3	 down	-0.055584	-0.04196	0.013624	1790	1.786117	-1.828077	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	UP_DOWN	CONNECTOR_SECOND	THE_PHRASE	the phrase 			and	down	and down	NONE		the phrase and down	4	["the", " phrase", " and", " down"]	[1169, 9546, 290, 866]	3	1	4	 down	-0.009063	-0.147395	-0.138332	2704	1.976923	-2.124318	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_SECOND	THE_PHRASE	the phrase 		up		down	up down	NONE		the phrase up down	4	["the", " phrase", " up", " down"]	[1169, 9546, 510, 866]	3	1	4	 down	-0.008824	0.183467	0.192291	1790	1.856143	-1.672676	0.183467	4	 down	2073	3.233148	-3.049681	2073	0	3.233148	0.489397	1	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	THE_PHRASE	the phrase 		gravel		down	gravel down	NONE		the phrase gravel down	4	["the", " phrase", " gravel", " down"]	[1169, 9546, 34375, 866]	3	1	4	 down	-0.028257	-0.059283	-0.031025	1790	1.663156	-1.722439	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__THE_PHRASE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_REPEAT	THE_PHRASE	the phrase 		up		up	up up	NONE		the phrase up up	4	["the", " phrase", " up", " up"]	[1169, 9546, 510, 510]	3	1	4	 up	-0.008824	-0.073881	-0.065058	1790	2.388687	-2.462568	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__REVERSED__THE_PHRASE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	THE_PHRASE	the phrase 		down	and	up	down and up	NONE		the phrase down and up	5	["the", " phrase", " down", " and", " up"]	[1169, 9546, 866, 290, 510]	4	1	5	 up	-0.036984	4.274732	4.311716	2659	3.973765	0.300967	4.274732	5	 up	2659	3.973765	0.300967	541	1	4.274732	0.300967	1	FULL_FRAME		
CORE_FACTORIAL__UP_DOWN__CC__THEY_SAID__NONE	CORE_FACTORIAL	UP_DOWN	CC	THEY_SAID	they said 		up	and	down	up and down	NONE		they said up and down	5	["they", " said", " up", " and", " down"]	[9930, 531, 510, 290, 866]	4	1	5	 down	-0.03435	4.28348	4.317829	2659	2.988349	1.295131	4.28348	5	 down	2659	2.988349	1.295131	541	1	4.28348	1.295131	1	CC	canonical first × canonical second	
CORE_FACTORIAL__UP_DOWN__CA__THEY_SAID__NONE	CORE_FACTORIAL	UP_DOWN	CA	THEY_SAID	they said 		up	and	window	up and window	NONE		they said up and window	5	["they", " said", " up", " and", " window"]	[9930, 531, 510, 290, 4324]	4	1	5	 window	-0.03435	0.396209	0.430559	1888	2.81159	-2.415381	0.396209	5	 window	62	2.959687	-2.563477	62	0	2.959687	0.148097	1	CC	canonical first × arbitrary second	
CORE_FACTORIAL__UP_DOWN__AC__THEY_SAID__NONE	CORE_FACTORIAL	UP_DOWN	AC	THEY_SAID	they said 		gravel	and	down	gravel and down	NONE		they said gravel and down	5	["they", " said", " gravel", " and", " down"]	[9930, 531, 34375, 290, 866]	4	1	5	 down	-0.004003	-0.108905	-0.104902	1790	1.895194	-2.004099	-0.000102	0	<BOS>	2256	2.36087	-2.360972	2256	0	2.36087	0.053377	0	CC	arbitrary first × canonical second	
CORE_FACTORIAL__UP_DOWN__AA__THEY_SAID__NONE	CORE_FACTORIAL	UP_DOWN	AA	THEY_SAID	they said 		gravel	and	window	gravel and window	NONE		they said gravel and window	5	["they", " said", " gravel", " and", " window"]	[9930, 531, 34375, 290, 4324]	4	1	5	 window	-0.004003	0.765483	0.769486	1888	2.335574	-1.570091	0.765483	5	 window	2256	2.36087	-1.595387	2256	0	2.36087	0.025296	1	CC	arbitrary first × arbitrary second	
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	THEY_SAID	they said 		up	and	down	up and down	NONE		they said up and down	5	["they", " said", " up", " and", " down"]	[9930, 531, 510, 290, 866]	4	1	5	 down	-0.03435	4.28348	4.317829	2659	2.988349	1.295131	4.28348	5	 down	2659	2.988349	1.295131	541	1	4.28348	1.295131	1	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__THEY_SAID__NONE	ENDPOINT_CONTROL	UP_DOWN	SECOND_ONLY	THEY_SAID	they said 				down	down	NONE		they said down	3	["they", " said", " down"]	[9930, 531, 866]	2	1	3	 down	-0.03838	-0.086285	-0.047906	1790	1.911328	-1.997613	-0.000102	0	<BOS>	2256	2.36087	-2.360972	2256	0	2.36087	0.053377	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	UP_DOWN	CONNECTOR_SECOND	THEY_SAID	they said 			and	down	and down	NONE		they said and down	4	["they", " said", " and", " down"]	[9930, 531, 290, 866]	3	1	4	 down	-0.025332	-0.032601	-0.007268	638	1.637508	-1.670108	-0.000102	0	<BOS>	1953	2.592324	-2.592426	1953	0	2.592324	0.231454	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_SECOND	THEY_SAID	they said 		up		down	up down	NONE		they said up down	4	["they", " said", " up", " down"]	[9930, 531, 510, 866]	3	1	4	 down	-0.083447	0.4009	0.484348	1790	2.046676	-1.645776	0.4009	4	 down	2256	2.36087	-1.95997	2256	0	2.36087	0.053377	1	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	THEY_SAID	they said 		gravel		down	gravel down	NONE		they said gravel down	4	["they", " said", " gravel", " down"]	[9930, 531, 34375, 866]	3	1	4	 down	-0.035595	-0.02211	0.013484	1790	1.841066	-1.863177	-0.000102	0	<BOS>	2256	2.36087	-2.360972	2256	0	2.36087	0.053377	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__THEY_SAID__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_REPEAT	THEY_SAID	they said 		up		up	up up	NONE		they said up up	4	["they", " said", " up", " up"]	[9930, 531, 510, 510]	3	1	4	 up	-0.083447	-0.158958	-0.075511	1790	2.494559	-2.653517	-0.000102	0	<BOS>	1790	2.494559	-2.494661	1790	0	2.494559	0.101709	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__REVERSED__THEY_SAID__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	THEY_SAID	they said 		down	and	up	down and up	NONE		they said down and up	5	["they", " said", " down", " and", " up"]	[9930, 531, 866, 290, 510]	4	1	5	 up	-0.054046	4.645934	4.69998	2659	4.381216	0.264718	4.645934	5	 up	2659	4.381216	0.264718	541	1	4.645934	0.264718	1	FULL_FRAME		
CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE	CORE_FACTORIAL	NOW_THEN	CC	BARE			now	and	then	now and then	NONE		now and then	3	["now", " and", " then"]	[2197, 290, 788]	2	1	3	 then	-0.01108	3.322905	3.333985	2753	2.422944	0.899961	3.322905	3	 then	1888	2.696291	0.626614	541	1	3.322905	0.626614	1	CC	canonical first × canonical second	
CORE_FACTORIAL__NOW_THEN__CA__BARE__NONE	CORE_FACTORIAL	NOW_THEN	CA	BARE			now	and	ocean	now and ocean	NONE		now and ocean	3	["now", " and", " ocean"]	[2197, 290, 9151]	2	1	3	 ocean	-0.01108	0.445065	0.456145	1888	2.796391	-2.351326	0.445065	3	 ocean	1888	2.796391	-2.351326	1888	0	2.796391	0.375007	1	CC	canonical first × arbitrary second	
CORE_FACTORIAL__NOW_THEN__AC__BARE__NONE	CORE_FACTORIAL	NOW_THEN	AC	BARE			velvet	and	then	velvet and then	NONE		velvet and then	4	["vel", "vet", " and", " then"]	[626, 16809, 290, 788]	3	1	4	 then	-0.033055	-0.166473	-0.133418	1790	2.249438	-2.415911	-0.000102	0	<BOS>	1790	2.48364	-2.483742	1790	0	2.48364	0.011394	0	CC	arbitrary first × canonical second	
CORE_FACTORIAL__NOW_THEN__AA__BARE__NONE	CORE_FACTORIAL	NOW_THEN	AA	BARE			velvet	and	ocean	velvet and ocean	NONE		velvet and ocean	4	["vel", "vet", " and", " ocean"]	[626, 16809, 290, 9151]	3	1	4	 ocean	-0.033055	0.516523	0.549578	1888	2.411165	-1.894642	0.516523	4	 ocean	1790	2.48364	-1.967117	1790	0	2.48364	0.011394	1	CC	arbitrary first × arbitrary second	
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	NOW_THEN	FULL_FRAME	BARE			now	and	then	now and then	NONE		now and then	3	["now", " and", " then"]	[2197, 290, 788]	2	1	3	 then	-0.01108	3.322905	3.333985	2753	2.422944	0.899961	3.322905	3	 then	1888	2.696291	0.626614	541	1	3.322905	0.626614	1	FULL_FRAME		
ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL	NOW_THEN	SECOND_ONLY	BARE					then	then	NONE		then	1	["then"]	[8524]	0	1	1	then	-0.000102	-0.044532	-0.04443	1790	2.375541	-2.420074	-0.000102	0	<BOS>	1790	2.375541	-2.375643	1790	0	2.375541	0.014672	0	FULL_FRAME		
ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL	NOW_THEN	CONNECTOR_SECOND	BARE				and	then	and then	NONE		and then	2	["and", " then"]	[392, 788]	1	1	2	 then	-0.026548	-0.154102	-0.127554	512	2.27504	-2.429142	-0.000102	0	<BOS>	1790	2.485383	-2.485485	1790	0	2.485383	0.124513	0	FULL_FRAME		
ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	NOW_THEN	FIRST_SECOND	BARE			now		then	now then	NONE		now then	2	["now", " then"]	[2197, 788]	1	1	2	 then	-0.139163	0.429659	0.568822	711	1.898323	-1.468665	0.429659	2	 then	1888	2.696291	-2.266632	1888	0	2.696291	0.274908	1	FULL_FRAME		
ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	NOW_THEN	ARBFIRST_SECOND	BARE			velvet		then	velvet then	NONE		velvet then	3	["vel", "vet", " then"]	[626, 16809, 788]	2	1	3	 then	-0.127139	-0.110403	0.016737	1790	2.228745	-2.339148	-0.000102	0	<BOS>	1790	2.48364	-2.483742	1790	0	2.48364	0.011394	0	FULL_FRAME		
ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL	NOW_THEN	FIRST_REPEAT	BARE			now		now	now now	NONE		now now	2	["now", " now"]	[2197, 783]	1	1	2	 now	-0.139163	-0.089322	0.049841	1888	2.344414	-2.433736	-0.000102	0	<BOS>	1888	2.696291	-2.696393	1888	0	2.696291	0.274908	0	FULL_FRAME		
ENDPOINT_CONTROL__NOW_THEN__REVERSED__BARE__NONE	ENDPOINT_CONTROL	NOW_THEN	REVERSED	BARE			then	and	now	then and now	NONE		then and now	3	["then", " and", " now"]	[8524, 290, 783]	2	1	3	 now	-0.015022	4.261828	4.27685	2753	2.25737	2.004458	4.261828	3	 now	1790	2.375541	1.886286	541	1	4.261828	1.886286	1	FULL_FRAME		
CORE_FACTORIAL__NOW_THEN__CC__V9_SPACE__NONE	CORE_FACTORIAL	NOW_THEN	CC	V9_SPACE		 	now	and	then	now and then	NONE		 now and then	3	[" now", " and", " then"]	[783, 290, 788]	2	1	3	 then	-0.004342	3.729735	3.734077	2753	2.298114	1.431621	3.729735	3	 then	1888	3.160015	0.56972	541	1	3.729735	0.56972	1	CC	canonical first × canonical second	
CORE_FACTORIAL__NOW_THEN__CA__V9_SPACE__NONE	CORE_FACTORIAL	NOW_THEN	CA	V9_SPACE		 	now	and	ocean	now and ocean	NONE		 now and ocean	3	[" now", " and", " ocean"]	[783, 290, 9151]	2	1	3	 ocean	-0.004342	-0.100567	-0.096225	1888	2.943086	-3.043653	-0.000102	0	<BOS>	1888	3.160015	-3.160117	1888	0	3.160015	0.513781	0	CC	canonical first × arbitrary second	
CORE_FACTORIAL__NOW_THEN__AC__V9_SPACE__NONE	CORE_FACTORIAL	NOW_THEN	AC	V9_SPACE		 	velvet	and	then	velvet and then	NONE		 velvet and then	3	[" velvet", " and", " then"]	[47750, 290, 788]	2	1	3	 then	-0.016854	-0.159872	-0.143018	1790	2.347557	-2.507428	-0.000102	0	<BOS>	1888	3.314484	-3.314586	1888	0	3.314484	0.387908	0	CC	arbitrary first × canonical second	
CORE_FACTORIAL__NOW_THEN__AA__V9_SPACE__NONE	CORE_FACTORIAL	NOW_THEN	AA	V9_SPACE		 	velvet	and	ocean	velvet and ocean	NONE		 velvet and ocean	3	[" velvet", " and", " ocean"]	[47750, 290, 9151]	2	1	3	 ocean	-0.016854	0.45236	0.469214	1888	2.281141	-1.828781	0.45236	3	 ocean	1888	3.314484	-2.862124	1888	0	3.314484	0.387908	1	CC	arbitrary first × arbitrary second	
