# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	794
comparison_id	comparison_type	branch	seed_id	carrier_id	baseline_variant	variant	baseline_case_id	case_id	baseline_string	string	strict_token_position_match	baseline_pre_second_body_tokens	pre_second_body_tokens	baseline_second_realised_tokens	second_realised_tokens	raw_completion_541_change	raw_completion_increment_change	peak_541_change	signed_541_margin_change	baseline_dest	dest	baseline_retained_541	retained_541	retention_changed	completion_token_match	second_token_count_match
CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE__TO__AC	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	V9_SPACE	CC	AC	CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE	CORE_FACTORIAL__UP_DOWN__AC__V9_SPACE__NONE	 up and down	 gravel and down	1	2	2	1	1	-3.938372	-3.956622	-3.938372	-4.292612	541	1888	1	0	1		
CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE__TO__AA	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	V9_SPACE	CC	AA	CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE	CORE_FACTORIAL__UP_DOWN__AA__V9_SPACE__NONE	 up and down	 gravel and window	1	2	2	1	1	-3.382932	-3.401182	-3.382932	-3.737171	541	1888	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE__TO__SECOND_ONLY	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	FULL_FRAME	SECOND_ONLY	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__V9_SPACE__NONE	 up and down	 down	0	2	0	1	1	-4.313649	-4.342382	-4.184719	-3.842384	541	1790	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE__TO__CONNECTOR_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	FULL_FRAME	CONNECTOR_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__V9_SPACE__NONE	 up and down	 and down	0	2	1	1	1	-4.02354	-4.019702	-4.02354	-3.940053	541	1790	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE__TO__FIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	FULL_FRAME	FIRST_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__V9_SPACE__NONE	 up and down	 up down	0	2	1	1	1	-3.843505	-3.760808	-3.843505	-3.843505	541	1790	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE__TO__ARBFIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	FULL_FRAME	ARBFIRST_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__V9_SPACE__NONE	 up and down	 gravel down	0	2	1	1	1	-4.25251	-4.145327	-4.184719	-4.538959	541	1888	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE__TO__FIRST_REPEAT	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	FULL_FRAME	FIRST_REPEAT	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__V9_SPACE__NONE	 up and down	 up up	0	2	1	1	1	-4.299332	-4.216635	-4.184719	-4.184719	541	1790	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE__TO__REVERSED	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	FULL_FRAME	REVERSED	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__UP_DOWN__REVERSED__V9_SPACE__NONE	 up and down	 down and up	1	2	2	1	1	-0.134392	-0.141984	-0.134392	-0.475358	541	541	1	1	0		
CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE__TO__CA	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	THE_PHRASE	CC	CA	CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE	CORE_FACTORIAL__UP_DOWN__CA__THE_PHRASE__NONE	the phrase up and down	the phrase up and window	1	4	4	1	1	-3.741204	-3.741203	-3.741204	-3.66208	541	2073	1	0	1		
CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE__TO__AC	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	THE_PHRASE	CC	AC	CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE	CORE_FACTORIAL__UP_DOWN__AC__THE_PHRASE__NONE	the phrase up and down	the phrase gravel and down	1	4	4	1	1	-4.483468	-4.504993	-4.404556	-4.325431	541	2073	1	0	1		
CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE__TO__AA	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	THE_PHRASE	CC	AA	CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE	CORE_FACTORIAL__UP_DOWN__AA__THE_PHRASE__NONE	the phrase up and down	the phrase gravel and window	1	4	4	1	1	-3.664392	-3.685917	-3.664392	-3.585267	541	2073	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE__TO__SECOND_ONLY	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	FULL_FRAME	SECOND_ONLY	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__THE_PHRASE__NONE	the phrase up and down	the phrase down	0	4	2	1	1	-4.446414	-4.418316	-4.404556	-4.325431	541	2073	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE__TO__CONNECTOR_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	FULL_FRAME	CONNECTOR_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__THE_PHRASE__NONE	the phrase up and down	the phrase and down	0	4	3	1	1	-4.551849	-4.570272	-4.404556	-4.325431	541	2073	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE__TO__FIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	FULL_FRAME	FIRST_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__THE_PHRASE__NONE	the phrase up and down	the phrase up down	0	4	3	1	1	-4.220987	-4.239649	-4.220987	-4.141862	541	2073	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE__TO__ARBFIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	FULL_FRAME	ARBFIRST_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__THE_PHRASE__NONE	the phrase up and down	the phrase gravel down	0	4	3	1	1	-4.463737	-4.462965	-4.404556	-4.325431	541	2073	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE__TO__FIRST_REPEAT	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	FULL_FRAME	FIRST_REPEAT	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__THE_PHRASE__NONE	the phrase up and down	the phrase up up	0	4	3	1	1	-4.478335	-4.496998	-4.404556	-4.325431	541	2073	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE__TO__REVERSED	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	FULL_FRAME	REVERSED	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL__UP_DOWN__REVERSED__THE_PHRASE__NONE	the phrase up and down	the phrase down and up	1	4	4	1	1	-0.129722	-0.120224	-0.129722	-0.791214	541	541	1	1	0		
CORE_FACTORIAL__UP_DOWN__CC__THEY_SAID__NONE__TO__CA	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	THEY_SAID	CC	CA	CORE_FACTORIAL__UP_DOWN__CC__THEY_SAID__NONE	CORE_FACTORIAL__UP_DOWN__CA__THEY_SAID__NONE	they said up and down	they said up and window	1	4	4	1	1	-3.887271	-3.88727	-3.887271	-3.858608	541	62	1	0	1		
CORE_FACTORIAL__UP_DOWN__CC__THEY_SAID__NONE__TO__AC	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	THEY_SAID	CC	AC	CORE_FACTORIAL__UP_DOWN__CC__THEY_SAID__NONE	CORE_FACTORIAL__UP_DOWN__AC__THEY_SAID__NONE	they said up and down	they said gravel and down	1	4	4	1	1	-4.392385	-4.422731	-4.283582	-3.656103	541	2256	1	0	1		
CORE_FACTORIAL__UP_DOWN__CC__THEY_SAID__NONE__TO__AA	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	THEY_SAID	CC	AA	CORE_FACTORIAL__UP_DOWN__CC__THEY_SAID__NONE	CORE_FACTORIAL__UP_DOWN__AA__THEY_SAID__NONE	they said up and down	they said gravel and window	1	4	4	1	1	-3.517997	-3.548343	-3.517997	-2.890518	541	2256	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE__TO__SECOND_ONLY	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	FULL_FRAME	SECOND_ONLY	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__THEY_SAID__NONE	they said up and down	they said down	0	4	2	1	1	-4.369765	-4.365735	-4.283582	-3.656103	541	2256	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE__TO__CONNECTOR_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	FULL_FRAME	CONNECTOR_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__THEY_SAID__NONE	they said up and down	they said and down	0	4	3	1	1	-4.316081	-4.325097	-4.283582	-3.887557	541	1953	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE__TO__FIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	FULL_FRAME	FIRST_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__THEY_SAID__NONE	they said up and down	they said up down	0	4	3	1	1	-3.88258	-3.833481	-3.88258	-3.255101	541	2256	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE__TO__ARBFIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	FULL_FRAME	ARBFIRST_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__THEY_SAID__NONE	they said up and down	they said gravel down	0	4	3	1	1	-4.30559	-4.304345	-4.283582	-3.656103	541	2256	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE__TO__FIRST_REPEAT	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	FULL_FRAME	FIRST_REPEAT	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__THEY_SAID__NONE	they said up and down	they said up up	0	4	3	1	1	-4.442438	-4.39334	-4.283582	-3.789792	541	1790	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE__TO__REVERSED	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	FULL_FRAME	REVERSED	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL__UP_DOWN__REVERSED__THEY_SAID__NONE	they said up and down	they said down and up	1	4	4	1	1	0.362454	0.382151	0.362454	-1.030413	541	541	1	1	0		
CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE__TO__CA	WITHIN_CARRIER	CORE_FACTORIAL	NOW_THEN	BARE	CC	CA	CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE	CORE_FACTORIAL__NOW_THEN__CA__BARE__NONE	now and then	now and ocean	1	2	2	1	1	-2.87784	-2.87784	-2.87784	-2.97794	541	1888	1	0	1		
CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE__TO__AC	WITHIN_CARRIER	CORE_FACTORIAL	NOW_THEN	BARE	CC	AC	CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE	CORE_FACTORIAL__NOW_THEN__AC__BARE__NONE	now and then	velvet and then	0	2	3	1	1	-3.489378	-3.467403	-3.323007	-3.110356	541	1790	1	0	1		
CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE__TO__AA	WITHIN_CARRIER	CORE_FACTORIAL	NOW_THEN	BARE	CC	AA	CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE	CORE_FACTORIAL__NOW_THEN__AA__BARE__NONE	now and then	velvet and ocean	0	2	3	1	1	-2.806382	-2.784407	-2.806382	-2.593731	541	1790	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE__TO__SECOND_ONLY	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	BARE	FULL_FRAME	SECOND_ONLY	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__BARE__NONE	now and then	then	0	2	0	1	1	-3.367437	-3.378415	-3.323007	-3.002257	541	1790	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE__TO__CONNECTOR_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	BARE	FULL_FRAME	CONNECTOR_SECOND	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__BARE__NONE	now and then	and then	0	2	1	1	1	-3.477007	-3.461539	-3.323007	-3.112099	541	1790	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE__TO__FIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	BARE	FULL_FRAME	FIRST_SECOND	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__BARE__NONE	now and then	now then	0	2	1	1	1	-2.893246	-2.765163	-2.893246	-2.893246	541	1888	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE__TO__ARBFIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	BARE	FULL_FRAME	ARBFIRST_SECOND	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__BARE__NONE	now and then	velvet then	1	2	2	1	1	-3.433308	-3.317248	-3.323007	-3.110356	541	1790	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE__TO__FIRST_REPEAT	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	BARE	FULL_FRAME	FIRST_REPEAT	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__BARE__NONE	now and then	now now	0	2	1	1	1	-3.412227	-3.284144	-3.323007	-3.323007	541	1888	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE__TO__REVERSED	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	BARE	FULL_FRAME	REVERSED	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__REVERSED__BARE__NONE	now and then	then and now	1	2	2	1	1	0.938923	0.942865	0.938923	1.259672	541	541	1	1	0		
CORE_FACTORIAL__NOW_THEN__CC__V9_SPACE__NONE__TO__CA	WITHIN_CARRIER	CORE_FACTORIAL	NOW_THEN	V9_SPACE	CC	CA	CORE_FACTORIAL__NOW_THEN__CC__V9_SPACE__NONE	CORE_FACTORIAL__NOW_THEN__CA__V9_SPACE__NONE	 now and then	 now and ocean	1	2	2	1	1	-3.830302	-3.830302	-3.729837	-3.729837	541	1888	1	0	1		
CORE_FACTORIAL__NOW_THEN__CC__V9_SPACE__NONE__TO__AC	WITHIN_CARRIER	CORE_FACTORIAL	NOW_THEN	V9_SPACE	CC	AC	CORE_FACTORIAL__NOW_THEN__CC__V9_SPACE__NONE	CORE_FACTORIAL__NOW_THEN__AC__V9_SPACE__NONE	 now and then	 velvet and then	1	2	2	1	1	-3.889607	-3.877095	-3.729837	-3.884306	541	1888	1	0	1		
CORE_FACTORIAL__NOW_THEN__CC__V9_SPACE__NONE__TO__AA	WITHIN_CARRIER	CORE_FACTORIAL	NOW_THEN	V9_SPACE	CC	AA	CORE_FACTORIAL__NOW_THEN__CC__V9_SPACE__NONE	CORE_FACTORIAL__NOW_THEN__AA__V9_SPACE__NONE	 now and then	 velvet and ocean	1	2	2	1	1	-3.277375	-3.264863	-3.277375	-3.431844	541	1888	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE__TO__SECOND_ONLY	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	FULL_FRAME	SECOND_ONLY	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__V9_SPACE__NONE	 now and then	 then	0	2	0	1	1	-3.791866	-3.796106	-3.729837	-4.243278	541	464	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE__TO__CONNECTOR_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	FULL_FRAME	CONNECTOR_SECOND	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__V9_SPACE__NONE	 now and then	 and then	0	2	1	1	1	-3.870041	-3.84171	-3.729837	-3.514449	541	1790	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE__TO__FIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	FULL_FRAME	FIRST_SECOND	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__V9_SPACE__NONE	 now and then	 now then	0	2	1	1	1	-3.06594	-2.973999	-3.06594	-3.06594	541	1888	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE__TO__ARBFIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	FULL_FRAME	ARBFIRST_SECOND	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__V9_SPACE__NONE	 now and then	 velvet then	0	2	1	1	1	-3.811461	-3.65228	-3.729837	-3.884306	541	1888	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE__TO__FIRST_REPEAT	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	FULL_FRAME	FIRST_REPEAT	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__V9_SPACE__NONE	 now and then	 now now	0	2	1	1	1	-3.862802	-3.770861	-3.729837	-3.729837	541	1888	1	0	1		
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE__TO__REVERSED	WITHIN_CARRIER	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	FULL_FRAME	REVERSED	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL__NOW_THEN__REVERSED__V9_SPACE__NONE	 now and then	 then and now	1	2	2	1	1	0.533357	0.549703	0.533357	0.019916	541	541	1	1	0		
