# generated_utc	2026-08-14T18:47:53+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	528
seed_id	canonical_first	canonical_connector	canonical_second	arbitrary_first	arbitrary_second	canonical_first_space_tokens	arbitrary_first_space_tokens	canonical_second_space_tokens	arbitrary_second_space_tokens	selection_rule	case_id	branch	variant	carrier_id	string	n_tok	pre_second_body_tokens	second_realised_tokens	completion_pos	tokens	token_ids
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL	FIRST_REPEAT	BARE	up up	2	1	1	2	["up", " up"]	[929, 510]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE	ENDPOINT_CONTROL	REVERSED	BARE	down and up	3	2	1	3	["down", " and", " up"]	[2902, 290, 510]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE	CORE_FACTORIAL	CC	V9_SPACE	 up and down	3	2	1	3	[" up", " and", " down"]	[510, 290, 866]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__CA__V9_SPACE__NONE	CORE_FACTORIAL	CA	V9_SPACE	 up and window	3	2	1	3	[" up", " and", " window"]	[510, 290, 4324]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__AC__V9_SPACE__NONE	CORE_FACTORIAL	AC	V9_SPACE	 gravel and down	3	2	1	3	[" gravel", " and", " down"]	[34375, 290, 866]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__AA__V9_SPACE__NONE	CORE_FACTORIAL	AA	V9_SPACE	 gravel and window	3	2	1	3	[" gravel", " and", " window"]	[34375, 290, 4324]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL	FULL_FRAME	V9_SPACE	 up and down	3	2	1	3	[" up", " and", " down"]	[510, 290, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__V9_SPACE__NONE	ENDPOINT_CONTROL	SECOND_ONLY	V9_SPACE	 down	1	0	1	1	[" down"]	[866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	CONNECTOR_SECOND	V9_SPACE	 and down	2	1	1	2	[" and", " down"]	[290, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	FIRST_SECOND	V9_SPACE	 up down	2	1	1	2	[" up", " down"]	[510, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	ARBFIRST_SECOND	V9_SPACE	 gravel down	2	1	1	2	[" gravel", " down"]	[34375, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__V9_SPACE__NONE	ENDPOINT_CONTROL	FIRST_REPEAT	V9_SPACE	 up up	2	1	1	2	[" up", " up"]	[510, 510]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__REVERSED__V9_SPACE__NONE	ENDPOINT_CONTROL	REVERSED	V9_SPACE	 down and up	3	2	1	3	[" down", " and", " up"]	[866, 290, 510]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__CC__THE_PHRASE__NONE	CORE_FACTORIAL	CC	THE_PHRASE	the phrase up and down	5	4	1	5	["the", " phrase", " up", " and", " down"]	[1169, 9546, 510, 290, 866]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__CA__THE_PHRASE__NONE	CORE_FACTORIAL	CA	THE_PHRASE	the phrase up and window	5	4	1	5	["the", " phrase", " up", " and", " window"]	[1169, 9546, 510, 290, 4324]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__AC__THE_PHRASE__NONE	CORE_FACTORIAL	AC	THE_PHRASE	the phrase gravel and down	5	4	1	5	["the", " phrase", " gravel", " and", " down"]	[1169, 9546, 34375, 290, 866]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__AA__THE_PHRASE__NONE	CORE_FACTORIAL	AA	THE_PHRASE	the phrase gravel and window	5	4	1	5	["the", " phrase", " gravel", " and", " window"]	[1169, 9546, 34375, 290, 4324]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL	FULL_FRAME	THE_PHRASE	the phrase up and down	5	4	1	5	["the", " phrase", " up", " and", " down"]	[1169, 9546, 510, 290, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__THE_PHRASE__NONE	ENDPOINT_CONTROL	SECOND_ONLY	THE_PHRASE	the phrase down	3	2	1	3	["the", " phrase", " down"]	[1169, 9546, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	CONNECTOR_SECOND	THE_PHRASE	the phrase and down	4	3	1	4	["the", " phrase", " and", " down"]	[1169, 9546, 290, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	FIRST_SECOND	THE_PHRASE	the phrase up down	4	3	1	4	["the", " phrase", " up", " down"]	[1169, 9546, 510, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	ARBFIRST_SECOND	THE_PHRASE	the phrase gravel down	4	3	1	4	["the", " phrase", " gravel", " down"]	[1169, 9546, 34375, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__THE_PHRASE__NONE	ENDPOINT_CONTROL	FIRST_REPEAT	THE_PHRASE	the phrase up up	4	3	1	4	["the", " phrase", " up", " up"]	[1169, 9546, 510, 510]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__REVERSED__THE_PHRASE__NONE	ENDPOINT_CONTROL	REVERSED	THE_PHRASE	the phrase down and up	5	4	1	5	["the", " phrase", " down", " and", " up"]	[1169, 9546, 866, 290, 510]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__CC__THEY_SAID__NONE	CORE_FACTORIAL	CC	THEY_SAID	they said up and down	5	4	1	5	["they", " said", " up", " and", " down"]	[9930, 531, 510, 290, 866]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__CA__THEY_SAID__NONE	CORE_FACTORIAL	CA	THEY_SAID	they said up and window	5	4	1	5	["they", " said", " up", " and", " window"]	[9930, 531, 510, 290, 4324]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__AC__THEY_SAID__NONE	CORE_FACTORIAL	AC	THEY_SAID	they said gravel and down	5	4	1	5	["they", " said", " gravel", " and", " down"]	[9930, 531, 34375, 290, 866]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__AA__THEY_SAID__NONE	CORE_FACTORIAL	AA	THEY_SAID	they said gravel and window	5	4	1	5	["they", " said", " gravel", " and", " window"]	[9930, 531, 34375, 290, 4324]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL	FULL_FRAME	THEY_SAID	they said up and down	5	4	1	5	["they", " said", " up", " and", " down"]	[9930, 531, 510, 290, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__THEY_SAID__NONE	ENDPOINT_CONTROL	SECOND_ONLY	THEY_SAID	they said down	3	2	1	3	["they", " said", " down"]	[9930, 531, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	CONNECTOR_SECOND	THEY_SAID	they said and down	4	3	1	4	["they", " said", " and", " down"]	[9930, 531, 290, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	FIRST_SECOND	THEY_SAID	they said up down	4	3	1	4	["they", " said", " up", " down"]	[9930, 531, 510, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	ARBFIRST_SECOND	THEY_SAID	they said gravel down	4	3	1	4	["they", " said", " gravel", " down"]	[9930, 531, 34375, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__THEY_SAID__NONE	ENDPOINT_CONTROL	FIRST_REPEAT	THEY_SAID	they said up up	4	3	1	4	["they", " said", " up", " up"]	[9930, 531, 510, 510]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__REVERSED__THEY_SAID__NONE	ENDPOINT_CONTROL	REVERSED	THEY_SAID	they said down and up	5	4	1	5	["they", " said", " down", " and", " up"]	[9930, 531, 866, 290, 510]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE	CORE_FACTORIAL	CC	BARE	now and then	3	2	1	3	["now", " and", " then"]	[2197, 290, 788]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__CA__BARE__NONE	CORE_FACTORIAL	CA	BARE	now and ocean	3	2	1	3	["now", " and", " ocean"]	[2197, 290, 9151]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__AC__BARE__NONE	CORE_FACTORIAL	AC	BARE	velvet and then	4	3	1	4	["vel", "vet", " and", " then"]	[626, 16809, 290, 788]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__AA__BARE__NONE	CORE_FACTORIAL	AA	BARE	velvet and ocean	4	3	1	4	["vel", "vet", " and", " ocean"]	[626, 16809, 290, 9151]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	FULL_FRAME	BARE	now and then	3	2	1	3	["now", " and", " then"]	[2197, 290, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL	SECOND_ONLY	BARE	then	1	0	1	1	["then"]	[8524]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL	CONNECTOR_SECOND	BARE	and then	2	1	1	2	["and", " then"]	[392, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	FIRST_SECOND	BARE	now then	2	1	1	2	["now", " then"]	[2197, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	ARBFIRST_SECOND	BARE	velvet then	3	2	1	3	["vel", "vet", " then"]	[626, 16809, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL	FIRST_REPEAT	BARE	now now	2	1	1	2	["now", " now"]	[2197, 783]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__REVERSED__BARE__NONE	ENDPOINT_CONTROL	REVERSED	BARE	then and now	3	2	1	3	["then", " and", " now"]	[8524, 290, 783]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__CC__V9_SPACE__NONE	CORE_FACTORIAL	CC	V9_SPACE	 now and then	3	2	1	3	[" now", " and", " then"]	[783, 290, 788]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__CA__V9_SPACE__NONE	CORE_FACTORIAL	CA	V9_SPACE	 now and ocean	3	2	1	3	[" now", " and", " ocean"]	[783, 290, 9151]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__AC__V9_SPACE__NONE	CORE_FACTORIAL	AC	V9_SPACE	 velvet and then	3	2	1	3	[" velvet", " and", " then"]	[47750, 290, 788]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__AA__V9_SPACE__NONE	CORE_FACTORIAL	AA	V9_SPACE	 velvet and ocean	3	2	1	3	[" velvet", " and", " ocean"]	[47750, 290, 9151]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL	FULL_FRAME	V9_SPACE	 now and then	3	2	1	3	[" now", " and", " then"]	[783, 290, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__V9_SPACE__NONE	ENDPOINT_CONTROL	SECOND_ONLY	V9_SPACE	 then	1	0	1	1	[" then"]	[788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	CONNECTOR_SECOND	V9_SPACE	 and then	2	1	1	2	[" and", " then"]	[290, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	FIRST_SECOND	V9_SPACE	 now then	2	1	1	2	[" now", " then"]	[783, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	ARBFIRST_SECOND	V9_SPACE	 velvet then	2	1	1	2	[" velvet", " then"]	[47750, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__V9_SPACE__NONE	ENDPOINT_CONTROL	FIRST_REPEAT	V9_SPACE	 now now	2	1	1	2	[" now", " now"]	[783, 783]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__REVERSED__V9_SPACE__NONE	ENDPOINT_CONTROL	REVERSED	V9_SPACE	 then and now	3	2	1	3	[" then", " and", " now"]	[788, 290, 783]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__CC__THE_PHRASE__NONE	CORE_FACTORIAL	CC	THE_PHRASE	the phrase now and then	5	4	1	5	["the", " phrase", " now", " and", " then"]	[1169, 9546, 783, 290, 788]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__CA__THE_PHRASE__NONE	CORE_FACTORIAL	CA	THE_PHRASE	the phrase now and ocean	5	4	1	5	["the", " phrase", " now", " and", " ocean"]	[1169, 9546, 783, 290, 9151]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__AC__THE_PHRASE__NONE	CORE_FACTORIAL	AC	THE_PHRASE	the phrase velvet and then	5	4	1	5	["the", " phrase", " velvet", " and", " then"]	[1169, 9546, 47750, 290, 788]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__AA__THE_PHRASE__NONE	CORE_FACTORIAL	AA	THE_PHRASE	the phrase velvet and ocean	5	4	1	5	["the", " phrase", " velvet", " and", " ocean"]	[1169, 9546, 47750, 290, 9151]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__THE_PHRASE__NONE	ENDPOINT_CONTROL	FULL_FRAME	THE_PHRASE	the phrase now and then	5	4	1	5	["the", " phrase", " now", " and", " then"]	[1169, 9546, 783, 290, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__THE_PHRASE__NONE	ENDPOINT_CONTROL	SECOND_ONLY	THE_PHRASE	the phrase then	3	2	1	3	["the", " phrase", " then"]	[1169, 9546, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	CONNECTOR_SECOND	THE_PHRASE	the phrase and then	4	3	1	4	["the", " phrase", " and", " then"]	[1169, 9546, 290, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	FIRST_SECOND	THE_PHRASE	the phrase now then	4	3	1	4	["the", " phrase", " now", " then"]	[1169, 9546, 783, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__THE_PHRASE__NONE	ENDPOINT_CONTROL	ARBFIRST_SECOND	THE_PHRASE	the phrase velvet then	4	3	1	4	["the", " phrase", " velvet", " then"]	[1169, 9546, 47750, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__THE_PHRASE__NONE	ENDPOINT_CONTROL	FIRST_REPEAT	THE_PHRASE	the phrase now now	4	3	1	4	["the", " phrase", " now", " now"]	[1169, 9546, 783, 783]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__REVERSED__THE_PHRASE__NONE	ENDPOINT_CONTROL	REVERSED	THE_PHRASE	the phrase then and now	5	4	1	5	["the", " phrase", " then", " and", " now"]	[1169, 9546, 788, 290, 783]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__CC__THEY_SAID__NONE	CORE_FACTORIAL	CC	THEY_SAID	they said now and then	5	4	1	5	["they", " said", " now", " and", " then"]	[9930, 531, 783, 290, 788]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__CA__THEY_SAID__NONE	CORE_FACTORIAL	CA	THEY_SAID	they said now and ocean	5	4	1	5	["they", " said", " now", " and", " ocean"]	[9930, 531, 783, 290, 9151]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__AC__THEY_SAID__NONE	CORE_FACTORIAL	AC	THEY_SAID	they said velvet and then	5	4	1	5	["they", " said", " velvet", " and", " then"]	[9930, 531, 47750, 290, 788]
NOW_THEN											CORE_FACTORIAL__NOW_THEN__AA__THEY_SAID__NONE	CORE_FACTORIAL	AA	THEY_SAID	they said velvet and ocean	5	4	1	5	["they", " said", " velvet", " and", " ocean"]	[9930, 531, 47750, 290, 9151]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__THEY_SAID__NONE	ENDPOINT_CONTROL	FULL_FRAME	THEY_SAID	they said now and then	5	4	1	5	["they", " said", " now", " and", " then"]	[9930, 531, 783, 290, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__THEY_SAID__NONE	ENDPOINT_CONTROL	SECOND_ONLY	THEY_SAID	they said then	3	2	1	3	["they", " said", " then"]	[9930, 531, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	CONNECTOR_SECOND	THEY_SAID	they said and then	4	3	1	4	["they", " said", " and", " then"]	[9930, 531, 290, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	FIRST_SECOND	THEY_SAID	they said now then	4	3	1	4	["they", " said", " now", " then"]	[9930, 531, 783, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__THEY_SAID__NONE	ENDPOINT_CONTROL	ARBFIRST_SECOND	THEY_SAID	they said velvet then	4	3	1	4	["they", " said", " velvet", " then"]	[9930, 531, 47750, 788]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__THEY_SAID__NONE	ENDPOINT_CONTROL	FIRST_REPEAT	THEY_SAID	they said now now	4	3	1	4	["they", " said", " now", " now"]	[9930, 531, 783, 783]
NOW_THEN											ENDPOINT_CONTROL__NOW_THEN__REVERSED__THEY_SAID__NONE	ENDPOINT_CONTROL	REVERSED	THEY_SAID	they said then and now	5	4	1	5	["they", " said", " then", " and", " now"]	[9930, 531, 788, 290, 783]
HERE_THERE											CORE_FACTORIAL__HERE_THERE__CC__BARE__NONE	CORE_FACTORIAL	CC	BARE	here and there	3	2	1	3	["here", " and", " there"]	[1456, 290, 612]
HERE_THERE											CORE_FACTORIAL__HERE_THERE__CA__BARE__NONE	CORE_FACTORIAL	CA	BARE	here and forest	3	2	1	3	["here", " and", " forest"]	[1456, 290, 8222]
HERE_THERE											CORE_FACTORIAL__HERE_THERE__AC__BARE__NONE	CORE_FACTORIAL	AC	BARE	marble and there	4	3	1	4	["mar", "ble", " and", " there"]	[3876, 903, 290, 612]
HERE_THERE											CORE_FACTORIAL__HERE_THERE__AA__BARE__NONE	CORE_FACTORIAL	AA	BARE	marble and forest	4	3	1	4	["mar", "ble", " and", " forest"]	[3876, 903, 290, 8222]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	FULL_FRAME	BARE	here and there	3	2	1	3	["here", " and", " there"]	[1456, 290, 612]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL	SECOND_ONLY	BARE	there	1	0	1	1	["there"]	[8117]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL	CONNECTOR_SECOND	BARE	and there	2	1	1	2	["and", " there"]	[392, 612]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	FIRST_SECOND	BARE	here there	2	1	1	2	["here", " there"]	[1456, 612]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	ARBFIRST_SECOND	BARE	marble there	3	2	1	3	["mar", "ble", " there"]	[3876, 903, 612]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL	FIRST_REPEAT	BARE	here here	2	1	1	2	["here", " here"]	[1456, 994]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__REVERSED__BARE__NONE	ENDPOINT_CONTROL	REVERSED	BARE	there and here	3	2	1	3	["there", " and", " here"]	[8117, 290, 994]
HERE_THERE											CORE_FACTORIAL__HERE_THERE__CC__V9_SPACE__NONE	CORE_FACTORIAL	CC	V9_SPACE	 here and there	3	2	1	3	[" here", " and", " there"]	[994, 290, 612]
HERE_THERE											CORE_FACTORIAL__HERE_THERE__CA__V9_SPACE__NONE	CORE_FACTORIAL	CA	V9_SPACE	 here and forest	3	2	1	3	[" here", " and", " forest"]	[994, 290, 8222]
HERE_THERE											CORE_FACTORIAL__HERE_THERE__AC__V9_SPACE__NONE	CORE_FACTORIAL	AC	V9_SPACE	 marble and there	3	2	1	3	[" marble", " and", " there"]	[30623, 290, 612]
HERE_THERE											CORE_FACTORIAL__HERE_THERE__AA__V9_SPACE__NONE	CORE_FACTORIAL	AA	V9_SPACE	 marble and forest	3	2	1	3	[" marble", " and", " forest"]	[30623, 290, 8222]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__FULL_FRAME__V9_SPACE__NONE	ENDPOINT_CONTROL	FULL_FRAME	V9_SPACE	 here and there	3	2	1	3	[" here", " and", " there"]	[994, 290, 612]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__SECOND_ONLY__V9_SPACE__NONE	ENDPOINT_CONTROL	SECOND_ONLY	V9_SPACE	 there	1	0	1	1	[" there"]	[612]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__CONNECTOR_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	CONNECTOR_SECOND	V9_SPACE	 and there	2	1	1	2	[" and", " there"]	[290, 612]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__FIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	FIRST_SECOND	V9_SPACE	 here there	2	1	1	2	[" here", " there"]	[994, 612]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__ARBFIRST_SECOND__V9_SPACE__NONE	ENDPOINT_CONTROL	ARBFIRST_SECOND	V9_SPACE	 marble there	2	1	1	2	[" marble", " there"]	[30623, 612]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__FIRST_REPEAT__V9_SPACE__NONE	ENDPOINT_CONTROL	FIRST_REPEAT	V9_SPACE	 here here	2	1	1	2	[" here", " here"]	[994, 994]
HERE_THERE											ENDPOINT_CONTROL__HERE_THERE__REVERSED__V9_SPACE__NONE	ENDPOINT_CONTROL	REVERSED	V9_SPACE	 there and here	3	2	1	3	[" there", " and", " here"]	[612, 290, 994]
HERE_THERE											CORE_FACTORIAL__HERE_THERE__CC__THE_PHRASE__NONE	CORE_FACTORIAL	CC	THE_PHRASE	the phrase here and there	5	4	1	5	["the", " phrase", " here", " and", " there"]	[1169, 9546, 994, 290, 612]
HERE_THERE											CORE_FACTORIAL__HERE_THERE__CA__THE_PHRASE__NONE	CORE_FACTORIAL	CA	THE_PHRASE	the phrase here and forest	5	4	1	5	["the", " phrase", " here", " and", " forest"]	[1169, 9546, 994, 290, 8222]
