# generated_utc	2026-08-15T00:50:25+00:00
# script	probe_v13.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	64
prompt_id	prompt	treatment	declared_role	neurons	add_value	intervention_mode	max_new_tokens	generated_token_ids	generated_text	full_text	exact_clean_match	first_divergence_step	cold_lexeme_count
2	The summer sun is fiery, the season is	N38_SUSTAINED_NATURAL	autoregressive feedback test	[38]	2.870398759841919	SUSTAINED	15	[5814, 11, 290, 262, 4252, 318, 22751, 13, 198, 198, 1537, 262, 4252, 318, 407]	 warm, and the sun is shining.\n\nBut the sun is not	The summer sun is fiery, the season is warm, and the sun is shining.\n\nBut the sun is not	0	12	0
2	The summer sun is fiery, the season is	TEAM_ONE_STEP_N38_CALIBRATED	old team at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	ONE_STEP	15	[4692, 11, 290, 262, 2344, 318, 19280, 13, 198, 198, 1537, 262, 4252, 318, 407]	 cold, and the wind is blowing.\n\nBut the sun is not	The summer sun is fiery, the season is cold, and the wind is blowing.\n\nBut the sun is not	0	1	1
2	The summer sun is fiery, the season is	TEAM_SUSTAINED_N38_CALIBRATED	old team feedback test at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	SUSTAINED	15	[4692, 11, 290, 262, 2344, 318, 19280, 13, 198, 198, 464, 4252, 318, 22751, 11]	 cold, and the wind is blowing.\n\nThe sun is shining,	The summer sun is fiery, the season is cold, and the wind is blowing.\n\nThe sun is shining,	0	1	1
2	The summer sun is fiery, the season is	N38_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38]	10.0	SUSTAINED	15	[4692, 11, 290, 262, 2344, 318, 19280, 13, 198, 198, 464, 4252, 318, 22751, 319]	 cold, and the wind is blowing.\n\nThe sun is shining on	The summer sun is fiery, the season is cold, and the wind is blowing.\n\nThe sun is shining on	0	1	1
2	The summer sun is fiery, the season is	TEAM_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38, 1103, 2094]	10.0	SUSTAINED	15	[4692, 11, 290, 262, 4252, 318, 22751, 13, 198, 198, 464, 4252, 318, 22751, 319]	 cold, and the sun is shining.\n\nThe sun is shining on	The summer sun is fiery, the season is cold, and the sun is shining.\n\nThe sun is shining on	0	1	1
2	The summer sun is fiery, the season is	N38_SUSTAINED_NEG_NATURAL	signed direction control	[38]	-2.870398759841919	SUSTAINED	15	[5814, 11, 290, 262, 4252, 318, 22751, 13, 198, 198, 1537, 644, 611, 345, 821]	 warm, and the sun is shining.\n\nBut what if you're	The summer sun is fiery, the season is warm, and the sun is shining.\n\nBut what if you're	1		0
3	The fire in the hearth is roaring, the air is	CLEAN	baseline	[]	0.0	ONE_STEP	15	[6546, 351, 7523, 11, 290, 262, 2344, 318, 19280, 13, 383, 2046, 318, 9482, 11]	 thick with smoke, and the wind is blowing. The fire is burning,	The fire in the hearth is roaring, the air is thick with smoke, and the wind is blowing. The fire is burning,	1		0
3	The fire in the hearth is roaring, the air is	N38_ONE_STEP_NATURAL	natural-range dose	[38]	2.870398759841919	ONE_STEP	15	[6546, 351, 7523, 11, 290, 262, 2344, 318, 19280, 13, 383, 2046, 318, 9482, 11]	 thick with smoke, and the wind is blowing. The fire is burning,	The fire in the hearth is roaring, the air is thick with smoke, and the wind is blowing. The fire is burning,	1		0
3	The fire in the hearth is roaring, the air is	N38_SUSTAINED_NATURAL	autoregressive feedback test	[38]	2.870398759841919	SUSTAINED	15	[6546, 351, 7523, 11, 290, 262, 2344, 318, 19280, 13, 383, 2344, 318, 19280, 11]	 thick with smoke, and the wind is blowing. The wind is blowing,	The fire in the hearth is roaring, the air is thick with smoke, and the wind is blowing. The wind is blowing,	0	12	0
3	The fire in the hearth is roaring, the air is	TEAM_ONE_STEP_N38_CALIBRATED	old team at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	ONE_STEP	15	[6546, 351, 7523, 11, 290, 262, 2344, 318, 19280, 13, 383, 2046, 318, 9482, 11]	 thick with smoke, and the wind is blowing. The fire is burning,	The fire in the hearth is roaring, the air is thick with smoke, and the wind is blowing. The fire is burning,	1		0
3	The fire in the hearth is roaring, the air is	TEAM_SUSTAINED_N38_CALIBRATED	old team feedback test at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	SUSTAINED	15	[6546, 351, 7523, 11, 290, 262, 2344, 318, 19280, 13, 198, 198, 464, 2046, 318]	 thick with smoke, and the wind is blowing.\n\nThe fire is	The fire in the hearth is roaring, the air is thick with smoke, and the wind is blowing.\n\nThe fire is	0	11	0
3	The fire in the hearth is roaring, the air is	N38_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38]	10.0	SUSTAINED	15	[6546, 351, 7523, 11, 290, 262, 2344, 318, 19280, 13, 198, 198, 464, 2128, 286]	 thick with smoke, and the wind is blowing.\n\nThe sound of	The fire in the hearth is roaring, the air is thick with smoke, and the wind is blowing.\n\nThe sound of	0	11	0
3	The fire in the hearth is roaring, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38, 1103, 2094]	10.0	SUSTAINED	15	[6546, 351, 7523, 11, 290, 262, 2128, 286, 262, 2344, 318, 4334, 13, 198, 198]	 thick with smoke, and the sound of the wind is heavy.\n\n	The fire in the hearth is roaring, the air is thick with smoke, and the sound of the wind is heavy.\n\n	0	7	0
3	The fire in the hearth is roaring, the air is	N38_SUSTAINED_NEG_NATURAL	signed direction control	[38]	-2.870398759841919	SUSTAINED	15	[5901, 351, 7523, 11, 290, 262, 2128, 286, 262, 2046, 318, 2982, 422, 477, 11678]	 filled with smoke, and the sound of the fire is heard from all directions	The fire in the hearth is roaring, the air is filled with smoke, and the sound of the fire is heard from all directions	0	1	0
4	The fever was raging, and her skin felt	CLEAN	baseline	[]	0.0	ONE_STEP	15	[588, 340, 373, 1016, 284, 11173, 13, 198, 198, 1, 40, 1101, 7926, 11, 314]	 like it was going to burst.\n\n"I'm sorry, I	The fever was raging, and her skin felt like it was going to burst.\n\n"I'm sorry, I	1		0
4	The fever was raging, and her skin felt	N38_ONE_STEP_NATURAL	natural-range dose	[38]	2.870398759841919	ONE_STEP	15	[588, 340, 373, 1016, 284, 11173, 13, 198, 198, 1, 40, 1101, 7926, 11, 314]	 like it was going to burst.\n\n"I'm sorry, I	The fever was raging, and her skin felt like it was going to burst.\n\n"I'm sorry, I	1		0
4	The fever was raging, and her skin felt	N38_SUSTAINED_NATURAL	autoregressive feedback test	[38]	2.870398759841919	SUSTAINED	15	[588, 340, 373, 1016, 284, 11173, 13, 198, 198, 1, 40, 1101, 1016, 284, 4656]	 like it was going to burst.\n\n"I'm going to die	The fever was raging, and her skin felt like it was going to burst.\n\n"I'm going to die	0	13	0
4	The fever was raging, and her skin felt	TEAM_ONE_STEP_N38_CALIBRATED	old team at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	ONE_STEP	15	[588, 340, 373, 1016, 284, 11173, 13, 198, 198, 1, 40, 1101, 7926, 11, 314]	 like it was going to burst.\n\n"I'm sorry, I	The fever was raging, and her skin felt like it was going to burst.\n\n"I'm sorry, I	1		0
4	The fever was raging, and her skin felt	TEAM_SUSTAINED_N38_CALIBRATED	old team feedback test at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	SUSTAINED	15	[588, 340, 373, 1016, 284, 11173, 13, 198, 198, 1, 40, 1101, 7926, 11, 314]	 like it was going to burst.\n\n"I'm sorry, I	The fever was raging, and her skin felt like it was going to burst.\n\n"I'm sorry, I	1		0
4	The fever was raging, and her skin felt	N38_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38]	10.0	SUSTAINED	15	[588, 340, 373, 1016, 284, 11173, 13, 198, 198, 1, 40, 1101, 407, 1016, 284]	 like it was going to burst.\n\n"I'm not going to	The fever was raging, and her skin felt like it was going to burst.\n\n"I'm not going to	0	13	0
4	The fever was raging, and her skin felt	TEAM_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38, 1103, 2094]	10.0	SUSTAINED	15	[588, 340, 373, 1016, 284, 4245, 503, 13, 198, 198, 1, 40, 1101, 407, 1016]	 like it was going to burn out.\n\n"I'm not going	The fever was raging, and her skin felt like it was going to burn out.\n\n"I'm not going	0	6	0
4	The fever was raging, and her skin felt	N38_SUSTAINED_NEG_NATURAL	signed direction control	[38]	-2.870398759841919	SUSTAINED	15	[588, 340, 373, 1016, 284, 11173, 13, 198, 198, 1, 40, 1101, 7926, 11, 314]	 like it was going to burst.\n\n"I'm sorry, I	The fever was raging, and her skin felt like it was going to burst.\n\n"I'm sorry, I	1		0
5	It was cold	CLEAN	baseline	[]	0.0	ONE_STEP	15	[290, 2344, 88, 287, 262, 3504, 286, 262, 1755, 13, 383, 4252, 373, 22751, 832]	 and windy in the middle of the night. The sun was shining through	It was cold and windy in the middle of the night. The sun was shining through	1		0
5	It was cold	N38_ONE_STEP_NATURAL	natural-range dose	[38]	2.870398759841919	ONE_STEP	15	[290, 2344, 88, 287, 262, 3504, 286, 262, 1755, 13, 383, 4252, 373, 22751, 832]	 and windy in the middle of the night. The sun was shining through	It was cold and windy in the middle of the night. The sun was shining through	1		0
5	It was cold	N38_SUSTAINED_NATURAL	autoregressive feedback test	[38]	2.870398759841919	SUSTAINED	15	[290, 2344, 88, 287, 262, 3504, 286, 262, 1755, 13, 198, 198, 464, 582, 508]	 and windy in the middle of the night.\n\nThe man who	It was cold and windy in the middle of the night.\n\nThe man who	0	11	0
5	It was cold	TEAM_ONE_STEP_N38_CALIBRATED	old team at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	ONE_STEP	15	[290, 2344, 88, 287, 262, 3504, 286, 262, 1755, 13, 383, 4252, 373, 22751, 832]	 and windy in the middle of the night. The sun was shining through	It was cold and windy in the middle of the night. The sun was shining through	1		0
5	It was cold	TEAM_SUSTAINED_N38_CALIBRATED	old team feedback test at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	SUSTAINED	15	[290, 2344, 88, 2354, 11, 290, 314, 373, 5586, 319, 262, 5743, 286, 262, 8701]	 and windy outside, and I was sitting on the edge of the grass	It was cold and windy outside, and I was sitting on the edge of the grass	0	4	0
5	It was cold	N38_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38]	10.0	SUSTAINED	15	[2354, 11, 290, 262, 2344, 373, 19280, 13, 198, 198, 464, 2344, 373, 19280, 287]	 outside, and the wind was blowing.\n\nThe wind was blowing in	It was cold outside, and the wind was blowing.\n\nThe wind was blowing in	0	1	0
5	It was cold	TEAM_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38, 1103, 2094]	10.0	SUSTAINED	15	[2354, 11, 290, 262, 2344, 373, 19280, 13, 198, 198, 464, 2344, 373, 19280, 11]	 outside, and the wind was blowing.\n\nThe wind was blowing,	It was cold outside, and the wind was blowing.\n\nThe wind was blowing,	0	1	0
5	It was cold	N38_SUSTAINED_NEG_NATURAL	signed direction control	[38]	-2.870398759841919	SUSTAINED	15	[290, 2344, 88, 287, 262, 1748, 7372, 11, 475, 262, 4252, 373, 22751, 35254, 287]	 and windy in the city centre, but the sun was shining brightly in	It was cold and windy in the city centre, but the sun was shining brightly in	0	6	0
6	It was frigid	CLEAN	baseline	[]	0.0	ONE_STEP	15	[11, 290, 262, 2344, 373, 19280, 13, 198, 198, 1, 40, 1101, 1016, 284, 467]	, and the wind was blowing.\n\n"I'm going to go	It was frigid, and the wind was blowing.\n\n"I'm going to go	1		0
6	It was frigid	N38_ONE_STEP_NATURAL	natural-range dose	[38]	2.870398759841919	ONE_STEP	15	[11, 290, 262, 2344, 373, 19280, 13, 198, 198, 1, 40, 1101, 1016, 284, 467]	, and the wind was blowing.\n\n"I'm going to go	It was frigid, and the wind was blowing.\n\n"I'm going to go	1		0
6	It was frigid	N38_SUSTAINED_NATURAL	autoregressive feedback test	[38]	2.870398759841919	SUSTAINED	15	[11, 290, 262, 2344, 373, 19280, 13, 198, 198, 1, 40, 1101, 1016, 284, 467]	, and the wind was blowing.\n\n"I'm going to go	It was frigid, and the wind was blowing.\n\n"I'm going to go	1		0
6	It was frigid	TEAM_ONE_STEP_N38_CALIBRATED	old team at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	ONE_STEP	15	[11, 290, 262, 2344, 373, 19280, 13, 198, 198, 1, 40, 1101, 1016, 284, 467]	, and the wind was blowing.\n\n"I'm going to go	It was frigid, and the wind was blowing.\n\n"I'm going to go	1		0
6	It was frigid	TEAM_SUSTAINED_N38_CALIBRATED	old team feedback test at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	SUSTAINED	15	[11, 290, 262, 2344, 373, 19280, 13, 198, 198, 464, 2344, 373, 19280, 13, 198]	, and the wind was blowing.\n\nThe wind was blowing.\n	It was frigid, and the wind was blowing.\n\nThe wind was blowing.\n	0	10	0
6	It was frigid	N38_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38]	10.0	SUSTAINED	15	[11, 290, 262, 2344, 373, 19280, 13, 198, 198, 464, 2344, 373, 19280, 13, 198]	, and the wind was blowing.\n\nThe wind was blowing.\n	It was frigid, and the wind was blowing.\n\nThe wind was blowing.\n	0	10	0
6	It was frigid	TEAM_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38, 1103, 2094]	10.0	SUSTAINED	15	[11, 290, 262, 2344, 373, 19280, 13, 198, 198, 464, 2344, 373, 19280, 13, 198]	, and the wind was blowing.\n\nThe wind was blowing.\n	It was frigid, and the wind was blowing.\n\nThe wind was blowing.\n	0	10	0
6	It was frigid	N38_SUSTAINED_NEG_NATURAL	signed direction control	[38]	-2.870398759841919	SUSTAINED	15	[11, 290, 262, 2344, 373, 19280, 13, 198, 198, 1, 40, 1101, 7926, 11, 314]	, and the wind was blowing.\n\n"I'm sorry, I	It was frigid, and the wind was blowing.\n\n"I'm sorry, I	0	13	0
7	He reached out for something and it felt	CLEAN	baseline	[]	0.0	ONE_STEP	15	[588, 257, 16225, 13, 198, 198, 1, 40, 1101, 7926, 11, 314, 1101, 7926, 553]	 like a hug.\n\n"I'm sorry, I'm sorry,"	He reached out for something and it felt like a hug.\n\n"I'm sorry, I'm sorry,"	1		0
7	He reached out for something and it felt	N38_ONE_STEP_NATURAL	natural-range dose	[38]	2.870398759841919	ONE_STEP	15	[588, 257, 16225, 13, 198, 198, 1, 40, 1101, 7926, 11, 314, 1101, 7926, 553]	 like a hug.\n\n"I'm sorry, I'm sorry,"	He reached out for something and it felt like a hug.\n\n"I'm sorry, I'm sorry,"	1		0
7	He reached out for something and it felt	N38_SUSTAINED_NATURAL	autoregressive feedback test	[38]	2.870398759841919	SUSTAINED	15	[588, 257, 16225, 13, 198, 198, 1, 40, 1101, 7926, 553, 339, 531, 13, 366]	 like a hug.\n\n"I'm sorry," he said. "	He reached out for something and it felt like a hug.\n\n"I'm sorry," he said. "	0	11	0
7	He reached out for something and it felt	TEAM_ONE_STEP_N38_CALIBRATED	old team at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	ONE_STEP	15	[588, 257, 16225, 13, 198, 198, 1, 40, 1101, 7926, 11, 314, 1101, 7926, 553]	 like a hug.\n\n"I'm sorry, I'm sorry,"	He reached out for something and it felt like a hug.\n\n"I'm sorry, I'm sorry,"	1		0
7	He reached out for something and it felt	TEAM_SUSTAINED_N38_CALIBRATED	old team feedback test at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	SUSTAINED	15	[588, 257, 23905, 287, 262, 1986, 13, 198, 198, 1, 40, 1101, 7926, 11, 475]	 like a slap in the face.\n\n"I'm sorry, but	He reached out for something and it felt like a slap in the face.\n\n"I'm sorry, but	0	3	0
7	He reached out for something and it felt	N38_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38]	10.0	SUSTAINED	15	[588, 257, 922, 2126, 13, 198, 198, 1, 40, 1101, 407, 1016, 284, 1560, 345]	 like a good idea.\n\n"I'm not going to tell you	He reached out for something and it felt like a good idea.\n\n"I'm not going to tell you	0	3	0
7	He reached out for something and it felt	TEAM_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38, 1103, 2094]	10.0	SUSTAINED	15	[588, 339, 373, 2111, 284, 651, 1497, 13, 198, 198, 1, 40, 1101, 407, 1016]	 like he was trying to get away.\n\n"I'm not going	He reached out for something and it felt like he was trying to get away.\n\n"I'm not going	0	2	0
7	He reached out for something and it felt	N38_SUSTAINED_NEG_NATURAL	signed direction control	[38]	-2.870398759841919	SUSTAINED	15	[588, 257, 16225, 13, 198, 198, 1, 40, 1101, 7926, 11, 475, 314, 1101, 407]	 like a hug.\n\n"I'm sorry, but I'm not	He reached out for something and it felt like a hug.\n\n"I'm sorry, but I'm not	0	12	0
8	The first line of the novel is	CLEAN	baseline	[]	0.0	ONE_STEP	15	[257, 1621, 546, 257, 1862, 2576, 508, 318, 4137, 284, 2107, 351, 607, 3397, 287]	 a story about a young girl who is forced to live with her parents in	The first line of the novel is a story about a young girl who is forced to live with her parents in	1		0
8	The first line of the novel is	N38_ONE_STEP_NATURAL	natural-range dose	[38]	2.870398759841919	ONE_STEP	15	[257, 1621, 546, 257, 1862, 2576, 508, 318, 4137, 284, 2107, 351, 607, 3397, 287]	 a story about a young girl who is forced to live with her parents in	The first line of the novel is a story about a young girl who is forced to live with her parents in	1		0
8	The first line of the novel is	N38_SUSTAINED_NATURAL	autoregressive feedback test	[38]	2.870398759841919	SUSTAINED	15	[257, 1621, 546, 257, 1862, 2576, 508, 318, 257, 2888, 286, 257, 1448, 286, 661]	 a story about a young girl who is a member of a group of people	The first line of the novel is a story about a young girl who is a member of a group of people	0	9	0
8	The first line of the novel is	TEAM_ONE_STEP_N38_CALIBRATED	old team at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	ONE_STEP	15	[257, 1621, 546, 257, 1862, 2576, 508, 318, 4137, 284, 2107, 351, 607, 3397, 287]	 a story about a young girl who is forced to live with her parents in	The first line of the novel is a story about a young girl who is forced to live with her parents in	1		0
8	The first line of the novel is	TEAM_SUSTAINED_N38_CALIBRATED	old team feedback test at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	SUSTAINED	15	[257, 1621, 286, 257, 1862, 2576, 508, 318, 4137, 284, 3853, 1022, 607, 1204, 290]	 a story of a young girl who is forced to choose between her life and	The first line of the novel is a story of a young girl who is forced to choose between her life and	0	3	0
8	The first line of the novel is	N38_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38]	10.0	SUSTAINED	15	[257, 2829, 530, 25, 366, 40, 1101, 257, 1862, 582, 11, 290, 314, 1101, 407]	 a simple one: "I'm a young man, and I'm not	The first line of the novel is a simple one: "I'm a young man, and I'm not	0	2	0
8	The first line of the novel is	TEAM_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38, 1103, 2094]	10.0	SUSTAINED	15	[257, 2829, 530, 25, 366, 40, 716, 257, 1862, 582, 11, 290, 314, 716, 407]	 a simple one: "I am a young man, and I am not	The first line of the novel is a simple one: "I am a young man, and I am not	0	2	0
8	The first line of the novel is	N38_SUSTAINED_NEG_NATURAL	signed direction control	[38]	-2.870398759841919	SUSTAINED	15	[257, 1621, 546, 257, 1862, 2576, 508, 318, 4137, 284, 12479, 257, 582, 508, 318]	 a story about a young girl who is forced to marry a man who is	The first line of the novel is a story about a young girl who is forced to marry a man who is	0	11	0
